"12f5 -- 7. Workplace structure, 2010-2024"

"Postal code area","2020 Workplaces, total (TP)","2021 Workplaces, total (TP)","2022 Workplaces, total (TP)","2023 Workplaces, total (TP)","2024 Workplaces, total (TP)"
"14450  Rimmilä (Hämeenlinna)",10,11,9,7,0
"14500  Iittala (Hämeenlinna)",635,706,718,702,0
"14530  Leteensuo (Hattula)",24,22,21,21,0
"14610  Lepaa (Hattula)",97,101,91,87,0
"14620  Tyrväntö (Hattula)",20,24,23,12,0
"14680  Alvettula (Hämeenlinna)",86,68,76,74,0
"14690  Torvoila (Hämeenlinna)",29,30,29,24,0
"14700  Hauho kk (Hämeenlinna)",408,424,434,408,0
"14770  Eteläinen (Hämeenlinna)",91,106,98,76,0
"14810  Pohjoinen (Hämeenlinna)",149,143,146,153,0
"14820  Syrjäntaka (Hämeenlinna)",188,183,191,180,0
"14840  Sairiala (Hämeenlinna)",15,17,15,19,0
"14870  Juttila (Hämeenlinna)",24,25,23,21,0
"14930  Sappee (Hämeenlinna)",29,18,15,13,0
"14960  Puutikkala (Pälkäne)",11,10,8,8,0
"14980  Kuohijoki (Pälkäne)",22,22,21,18,0
"15100  Lahti Asemanseutu (Lahti)",4406,5105,5284,5318,0
"15110  Keski-Lahti (Lahti)",4343,4876,4941,4856,0
"15140  Kartano-Paavola (Lahti)",5935,5747,6055,6262,0
"15150  Möysä (Lahti)",1505,1483,1422,1529,0
"15160  Kolava (Lahti)",675,743,792,799,0
"15170  Tenava-Tonttila (Lahti)",996,1061,1084,1085,0
"15200  Kiveriö (Lahti)",1081,1162,1091,825,0
"15210  Kivistönmäki (Lahti)",2606,2727,2775,2757,0
"15230  Kytölä (Lahti)",1213,1210,1304,1114,0
"15240  Mukkula (Lahti)",1252,1327,1289,1363,0
"15270  Kukkila (Hollola)",254,262,285,272,0
"15300  Myllypohja-Koiskala (Lahti)",791,791,803,711,0
"15320  Ahtiala (Lahti)",304,337,317,358,0
"15340  Kunnas-Hiekkanummi (Lahti)",162,175,152,167,0
"15460  Mäkelä (Lahti)",71,45,51,52,0
"15500  Liipola (Lahti)",633,624,617,581,0
"15520  Saksala (Lahti)",1481,1528,1722,1642,0
"15540  Villähde (Lahti)",742,741,753,729,0
"15550  Rakokivi (Lahti)",1620,1735,1745,1745,0
"15560  Nastola kk (Lahti)",1621,1606,1513,1490,0
"15580  Ruuhijärvi (Lahti)",19,18,21,21,0
"15610  Laune-Nikkilä (Lahti)",1835,1882,1849,1871,0
"15680  Renkomäki-Ämmälä (Lahti)",1763,1880,1872,1919,0
"15700  Hennala-Jokimaa (Lahti)",3032,2903,3283,3346,0
"15800  Kärpänen (Lahti)",2528,2632,2640,2617,0
"15810  Kasakkamäki (Lahti)",525,702,635,575,0
"15820  Okeroinen (Hollola)",203,196,173,181,0
"15830  Metsäkangas (Lahti)",253,256,239,258,0
"15840  Riihelä (Lahti)",46,82,84,82,0
"15850  Likolampi (Lahti)",3106,3056,3023,2993,0
"15860  Kartano (Hollola)",1547,1585,1611,1567,0
"15870  Salpakangas (Hollola)",1314,1283,1333,1315,0
"15880  Soramäki (Hollola)",717,716,748,710,0
"15900  Jalkaranta (Lahti)",159,172,200,226,0
"15950  Kiikkula (Lahti)",636,698,730,776,0
"15980  Messilä (Hollola)",26,26,27,30,0
"16100  Uusikylä (Lahti)",139,110,95,147,0
"16160  Okkeri (Lahti)",15,19,18,18,0
"16200  Artjärvi Keskus (Orimattila)",97,98,106,104,0
"16230  Artjärvi Kirkonkylä (Orimattila)",62,79,82,86,0
"16260  Hietana (Orimattila)",40,40,40,45,0
"16270  Villikkala (Orimattila)",15,15,13,11,0
"16280  Kuivanto (Orimattila)",77,78,72,70,0
"16300  Orimattila Keskus (Orimattila)",2953,3126,3193,3127,0
"16310  Virenoja (Orimattila)",87,80,65,61,0
"16320  Pennala (Orimattila)",235,244,241,224,0
"16330  Heinämaa (Orimattila)",66,61,69,57,0
"16350  Niinikoski (Orimattila)",82,81,83,70,0
"16390  Pakaa (Orimattila)",45,58,53,48,0
"16450  Mallusjoki (Orimattila)",132,130,121,130,0
"16500  Herrala (Hollola)",94,79,79,73,0
"16510  Luhtikylä (Orimattila)",120,122,132,137,0
"16540  Mertie (Kärkölä)",38,41,49,38,0
"16600  Järvelä (Kärkölä)",1114,1307,1320,1318,0
"16610  Kärkölä kk (Kärkölä)",83,91,97,84,0
"16630  Tennilä (Hollola)",20,23,22,18,0
"16670  Lappila (Kärkölä)",73,64,66,71,0
"16710  Hollola kk (Hollola)",161,163,156,170,0
"16730  Kutajärvi (Hollola)",132,124,118,126,0
"16790  Manskivi (Hollola)",12,11,8,8,0
"16800  Hämeenkoski (Hollola)",327,350,331,353,0
"16900  Lammi kk (Hämeenlinna)",1012,1063,997,955,0
"16960  Iso-Evo (Hämeenlinna)",26,27,26,24,0
"16970  Evo (Hämeenlinna)",36,37,37,36,0
"17110  Kalliola (Hollola)",162,182,168,182,0
"17120  Paimela (Hollola)",87,91,83,74,0
"17130  Vesivehmaa (Asikkala)",143,147,138,134,0
"17150  Urajärvi (Asikkala)",86,78,81,70,0
"17200  Vääksy Keskus (Asikkala)",1595,1645,1641,1484,0
"17220  Pietilä (Asikkala)",14,11,15,13,0
"17240  Kalkkinen (Asikkala)",70,71,79,69,0
"17320  Asikkala (Asikkala)",70,79,75,80,0
"17410  Viitaila (Asikkala)",23,23,23,20,0
"17430  Kurhila (Asikkala)",52,48,53,47,0
"17440  Vähimaa (Asikkala)",7,11,9,9,0
"17450  Iso-Äiniö-Vähimaa (Asikkala)",23,22,17,19,0
"17470  Maakeski (Padasjoki)",41,38,40,46,0
"17500  Padasjoki Keskus (Padasjoki)",510,529,510,494,0
"17510  Nyystölä (Padasjoki)",23,25,24,23,0
"17530  Arrakoski (Padasjoki)",13,16,14,15,0
"17610  Auttoinen (Padasjoki)",41,41,46,42,0
"17630  Vesijako (Padasjoki)",14,11,12,11,0
"17710  Torittu (Padasjoki)",6,6,7,5,0
"17740  Kasiniemi-Torittu (Padasjoki)",2,2,4,5,0
"17780  Harmoinen (Kuhmoinen)",23,22,24,18,0
"17800  Kuhmoinen Keskus (Kuhmoinen)",441,468,456,426,0
"17840  Harjunsalmi (Kuhmoinen)",3,3,2,2,0
"17850  Pihlajakoski (Kuhmoinen)",5,7,8,10,0
"17870  Ruolahti (Kuhmoinen)",13,12,12,15,0
"17930  Päijälä (Kuhmoinen)",10,16,16,18,0
"17950  Kylämä (Kuhmoinen)",7,7,10,9,0
"17970  Puukkoinen (Kuhmoinen)",2,1,1,1,0
"18100  Heinola Keskus (Heinola)",3003,2858,2835,2844,0
"18120  Reumasairaala-alue (Heinola)",64,139,138,112,0
"18130  Tommola-Sahanniemi (Heinola)",337,410,446,431,0
"18150  Jyränkö (Heinola)",145,137,123,121,0
"18200  Kaakonlampi-Pyhätön (Heinola)",496,473,521,528,0
"18300  Heinola kk (Heinola)",334,375,368,336,0
"18600  Myllyoja (Heinola)",254,277,285,298,0
"19110  Vierumäki taajama (Heinola)",643,722,734,656,0
"19120  Vierumäki urheiluopisto (Heinola)",138,299,300,293,0
"19160  Huutotöyry (Iitti)",67,77,74,72,0
"19210  Lusi (Heinola)",77,84,87,91,0
"19230  Onkiniemi (Sysmä)",23,27,23,24,0
"19250  Syrjäkoski (Heinola)",3,3,2,2,0
"19260  Paaso-Syrjäkoski (Heinola)",15,16,16,16,0
"19310  Karilanmaa (Sysmä)",11,14,14,14,0
"19320  Nikkaroinen (Sysmä)",12,11,9,9,0
"19370  Nuoramoinen (Sysmä)",71,69,74,69,0
"19410  Kuortti (Mäntyharju)",174,176,172,166,0
"19420  Mansikkamäki (Mäntyharju)",25,19,24,32,0
"19430  Pertunmaa Keskus (Mäntyharju)",231,226,231,227,0
"19460  Ruorasmäki (Mäntyharju)",4,4,4,5,0
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",21,21,18,17,0
"19480  Hartosenpää (Mäntyharju)",16,18,17,18,0
"19510  Lepsala (Hartola)",2,2,1,1,0
"19540  Koitti-Lepsala (Hartola)",63,62,58,57,0
"19600  Hartola Keskus (Hartola)",648,683,614,643,0
"19610  Murakka (Hartola)",6,7,5,3,0
"19620  Pohela (Hartola)",35,33,34,34,0
"19630  Kalhonkylä (Hartola)",12,14,11,9,0
"19650  Joutsa Keskus (Joutsa)",1054,1043,1014,1010,0
"19670  Mieskonmäki (Joutsa)",28,27,27,31,0
"19700  Sysmä Keskus (Sysmä)",703,723,723,693,0
"19730  Särkilampi (Sysmä)",4,4,3,3,0
"19740  Liikola (Sysmä)",15,18,16,17,0
"19770  Valittula (Sysmä)",24,24,22,25,0
"19850  Putkijärvi-Siltasuo (Hartola)",18,19,20,20,0
"19910  Tammijärvi (Luhanka)",51,50,58,58,0
"19920  Pappinen (Joutsa)",19,20,18,20,0
"19950  Luhanka (Luhanka)",89,72,85,66,0
"20100  Turku Keskus (Turku)",23366,22239,22715,23878,0
"20200  Iso-Heikkilä (Turku)",2103,2424,2305,2410,0
"20210  Pahaniemi (Turku)",1747,1931,1964,1968,0
"20240  Pansio-Perno (Turku)",2679,4686,4956,5174,0
"20250  Pitkämäki-Muhkuri (Turku)",1622,1912,2237,1974,0
"20300  Pohjola-Kastu (Turku)",2666,2628,2725,2712,0
"20320  Kuninkoja-Mälikkälä (Turku)",3673,3946,3789,3754,0
"20360  Runosmäki-Kärsämäki (Turku)",5123,5499,5539,5767,0
"20380  Räntämäki-Saramäki (Turku)",4292,4508,4668,4777,0
"20400  Moisio (Turku)",404,444,519,533,0
"20460  Jäkärlä (Turku)",274,266,292,242,0
"20500  Vesilinna (Turku)",5830,6383,6456,6791,0
"20520  Kupittaa (Turku)",17063,17563,19561,19635,0
"20540  Nummi-Ylioppilaskylä (Turku)",3092,3172,3223,3093,0
"20610  Varissuo (Turku)",1313,1409,1443,1385,0
"20660  Littoinen (Kaarina)",1934,2115,2156,2070,0
"20700  Vartiovuori-Samppalinna (Turku)",3443,4728,4335,4088,0
"20720  Vasaramäki (Turku)",1324,1228,1189,1286,0
"20730  Skanssi (Turku)",677,790,853,892,0
"20740  Ilpoinen-Harittu (Turku)",1206,1383,1455,1490,0
"20750  Huhkola-Lauste-Vaala (Turku)",3356,3754,3745,3735,0
"20760  Piispanristi (Kaarina)",1190,1158,1294,1327,0
"20780  Kaarina Keskus (Kaarina)",4706,4892,4977,4937,0
"20800  Ammattikorkeakoulu (Turku)",1013,1073,1139,1217,0
"20810  Martti-Korppolaismäki (Turku)",4027,4151,3703,3633,0
"20880  Uittamo (Turku)",239,249,246,237,0
"20900  Moikoinen-Pikisaari (Turku)",1360,1460,1444,1384,0
"20960  Kakskerta (Turku)",232,225,210,219,0
"21100  Naantali Keskus (Naantali)",3009,3127,3153,3083,0
"21110  Taimo-Nuhjala-Lietsala (Naantali)",1018,1063,1070,995,0
"21120  Kaanaa (Raisio)",221,248,270,305,0
"21130  Poikko (Naantali)",75,74,75,67,0
"21140  Rymättylä Keskus (Naantali)",251,267,276,253,0
"21150  Röölä (Naantali)",50,73,75,69,0
"21160  Merimasku (Naantali)",208,196,216,207,0
"21180  Livonsaari (Naantali)",38,42,36,33,0
"21195  Velkua (Naantali)",46,48,44,41,0
"21200  Raisio Keskus (Raisio)",5769,5945,6096,6315,0
"21210  Hakinmäki (Raisio)",290,302,299,297,0
"21220  Somersoja (Raisio)",261,282,318,359,0
"21230  Lemu (Masku)",200,198,232,208,0
"21240  Askainen (Masku)",97,105,93,97,0
"21250  Masku (Masku)",1788,1841,1937,1917,0
"21260  Ihala (Raisio)",378,378,405,424,0
"21270  Nousiainen (Nousiainen)",857,840,837,842,0
"21280  Kuloinen (Raisio)",2665,2742,2855,2801,0
"21290  Rusko (Rusko)",1091,1207,1180,1179,0
"21310  Vahto (Rusko)",619,652,673,672,0
"21330  Paattinen (Turku)",355,389,393,385,0
"21340  Tortinmäki (Turku)",51,47,47,47,0
"21350  Ilmarinen (Lieto)",191,222,203,242,0
"21360  Lieto Asemanseutu (Lieto)",474,463,457,480,0
"21370  Aura kk. (Aura)",121,108,101,96,0
"21380  Aura Keskus (Aura)",941,971,1005,961,0
"21410  Vanhalinna (Lieto)",583,692,654,682,0
"21420  Lieto Keskus (Lieto)",3502,3713,3877,4045,0
"21430  Yliskulma (Lieto)",150,187,185,135,0
"21450  Tarvasjoki Keskus (Lieto)",360,367,388,389,0
"21480  Prunkila (Marttila)",40,46,45,31,0
"21490  Marttila (Marttila)",308,306,303,336,0
"21500  Piikkiö (Kaarina)",1541,1729,1864,1842,0
"21510  Hevonpää (Paimio)",71,142,128,120,0
"21530  Paimio Keskus (Paimio)",2580,2555,2582,2610,0
"21540  Preitilä (Paimio)",223,139,156,151,0
"21555  Taatila (Paimio)",42,48,53,53,0
"21560  Ollila (Marttila)",78,72,74,71,0
"21570  Sauvo Keskus (Sauvo)",608,630,640,640,0
"21590  Karuna (Sauvo)",44,38,34,33,0
"21600  Parainen Keskus (Pargas)",3514,3515,3589,3452,0
"21610  Kirjala (Pargas)",413,387,378,367,0
"21620  Kuusisto (Kaarina)",220,198,206,217,0
"21630  Lielahti (Pargas)",74,68,52,56,0
"21650  Lillandet (Pargas)",72,89,80,84,0
"21660  Nauvo Keskus (Pargas)",276,261,276,283,0
"21670  Mattnäs-Nötö (Pargas)",25,22,23,22,0
"21680  Nötö (Pargas)",0,0,0,0,0
"21710  Korppoo Keskus-Utö (Pargas)",148,170,171,202,0
"21720  Korpoström (Pargas)",4,8,11,10,0
"21740  Utö (Pargas)",27,30,24,36,0
"21750  Norrskata (Pargas)",4,4,5,3,0
"21760  Houtskär Keskus (Pargas)",53,70,80,73,0
"21770  Mossala (Pargas)",23,23,15,16,0
"21800  Kyrö (Pöytyä)",739,850,781,783,0
"21820  Kumila (Pöytyä)",52,49,51,52,0
"21840  Karinainen (Pöytyä)",106,89,96,88,0
"21860  Auvainen (Pöytyä)",39,46,50,38,0
"21870  Riihikoski (Pöytyä)",739,729,754,689,0
"21880  Pöytyä (Pöytyä)",74,75,77,71,0
"21890  Haveri (Pöytyä)",33,35,42,40,0
"21900  Yläne Keskus (Pöytyä)",312,300,279,309,0
"21930  Uusikartano (Pöytyä)",74,76,78,81,0
"22100  Maarianhamina (Mariehamn)",7801,8420,9230,9275,0
"22120  Möckelö (Jomala)",482,517,581,565,0
"22130  Gottby (Jomala)",199,213,195,192,0
"22140  Önningby (Jomala)",147,193,210,186,0
"22150  Jomala Centrum (Jomala)",963,999,1390,1413,0
"22160  Järsö (Lemland)",21,24,30,31,0
"22220  Emkarby (Finström)",21,29,30,23,0
"22240  Hammarland (Hammarland)",193,171,318,320,0
"22270  Storby (Eckerö)",126,144,217,220,0
"22310  Pålsböle (Finström)",72,92,103,105,0
"22320  Ödkarby (Saltvik)",65,80,138,126,0
"22330  Tjudö (Finström)",36,35,33,34,0
"22340  Geta (Geta)",44,44,86,84,0
"22410  Godby (Finström)",590,618,797,802,0
"22430  Saltvik (Saltvik)",99,84,150,154,0
"22520  Tosarby (Sund)",86,82,67,60,0
"22530  Sund (Sund)",52,57,89,94,0
"22550  Vårdö (Vårdö)",48,48,91,98,0
"22610  Lemland (Lemland)",129,215,278,281,0
"22630  Lumparland (Lumparland)",43,39,97,103,0
"22710  Ålands Degerby (Föglö)",125,114,193,184,0
"22720  Sottunga (Sottunga)",2,2,0,0,0
"22730  Kökar (Kökar)",29,31,54,56,0
"22810  Seglinge (Kumlinge)",0,0,0,0,0
"22820  Kumlinge (Kumlinge)",17,20,50,50,0
"22830  Enklinge (Kumlinge)",1,2,2,5,0
"22840  Lappo (Brändö)",3,1,1,1,0
"22910  Torsholma (Brändö)",3,3,8,9,0
"22920  Brändö-Åland (Brändö)",38,34,39,44,0
"22930  Fiskö (Brändö)",0,0,0,0,0
"22940  Åva (Brändö)",1,1,55,40,0
"22950  Jurmo (Brändö)",3,2,0,0,0
"23100  Mynämäki Keskus (Mynämäki)",1425,1526,1500,1530,0
"23120  Mietoinen Keskus (Mynämäki)",118,126,128,119,0
"23140  Hietamäki (Mynämäki)",96,98,107,105,0
"23200  Vinkkilä (Vehmaa)",357,330,330,316,0
"23210  Vehmaa (Vehmaa)",245,269,247,250,0
"23260  Rautila (Vehmaa)",31,38,39,37,0
"23310  Taivassalo (Taivassalo)",417,420,442,422,0
"23360  Kustavi (Kustavi)",268,291,285,282,0
"23390  Iniö (Pargas)",39,33,40,34,0
"23450  Lokalahti (Uusikaupunki)",167,175,168,164,0
"23500  Uusikaupunki Keskus (Uusikaupunki)",6930,7109,6283,5654,0
"23600  Kalanti Keskus (Uusikaupunki)",729,738,787,819,0
"23660  Kalanti Asemanseutu (Uusikaupunki)",56,60,58,58,0
"23800  Laitila Keskus (Laitila)",3262,3245,3404,3444,0
"23930  Pyhämaa (Uusikaupunki)",45,50,44,39,0
"23950  Pyhäranta (Pyhäranta)",153,135,151,149,0
"23960  Santtio (Pyhäranta)",20,15,19,18,0
"24100  Salo Keskus (Salo)",6328,6753,6937,6999,0
"24130  Ylhäisi (Salo)",914,1043,1018,1116,0
"24240  Rappula (Salo)",1475,1697,1765,1732,0
"24260  Ollikkala (Salo)",611,670,693,662,0
"24280  Tupuri-Hähkänä (Salo)",795,866,936,910,0
"24800  Halikko Keskus (Salo)",1355,1194,1257,1221,0
"24910  Halikko Asemanseutu (Salo)",484,559,566,574,0
"25110  Kruusila (Salo)",33,34,34,44,0
"25130  Muurla (Salo)",336,365,397,356,0
"25160  Tuohittu (Salo)",19,18,23,21,0
"25170  Kotalato (Salo)",35,12,11,11,0
"25180  Romsila (Salo)",14,19,20,14,0
"25190  Inkere (Salo)",296,238,193,172,0
"25210  Vartsala (Salo)",21,25,28,24,0
"25230  Angelniemi (Salo)",34,36,42,43,0
"25240  Hajala (Salo)",57,58,50,54,0
"25250  Märynummi (Salo)",118,112,133,129,0
"25260  Vaskio (Salo)",106,104,113,116,0
"25320  Raatala (Salo)",70,82,83,90,0
"25330  Kuusjoki Keskus (Salo)",148,156,146,147,0
"25340  Kanunki (Salo)",189,174,185,78,0
"25360  Pertteli Keskus (Salo)",116,94,109,107,0
"25370  Hiisi (Salo)",93,96,89,82,0
"25380  Rekijoki (Salo)",47,52,46,54,0
"25390  Kiikala Keskus (Salo)",214,240,221,174,0
"25410  Suomusjärvi Keskus (Salo)",222,212,175,162,0
"25420  Lahnajärvi (Salo)",14,19,20,7,0
"25430  Kettula (Salo)",9,12,12,11,0
"25460  Toija (Salo)",241,270,259,259,0
"25470  Kisko kk (Salo)",28,21,33,26,0
"25500  Perniö Keskus (Salo)",990,1057,1056,1030,0
"25520  Perniö Asemanseutu (Salo)",151,151,148,143,0
"25540  Knaapila (Salo)",16,10,14,12,0
"25550  Aijala (Salo)",14,11,10,8,0
"25560  Koski Asemanseutu (Salo)",13,18,23,20,0
"25570  Teijo-Mathildedal (Salo)",143,170,167,197,0
"25610  Ylönkylä (Salo)",133,149,152,143,0
"25630  Finby (Salo)",51,67,55,62,0
"25640  Förby (Salo)",66,49,52,52,0
"25650  Strömma (Kimitoön)",27,31,34,29,0
"25660  Mathildedal (Salo)",43,43,46,54,0
"25700  Kemiö Keskus (Kimitoön)",810,827,969,999,0
"25710  Vreta-Vestlax (Kimitoön)",41,52,50,50,0
"25730  Mjösund (Kimitoön)",61,62,52,52,0
"25760  Kiila (Kimitoön)",12,15,14,14,0
"25810  Mark (Kimitoön)",9,8,11,13,0
"25820  Vestlax (Kimitoön)",11,12,14,10,0
"25830  Västanfjärd Keskus (Kimitoön)",70,60,72,68,0
"25840  Nivelax (Kimitoön)",54,64,61,63,0
"25860  Björkboda (Kimitoön)",79,81,77,87,0
"25870  Dragsfjärd (Kimitoön)",180,168,188,205,0
"25900  Taalintehdas (Kimitoön)",462,422,322,290,0
"25910  Vänoxa (Kimitoön)",0,0,0,0,0
"25930  Kasnäs (Kimitoön)",88,94,97,111,0
"25940  Hiittinen (Kimitoön)",22,23,25,17,0
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",20,31,26,29,0
"25960  Högsåra (Kimitoön)",5,6,5,3,0
"26100  Rauma Keskus (Rauma)",11300,11670,11786,11787,0
"26200  Merirauma-Kappelinluhta (Rauma)",350,340,369,373,0
"26410  Kaaro (Rauma)",118,118,124,105,0
"26510  Uotila (Rauma)",1171,1167,1049,1078,0
"26560  Kolla (Rauma)",92,90,83,82,0
"26660  Paroalho (Rauma)",216,287,297,248,0
"26720  Monnanummi (Rauma)",21,24,29,32,0
"26740  Vasarainen (Rauma)",51,55,57,54,0
"26820  Sampaanala (Rauma)",708,692,780,863,0
"26840  Kortela (Rauma)",81,87,85,81,0
"26910  Unaja (Rauma)",51,55,64,56,0
"26930  Vermuntila (Rauma)",26,29,28,34,0
"26950  Voiluoto (Rauma)",38,37,41,42,0
"27100  Eurajoki Keskus (Eurajoki)",1363,1179,1113,1112,0
"27110  Irjanne (Eurajoki)",46,68,56,54,0
"27130  Eurajoki asemanseutu (Eurajoki)",53,68,59,56,0
"27150  Lapijoki (Eurajoki)",100,165,181,177,0
"27160  Olkiluoto (Eurajoki)",1431,1498,1454,1490,0
"27170  Kuivalahti (Eurajoki)",21,42,31,31,0
"27220  Ala-Kieri (Rauma)",43,38,38,35,0
"27230  Lappi (Rauma)",670,683,682,686,0
"27250  Kodiksami (Rauma)",16,17,16,16,0
"27260  Kuolimaa (Rauma)",25,17,20,18,0
"27310  Kodisjoki (Rauma)",35,39,37,34,0
"27320  Ihode (Pyhäranta)",217,148,139,138,0
"27340  Reila (Pyhäranta)",19,27,32,27,0
"27400  Kiukainen Keskus (Eura)",325,338,348,348,0
"27420  Panelia Asemanseutu (Eura)",46,49,52,54,0
"27430  Panelia (Eura)",417,407,389,387,0
"27450  Harola (Eura)",13,8,11,8,0
"27500  Kauttua (Eura)",666,782,752,693,0
"27510  Eura Keskus (Eura)",1948,1944,1985,2041,0
"27600  Hinnerjoki (Eura)",156,166,160,145,0
"27640  Honkilahti kk (Eura)",28,26,27,28,0
"27650  Honkilahti (Eura)",74,72,68,64,0
"27670  Mannila (Eura)",21,36,17,17,0
"27710  Köyliö Keskus (Säkylä)",217,237,249,232,0
"27730  Tuiskula (Säkylä)",37,37,29,36,0
"27740  Voitoinen (Säkylä)",16,18,14,16,0
"27750  Yttilä (Säkylä)",76,77,75,70,0
"27800  Säkylä Keskus (Säkylä)",1938,1318,1375,1301,0
"27820  Iso-Vimma (Säkylä)",515,522,522,537,0
"27840  Kakkuri (Säkylä)",62,62,59,63,0
"27860  Vuori (Säkylä)",95,569,562,85,0
"27910  Huovinrinne (Säkylä)",74,67,76,630,0
"27920  Otajoki (Säkylä)",24,26,23,22,0
"28100  Pori Keskus (Pori)",10234,10457,10773,10992,0
"28120  Käppärä-Isomäki (Pori)",1525,1715,1760,1788,0
"28130  Impola (Pori)",3209,3574,3633,3513,0
"28190  Pormestarinluoto (Pori)",675,669,650,724,0
"28200  Toejoki (Pori)",403,435,496,498,0
"28220  Ruosniemi (Pori)",499,539,528,554,0
"28240  Isojoenranta (Pori)",121,128,142,92,0
"28260  Harjunpää (Ulvila)",143,105,104,95,0
"28300  Kalaholma-Väinölä (Pori)",173,200,228,222,0
"28330  Koivistonluoto (Pori)",869,1362,1414,1284,0
"28360  Vanhakoivisto (Pori)",717,808,818,837,0
"28370  Sampola (Pori)",495,536,560,494,0
"28400  Ulvila Keskus (Ulvila)",2055,2406,2368,2397,0
"28430  Kartano-Harmaalinna (Pori)",815,912,940,1026,0
"28450  Vanha-Ulvila (Ulvila)",926,803,844,863,0
"28500  Keskussairaala-alue-Tiilimäki (Pori)",3494,2927,3062,3477,0
"28540  Pinomäki (Pori)",145,110,182,105,0
"28560  Lattomeri (Pori)",35,35,36,28,0
"28580  Niittymaa (Pori)",75,71,78,67,0
"28600  Vähärauma (Pori)",2825,2756,2635,2355,0
"28610  Musa-Tiiliruukki (Pori)",883,1045,985,885,0
"28660  Pietniemi-Leppäkorpi (Pori)",167,186,188,172,0
"28760  Kyläsaari (Pori)",680,723,671,621,0
"28800  Pihlava (Pori)",389,422,462,487,0
"28840  Yyteri-Kaanaa (Pori)",234,205,198,188,0
"28880  Mäntyluoto (Pori)",289,366,349,416,0
"28900  Tahkoluoto-Reposaari (Pori)",164,170,167,183,0
"29100  Luvia Keskus (Eurajoki)",516,540,635,637,0
"29180  Peränkylä (Eurajoki)",30,35,33,36,0
"29200  Harjavalta Keskus (Harjavalta)",3598,3796,3804,3472,0
"29250  Nakkila Keskus (Nakkila)",1252,1193,1149,1105,0
"29270  Hormisto (Nakkila)",38,53,59,57,0
"29280  Järvimaa (Nakkila)",23,22,26,23,0
"29310  Kaasmarkku (Ulvila)",85,88,99,95,0
"29320  Leineperi (Ulvila)",9,10,10,9,0
"29340  Kullaa Keskus (Ulvila)",190,207,211,189,0
"29350  Palus (Ulvila)",13,12,11,10,0
"29570  Söörmarkku (Pori)",240,261,281,284,0
"29600  Noormarkku Keskus (Pori)",1122,1135,1188,1058,0
"29630  Pomarkku Keskus (Pomarkku)",408,445,430,421,0
"29640  Honkakoski (Pomarkku)",42,52,51,48,0
"29680  Kairila (Pori)",45,42,44,48,0
"29700  Ahlainen (Pori)",104,91,105,105,0
"29720  Lamppi (Pori)",7,13,7,11,0
"29740  Etelämaa (Merikarvia)",8,7,7,9,0
"29750  Pohjansaha (Merikarvia)",7,7,7,8,0
"29760  Köörtilä (Merikarvia)",5,8,5,5,0
"29790  Tuorila (Merikarvia)",153,171,155,170,0
"29810  Siikainen Keskus (Siikainen)",252,269,250,246,0
"29830  Sammi (Siikainen)",12,11,14,10,0
"29860  Otamo (Siikainen)",11,12,13,16,0
"29880  Leväsjoki-Saarineva (Siikainen)",23,24,21,21,0
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",643,671,681,698,0
"29940  Kuvaskangas (Merikarvia)",32,29,29,27,0
"30100  Forssa Keskus (Forssa)",4511,4648,4625,4634,0
"30300  Viksberg (Forssa)",861,909,904,738,0
"30420  Tölö (Forssa)",2342,2461,2425,2167,0
"31110  Matku (Forssa)",90,94,94,94,0
"31130  Koijärvi (Forssa)",44,46,60,49,0
"31140  Menonen (Urjala)",14,20,18,18,0
"31160  Nuutajärvi (Urjala)",40,43,56,60,0
"31170  Savijoki (Forssa)",25,26,26,30,0
"31230  Susikas (Tammela)",23,17,20,21,0
"31250  Teuro (Tammela)",52,48,46,46,0
"31300  Tammela Keskus (Tammela)",656,638,669,674,0
"31310  Mustiala (Tammela)",46,50,50,51,0
"31340  Porras (Tammela)",72,71,71,80,0
"31350  Vistinkoski (Tammela)",33,31,29,28,0
"31370  Eerikkilän Urheiluopisto (Tammela)",52,80,105,110,0
"31380  Letku-Torro (Tammela)",63,58,58,60,0
"31400  Somero Keskus (Somero)",1969,2030,2043,2067,0
"31410  Ylöpirtti (Somero)",83,80,73,89,0
"31450  Häntälä (Somero)",52,51,52,52,0
"31460  Hirsjärvi (Somero)",43,40,36,34,0
"31470  Somerniemi (Somero)",79,76,80,75,0
"31490  Terttilä (Somero)",58,61,60,42,0
"31500  Koski Tl (Koski Tl)",815,867,861,824,0
"31520  Pitkäjärvi (Somero)",115,111,124,109,0
"31530  Pyöli (Somero)",66,54,67,54,0
"31600  Jokioinen Keskus (Jokioinen)",1308,1313,1306,1202,0
"31610  Vaulammi (Jokioinen)",52,56,51,43,0
"31620  Latovainio (Jokioinen)",40,31,28,27,0
"31630  Minkiö (Jokioinen)",74,77,70,68,0
"31640  Humppila Keskus (Humppila)",434,412,420,432,0
"31650  Venäjänkangas (Humppila)",34,28,28,26,0
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",221,214,212,213,0
"31720  Urjalankylä-Kehro (Urjala)",40,45,43,42,0
