"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2020 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2020 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2020 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2020 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2020 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2020 Blocks of flats, three-room flat+"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",8419,7773,7153,110,178,195
"00120  Punavuori - Bulevardi (Helsinki)",8702,7993,8065,55,82,75
"00130  Kaartinkaupunki (Helsinki)",...,8588,8083,5,11,19
"00140  Kaivopuisto - Ullanlinna (Helsinki)",8948,8416,8811,73,69,92
"00150  Punavuori - Eira - Hernesaari (Helsinki)",8739,8243,8540,134,129,71
"00160  Katajanokka (Helsinki)",8236,7386,7324,18,36,53
"00170  Kruununhaka (Helsinki)",8680,7770,7274,63,72,85
"00180  Kamppi - Ruoholahti (Helsinki)",8719,7863,7564,102,129,112
"00190  Suomenlinna (Helsinki)",.,...,.,.,1,.
"00200  Pohjois-Lauttasaari (Helsinki)",7278,6531,6426,86,194,197
"00210  Vattuniemi (Helsinki)",6975,6430,6882,23,100,150
"00220  Jätkäsaari (Helsinki)",...,7604,7301,7,18,38
"00240  Länsi-Pasila (Helsinki)",6242,5543,5361,6,33,43
"00250  Taka-Töölö (Helsinki)",7398,6839,6357,97,162,108
"00260  Keski-Töölö (Helsinki)",8420,7167,7048,31,61,43
"00270  Pohjois-Meilahti (Helsinki)",7598,6585,6184,45,84,72
"00280  Ruskeasuo (Helsinki)",6547,6397,5937,16,29,18
"00290  Meilahden sairaala-alue (Helsinki)",.,.,.,.,.,.
"00300  Pikku Huopalahti (Helsinki)",...,5791,5902,7,28,36
"00310  Kivihaka (Helsinki)",6326,...,3990,6,5,9
"00320  Etelä-Haaga (Helsinki)",6952,5155,5054,87,145,110
"00330  Munkkiniemi (Helsinki)",7750,6265,6262,30,95,85
"00340  Kuusisaari - Lehtisaari (Helsinki)",...,4455,3873,2,8,18
"00350  Munkkivuori - Niemenmäki (Helsinki)",6227,5011,4735,41,79,83
"00360  Pajamäki (Helsinki)",5255,4420,4396,13,24,21
"00370  Reimarla (Helsinki)",4180,3425,2769,42,60,35
"00380  Pitäjänmäen yritysalue (Helsinki)",5426,4964,5063,13,22,17
"00390  Konala (Helsinki)",4518,3653,3392,18,50,44
"00400  Pohjois-Haaga (Helsinki)",6223,4482,4093,25,77,94
"00410  Malminkartano (Helsinki)",3511,3462,2596,8,32,39
"00420  Kannelmäki (Helsinki)",4364,3405,3062,23,87,68
"00430  Maununneva - Kuninkaantammi (Helsinki)",.,...,4052,.,8,10
"00440  Lassila (Helsinki)",4608,3883,3402,34,52,43
"00500  Sörnäinen - Harju (Helsinki)",7037,6200,5839,263,163,40
"00510  Alppila - Vallila (Helsinki)",7070,6129,6027,144,132,28
"00520  Itä- ja Keski-Pasila (Helsinki)",6818,5757,5525,34,85,77
"00530  Kallio (Helsinki)",7083,6282,6117,279,214,78
"00540  Kalasatama - Sompasaari (Helsinki)",...,...,...,4,10,13
"00550  Vallila - Hermanni (Helsinki)",6458,5997,5455,106,107,25
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",6956,5953,6016,22,88,95
"00570  Kulosaari (Helsinki)",6771,5706,5400,16,27,34
"00580  Kalasatama - Kyläsaari (Helsinki)",...,...,6896,1,6,17
"00590  Kruunuvuorenranta (Helsinki)",...,...,4752,4,6,25
"00600  Koskela (Helsinki)",...,3470,3036,5,11,16
"00610  Käpylä (Helsinki)",6157,5631,5520,36,70,71
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",...,4575,4407,4,21,29
"00630  Maunula (Helsinki)",5606,4056,3284,19,54,32
"00640  Oulunkylä - Patola (Helsinki)",5400,3890,3637,23,60,46
"00650  Veräjämäki (Helsinki)",...,3695,3728,4,19,11
"00660  Länsi-Pakila (Helsinki)",...,4751,...,2,8,4
"00670  Paloheinä (Helsinki)",.,...,.,.,1,.
"00680  Itä-Pakila (Helsinki)",.,.,...,.,.,3
"00690  Torpparinmäki (Helsinki)",.,...,.,.,2,.
"00700  Malmi (Helsinki)",4060,3414,3025,30,64,33
"00710  Pihlajamäki - Viikinmäki (Helsinki)",4069,2794,2593,56,173,115
"00720  Pukinmäki (Helsinki)",4702,3230,3060,23,51,58
"00730  Tapanila (Helsinki)",5268,3522,3406,24,26,22
"00740  Siltamäki (Helsinki)",3951,2363,2297,8,43,49
"00750  Tapulikaupunki (Helsinki)",...,2394,2288,3,23,22
"00760  Puistola - Heikinlaakso (Helsinki)",...,...,...,2,3,3
"00770  Jakomäki - Alppikylä (Helsinki)",...,2216,1596,4,17,22
"00780  Tapaninvainio (Helsinki)",...,3234,2889,4,30,23
"00790  Viikki (Helsinki)",...,4875,4359,5,39,68
"00800  Länsi-Herttoniemi (Helsinki)",6017,5521,5209,23,50,38
"00810  Herttoniemenranta (Helsinki)",6182,5619,5173,17,61,87
"00820  Roihuvuori (Helsinki)",4429,3861,3843,16,57,65
"00830  Tammisalo (Helsinki)",...,3627,...,3,11,3
"00840  Yliskylä (Helsinki)",4602,3769,3452,28,42,76
"00850  Jollas (Helsinki)",.,.,5059,.,.,6
"00870  Gunillanmäki - Hevossalmi (Helsinki)",...,2852,2376,4,13,30
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",.,.,.,.,.,.
"00890  Östersundom (Helsinki)",.,.,.,.,.,.
"00900  Puotinharju (Helsinki)",3951,3357,2681,18,28,46
"00910  Puotila (Helsinki)",4349,3679,2955,21,46,60
"00920  Myllypuro (Helsinki)",4303,3168,2695,8,51,54
"00930  Itäkeskus - Marjaniemi (Helsinki)",...,2909,2538,6,23,21
"00940  Kontula - Vesala - Kivikko (Helsinki)",3457,2552,2160,21,115,145
"00950  Vartioharju (Helsinki)",...,3383,3490,7,14,15
"00960  Pohjois-Vuosaari (Helsinki)",3926,3074,2810,45,75,43
"00970  Mellunmäki (Helsinki)",3543,2440,2030,22,67,65
"00980  Etelä-Vuosaari (Helsinki)",4266,3459,3221,30,101,99
"00990  Aurinkolahti (Helsinki)",5488,5128,4705,19,113,96
"01120  Västerskog (Sipoo)",.,...,...,.,3,7
"01150  Söderkulla (Sipoo)",...,2784,2610,4,18,19
"01180  Kalkkiranta (Sipoo)",.,.,.,.,.,.
"01190  Box (Sipoo)",.,.,.,.,.,.
"01200  Hakunila (Vantaa)",2941,2132,1612,12,49,36
"01230  Vaarala (Vantaa)",...,2810,...,5,18,2
"01260  Itä-Hakkila (Vantaa)",.,.,.,.,.,.
"01280  Länsimäki (Vantaa)",2852,2302,1885,14,47,28
"01300  Tikkurila (Vantaa)",4665,3719,3414,49,132,114
"01340  Leinelä (Vantaa)",...,4201,...,6,8,4
"01350  Hiekkaharju (Vantaa)",3912,3094,2564,27,61,72
"01360  Koivukylä-Havukoski (Vantaa)",2709,1927,1806,34,97,57
"01370  Jokiniemi (Vantaa)",...,3422,3169,7,49,45
"01380  Kuusikko-Hakkila (Vantaa)",.,.,.,.,.,.
"01390  Ruskeasanta-Ilola (Vantaa)",...,...,2930,1,2,9
"01400  Rekola (Vantaa)",4479,...,...,45,18,2
"01420  Päiväkumpu (Vantaa)",.,.,.,.,.,.
"01450  Korso (Vantaa)",2574,2538,2353,14,60,33
"01480  Mikkola (Vantaa)",2842,2141,1735,22,29,31
"01490  Nikinmäki (Vantaa)",.,.,...,.,.,3
"01510  Kirkonkylä-Veromäki (Vantaa)",5024,4219,3881,8,35,26
"01520  Tammisto (Vantaa)",...,4231,3805,4,31,38
"01530  Veromiehenkylä (Vantaa)",.,.,.,.,.,.
"01600  Myyrmäki (Vantaa)",3806,2784,2313,65,230,198
"01610  Kaivoksela (Vantaa)",4494,3188,2767,20,40,35
"01620  Martinlaakso (Vantaa)",3465,2598,2114,25,70,95
"01630  Hämeenkylä (Vantaa)",.,...,.,.,1,.
"01640  Hämevaara (Vantaa)",...,...,3435,4,5,11
"01650  Vapaala (Vantaa)",2949,1973,1717,12,21,15
"01660  Varisto (Vantaa)",...,.,2287,1,.,9
"01670  Vantaanlaakso (Vantaa)",...,...,...,2,2,4
"01680  Askisto (Vantaa)",.,.,.,.,.,.
"01690  Ylästö (Vantaa)",.,.,.,.,.,.
"01700  Kivistö (Vantaa)",4923,4400,3951,35,34,23
"01710  Pähkinärinne (Vantaa)",3617,2710,2229,19,58,57
"01720  Petikko (Vantaa)",.,.,...,.,.,3
"01730  Vantaanpuisto (Vantaa)",...,2110,2045,2,16,7
"01740  Tuupakan teollisuusalue (Vantaa)",.,.,.,.,.,.
"01750  Keimola (Vantaa)",.,.,.,.,.,.
"01760  Seutula (Vantaa)",.,.,.,.,.,.
"01800  Klaukkala Keskus (Nurmijärvi)",3572,2523,2354,62,42,22
"01820  Haikala (Nurmijärvi)",.,.,...,.,.,2
"01830  Lepsämä (Nurmijärvi)",.,.,.,.,.,.
"01840  Klaukkala (Nurmijärvi)",.,...,...,.,2,1
"01860  Perttula (Nurmijärvi)",.,.,.,.,.,.
"01900  Nurmijärvi Keskus (Nurmijärvi)",2101,1899,1895,13,46,35
"01940  Palojoki (Nurmijärvi)",.,.,.,.,.,.
"02100  Tapiola (Espoo)",6001,5890,5536,15,54,66
"02110  Otsolahti (Espoo)",5821,5513,5132,12,18,28
"02120  Länsikorkee-Suvikumpu (Espoo)",6534,5284,5051,8,35,43
"02130  Pohjois-Tapiola (Espoo)",5907,4404,4312,6,27,43
"02140  Laajalahti (Espoo)",.,...,2240,.,2,11
"02150  Otaniemi (Espoo)",...,...,4623,1,1,7
"02160  Westend (Espoo)",...,4828,4922,1,7,12
"02170  Haukilahti (Espoo)",6012,4637,4360,14,37,47
"02180  Mankkaa (Espoo)",...,.,...,1,.,3
"02200  Niittykumpu (Espoo)",5515,5218,4581,17,53,48
"02210  Olari (Espoo)",4126,3264,2894,24,89,97
"02230  Matinkylä (Espoo)",4698,4279,3633,33,165,148
"02240  Friisilä (Espoo)",...,...,.,1,1,.
"02250  Henttaa (Espoo)",...,5129,4426,2,6,6
"02260  Kaitaa (Espoo)",...,3069,2888,1,8,9
