"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"00900  Puotinharju (Helsinki)",1.8,1.8,1.8,1.8,1.8
"00910  Puotila (Helsinki)",1.7,1.7,1.7,1.7,1.7
"00920  Myllypuro (Helsinki)",2.1,2.0,2.0,2.0,2.0
"00930  Itäkeskus - Marjaniemi (Helsinki)",2.1,2.1,2.1,2.1,2.1
"00940  Kontula - Vesala - Kivikko (Helsinki)",2.0,2.0,2.0,2.0,2.0
"00950  Vartioharju (Helsinki)",2.3,2.3,2.3,2.3,2.2
"00960  Pohjois-Vuosaari (Helsinki)",1.9,1.9,1.8,1.8,1.8
"00970  Mellunmäki (Helsinki)",1.9,1.8,1.8,1.8,1.8
"00980  Etelä-Vuosaari (Helsinki)",2.0,2.0,2.0,2.0,1.9
"00990  Aurinkolahti (Helsinki)",1.9,1.9,1.9,1.8,1.8
"01120  Västerskog (Sipoo)",2.5,2.5,2.4,2.4,2.4
"01150  Söderkulla (Sipoo)",2.2,2.2,2.2,2.1,2.1
"01180  Kalkkiranta (Sipoo)",2.4,2.4,2.4,2.4,2.3
"01190  Box (Sipoo)",2.4,2.5,2.4,2.4,2.4
"01200  Hakunila (Vantaa)",2.0,2.0,2.0,2.0,2.0
"01230  Vaarala (Vantaa)",2.2,2.2,2.2,2.2,2.2
"01260  Itä-Hakkila (Vantaa)",2.5,2.5,2.5,2.5,2.5
"01280  Länsimäki (Vantaa)",2.1,2.1,2.1,2.1,2.1
"01300  Tikkurila (Vantaa)",1.8,1.8,1.7,1.8,1.8
"01340  Leinelä (Vantaa)",1.7,1.7,1.7,1.7,1.7
"01350  Hiekkaharju (Vantaa)",2.0,2.0,2.0,2.0,2.0
"01360  Koivukylä-Havukoski (Vantaa)",1.9,1.9,1.9,2.0,2.0
"01370  Jokiniemi (Vantaa)",1.9,1.8,1.8,1.9,1.9
"01380  Kuusikko-Hakkila (Vantaa)",2.6,2.6,2.6,2.6,2.6
"01390  Ruskeasanta-Ilola (Vantaa)",2.5,2.5,2.4,2.4,2.4
"01400  Rekola (Vantaa)",2.2,2.1,2.1,2.1,2.1
