"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"08150  Keskilohja (Lohja)",2.3,2.2,2.2,2.2,2.2
"08200  Ojamo (Lohja)",1.9,1.9,1.9,1.9,1.8
"08350  Routio (Lohja)",1.9,1.9,1.9,1.8,1.9
"08360  Kisakallio (Lohja)",...,0.0,0.0,...,...
"08450  Hormajärvi (Lohja)",1.9,1.9,1.9,1.9,1.8
"08480  Karstu (Lohja)",2.3,2.3,2.2,2.4,2.4
"08500  Ventelä-Millola (Lohja)",2.2,2.2,2.2,2.2,2.2
"08680  Muijala (Lohja)",2.4,2.4,2.4,2.4,2.4
"08700  Virkkala (Lohja)",2.1,2.1,2.0,2.0,2.0
"08800  Kirkniemi (Lohja)",2.4,2.3,2.3,2.3,2.2
"09120  Karjalohja (Lohja)",2.0,2.0,2.0,2.0,2.1
"09220  Sammatti (Lohja)",2.2,2.3,2.2,2.3,2.2
"09430  Saukkola (Lohja)",2.1,2.1,2.1,2.1,2.1
"09520  Millola (Lohja)",2.0,2.0,2.0,1.8,1.9
"09630  Koisjärvi (Lohja)",2.3,2.2,2.3,2.4,2.4
"09810  Nummi-Oinola (Lohja)",2.0,2.0,2.0,2.0,2.1
"09930  Leppäkorpi (Lohja)",2.0,1.9,2.0,1.9,1.8
"10120  Tähtelä (Ingå)",2.3,2.4,2.3,2.3,2.3
"10140  Päivölä (Ingå)",2.3,2.2,2.2,2.1,2.2
"10160  Degerby (Ingå)",2.4,2.4,2.4,2.4,2.4
"10210  Inkoo Keskus (Ingå)",2.0,2.0,2.0,2.0,2.0
"10230  Inkoo Asemanseutu (Ingå)",2.3,2.4,2.3,2.2,2.3
"10250  Fagervik (Ingå)",1.9,1.9,2.1,2.0,1.9
"10270  Barösund (Ingå)",2.1,2.2,2.2,2.2,2.3
"10300  Karjaa Keskus (Raseborg)",1.9,1.9,1.9,1.9,1.9
"10320  Bäljars (Raseborg)",2.0,2.0,2.0,2.0,2.0
"10330  Pinjainen (Raseborg)",2.1,2.1,2.1,2.1,2.1
"10350  Meltolan sairaala-alue (Raseborg)",...,...,...,...,...
"10360  Mustio (Raseborg)",2.2,2.2,2.1,2.1,2.1
"10380  Kaunislahti (Raseborg)",2.2,2.2,2.2,2.2,2.2
"10410  Åminnefors (Raseborg)",1.7,1.7,1.6,1.6,1.7
"10420  Pohjankuru (Raseborg)",1.9,1.9,1.9,1.9,1.9
"10440  Bollsta (Raseborg)",1.9,1.9,2.0,2.0,2.0
"10470  Fiskari (Raseborg)",2.2,2.1,2.0,2.0,2.0
"10480  Antskog (Raseborg)",2.1,2.1,2.0,1.9,2.1
"10520  Tenhola Kirkonkylä (Raseborg)",2.1,2.1,2.1,2.1,2.1
"10570  Bromarv (Raseborg)",1.9,2.0,1.9,1.9,2.0
"10600  Tammisaari Keskus (Raseborg)",1.7,1.7,1.7,1.7,1.7
"10620  Tammisaari (Raseborg)",2.2,2.2,2.2,2.2,2.2
"10640  Dragsvik (Raseborg)",2.2,2.2,2.2,2.2,2.2
"10650  Flyet (Raseborg)",2.0,2.0,1.9,1.9,1.9
"10660  Trollböle (Raseborg)",1.9,1.9,1.9,1.9,1.9
"10680  Skogby (Raseborg)",2.2,2.2,2.3,2.2,2.2
"10710  Snappertuna (Raseborg)",2.1,2.0,2.0,2.0,2.0
"10820  Lappohja (Hanko)",1.8,1.8,1.7,1.7,1.7
"10900  Hanko Keskus (Hanko)",1.7,1.7,1.7,1.7,1.7
"10940  Hangonkylä (Hanko)",2.1,2.1,2.1,2.0,2.0
"10960  Hanko Pohjoinen (Hanko)",1.9,1.9,1.9,1.9,1.9
"11100  Riihimäki Keskus (Riihimäki)",1.6,1.5,1.5,1.5,1.5
"11120  Pohjois-Riihimäki (Riihimäki)",2.0,2.0,2.0,2.0,2.0
"11130  Peltosaari-Patastenmäki (Riihimäki)",2.0,2.0,2.0,2.0,2.0
"11310  Taka-Kasarmi (Riihimäki)",2.3,2.3,2.3,2.3,2.2
"11710  Herajoki (Riihimäki)",2.2,2.2,2.1,2.1,2.1
"11910  Lasi-Kumela (Riihimäki)",2.1,2.0,2.0,2.0,2.0
"12100  Oitti (Hausjärvi)",2.0,1.9,1.9,1.9,1.9
"12130  Mommila (Hausjärvi)",2.0,1.9,1.9,1.9,1.9
"12170  Hietoinen (Hausjärvi)",2.1,2.1,2.1,2.0,2.1
"12210  Hausjärvi kk (Hausjärvi)",2.3,2.3,2.2,2.2,2.1
"12240  Hikiä (Hausjärvi)",2.3,2.3,2.3,2.2,2.2
"12310  Ryttylä (Hausjärvi)",2.2,2.1,2.1,2.1,2.1
"12350  Turkhauta (Hausjärvi)",2.1,2.1,2.1,2.1,2.1
"12380  Leppäkoski (Janakkala)",2.2,2.1,2.2,2.2,2.3
"12400  Tervakoski (Janakkala)",2.0,2.0,2.0,2.0,2.0
"12450  Vähikkälä (Janakkala)",2.4,2.4,2.4,2.3,2.3
"12520  Kormu (Loppi)",2.7,2.7,2.7,2.7,2.7
"12540  Launonen (Loppi)",2.5,2.5,2.4,2.4,2.3
"12600  Läyliäinen (Loppi)",2.2,2.2,2.2,2.1,2.1
"12630  Sajaniemi (Loppi)",2.3,2.3,2.2,2.2,2.2
"12640  Joentaka (Loppi)",2.4,2.3,2.3,2.2,2.1
"12700  Loppi kk (Loppi)",1.9,1.9,1.9,1.9,1.9
"12750  Pilpala (Loppi)",2.1,2.1,2.1,2.1,2.0
"12820  Räyskälä (Loppi)",...,...,...,...,...
"12920  Topeno (Loppi)",2.1,2.1,2.1,2.1,2.1
"12950  Vojakkala-Eerolankulma (Loppi)",1.8,1.8,1.9,1.9,1.9
"13100  Hämeenlinna Keskus (Hämeenlinna)",1.6,1.6,1.6,1.6,1.6
"13110  Kantola (Hämeenlinna)",1.7,1.7,1.7,1.5,1.5
"13130  Kauriala (Hämeenlinna)",1.6,1.6,1.6,1.6,1.7
"13200  Keinusaari (Hämeenlinna)",1.4,1.4,1.4,1.4,1.4
"13210  Hätilä (Hämeenlinna)",1.8,1.8,1.8,1.8,1.8
"13220  Sairio (Hämeenlinna)",2.1,2.1,2.1,2.0,2.1
"13250  Katuma (Hämeenlinna)",1.6,1.6,1.5,1.6,1.7
"13270  Ruununmylly (Hämeenlinna)",2.6,2.5,2.5,2.5,2.5
"13300  Käikälä (Hämeenlinna)",2.5,2.4,2.5,2.5,2.4
"13330  Harviala (Janakkala)",2.8,2.8,2.8,2.8,2.8
"13430  Hattelmala (Hämeenlinna)",2.4,2.4,2.4,2.4,2.4
"13500  Jukola (Hämeenlinna)",2.1,2.1,2.1,2.1,2.1
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",0.0,0.0,0.0,0.0,0.0
"13600  Ojoinen (Hämeenlinna)",1.9,1.8,1.8,1.8,1.8
"13700  Parolannummi (Hattula)",2.1,2.1,2.1,2.1,2.1
"13720  Parola (Hattula)",2.1,2.1,2.1,2.1,2.1
"13800  Katinala (Hattula)",2.0,2.0,2.0,2.0,2.0
"13880  Rahkoila (Hattula)",2.4,2.4,2.4,2.3,2.3
"13900  Pekola (Hattula)",2.6,2.6,2.6,2.6,2.6
"14140  Jokimaa (Janakkala)",2.0,2.0,2.0,2.0,2.0
"14200  Turenki (Janakkala)",1.9,1.9,1.9,1.9,1.9
"14240  Väli-Janakkala (Janakkala)",2.3,2.3,2.3,2.3,2.3
"14300  Renko kk (Hämeenlinna)",2.0,2.0,2.0,2.0,2.0
"14430  Vuohiniemi (Hattula)",1.6,1.6,1.6,1.5,1.5
"14450  Rimmilä (Hämeenlinna)",2.1,1.9,1.9,1.9,1.8
"14500  Iittala (Hämeenlinna)",2.1,2.1,2.1,2.1,2.1
"14530  Leteensuo (Hattula)",2.1,2.1,2.1,2.1,2.0
"14610  Lepaa (Hattula)",2.0,2.0,1.9,2.0,2.0
"14620  Tyrväntö (Hattula)",2.0,2.0,2.0,2.0,2.1
"14680  Alvettula (Hämeenlinna)",2.3,2.2,2.2,2.2,2.2
"14690  Torvoila (Hämeenlinna)",1.9,1.9,1.9,1.8,1.8
"14700  Hauho kk (Hämeenlinna)",1.9,1.9,1.9,1.8,1.8
"14770  Eteläinen (Hämeenlinna)",2.4,2.4,2.3,2.4,2.4
"14810  Pohjoinen (Hämeenlinna)",2.1,2.1,2.0,2.0,2.0
"14820  Syrjäntaka (Hämeenlinna)",2.1,2.0,2.0,1.9,1.9
"14840  Sairiala (Hämeenlinna)",1.9,1.9,1.9,2.0,1.9
"14870  Juttila (Hämeenlinna)",2.0,2.0,2.1,2.1,2.0
"14930  Sappee (Hämeenlinna)",1.8,1.7,1.7,1.8,1.8
"14960  Puutikkala (Pälkäne)",1.6,1.8,2.0,2.1,2.0
"14980  Kuohijoki (Pälkäne)",...,...,...,...,...
"15100  Lahti Asemanseutu (Lahti)",1.6,1.6,1.6,1.5,1.5
"15110  Keski-Lahti (Lahti)",1.4,1.4,1.4,1.4,1.4
"15140  Kartano-Paavola (Lahti)",1.5,1.5,1.5,1.5,1.5
"15150  Möysä (Lahti)",1.6,1.6,1.6,1.6,1.6
"15160  Kolava (Lahti)",3.1,3.0,3.0,3.0,3.0
"15170  Tenava-Tonttila (Lahti)",1.7,1.7,1.7,1.7,1.7
"15200  Kiveriö (Lahti)",1.7,1.7,1.6,1.6,1.6
"15210  Kivistönmäki (Lahti)",1.5,1.5,1.5,1.5,1.5
"15230  Kytölä (Lahti)",2.4,2.4,2.4,2.3,2.3
"15240  Mukkula (Lahti)",1.8,1.8,1.8,1.8,1.8
"15270  Kukkila (Hollola)",2.7,2.7,2.7,2.7,2.7
"15300  Myllypohja-Koiskala (Lahti)",2.1,2.1,2.0,2.0,2.0
"15320  Ahtiala (Lahti)",2.5,2.5,2.5,2.4,2.5
"15340  Kunnas-Hiekkanummi (Lahti)",2.5,2.5,2.5,2.5,2.5
"15460  Mäkelä (Lahti)",2.4,2.3,2.3,2.2,2.2
"15500  Liipola (Lahti)",1.7,1.7,1.7,1.7,1.7
"15520  Saksala (Lahti)",1.6,1.5,1.5,1.5,1.5
"15540  Villähde (Lahti)",2.4,2.4,2.4,2.4,2.4
"15550  Rakokivi (Lahti)",1.9,1.8,1.8,1.8,1.8
"15560  Nastola kk (Lahti)",1.9,1.9,1.9,1.9,1.9
"15580  Ruuhijärvi (Lahti)",2.0,2.0,2.0,2.0,2.1
"15610  Laune-Nikkilä (Lahti)",2.2,2.2,2.2,2.2,2.2
"15680  Renkomäki-Ämmälä (Lahti)",2.8,2.7,2.7,2.7,2.7
"15700  Hennala-Jokimaa (Lahti)",1.8,1.8,1.8,1.8,1.8
"15800  Kärpänen (Lahti)",1.7,1.7,1.7,1.7,1.7
"15810  Kasakkamäki (Lahti)",2.2,2.2,2.2,2.2,2.2
"15820  Okeroinen (Hollola)",2.7,2.6,2.6,2.6,2.5
"15830  Metsäkangas (Lahti)",1.7,1.7,1.7,1.7,1.7
"15840  Riihelä (Lahti)",2.1,2.1,2.1,2.1,2.1
"15850  Likolampi (Lahti)",1.9,1.9,1.9,1.9,1.9
"15860  Kartano (Hollola)",1.8,1.9,1.9,1.9,1.9
"15870  Salpakangas (Hollola)",1.8,1.8,1.8,1.8,1.8
"15880  Soramäki (Hollola)",2.2,2.1,2.1,2.1,2.1
"15900  Jalkaranta (Lahti)",2.2,2.3,2.3,2.3,2.3
"15950  Kiikkula (Lahti)",1.8,1.8,1.8,1.8,1.8
"15980  Messilä (Hollola)",0.0,0.0,0.0,0.0,0.0
"16100  Uusikylä (Lahti)",2.0,2.0,2.0,2.0,2.0
"16160  Okkeri (Lahti)",2.3,2.3,2.3,2.2,2.4
"16200  Artjärvi Keskus (Orimattila)",1.8,1.8,1.8,1.8,1.8
"16230  Artjärvi Kirkonkylä (Orimattila)",2.0,2.0,2.0,2.0,1.9
"16260  Hietana (Orimattila)",2.1,2.0,2.0,2.0,2.0
"16270  Villikkala (Orimattila)",2.1,2.0,2.1,2.0,2.1
"16280  Kuivanto (Orimattila)",2.2,2.2,2.1,2.1,2.1
"16300  Orimattila Keskus (Orimattila)",1.9,1.9,1.9,1.9,1.9
"16310  Virenoja (Orimattila)",2.7,2.7,2.7,2.6,2.6
"16320  Pennala (Orimattila)",2.7,2.8,2.8,2.7,2.7
"16330  Heinämaa (Orimattila)",2.3,2.3,2.1,2.1,2.1
"16350  Niinikoski (Orimattila)",2.1,2.0,2.0,2.1,2.1
"16390  Pakaa (Orimattila)",2.3,2.3,2.2,2.2,2.2
"16450  Mallusjoki (Orimattila)",2.0,2.0,2.0,2.0,2.0
"16500  Herrala (Hollola)",2.4,2.4,2.4,2.4,2.3
"16510  Luhtikylä (Orimattila)",2.3,2.2,2.2,2.2,2.3
"16540  Mertie (Kärkölä)",2.2,2.2,2.1,2.1,2.1
"16600  Järvelä (Kärkölä)",1.9,1.9,1.9,1.9,1.8
"16610  Kärkölä kk (Kärkölä)",2.2,2.1,2.1,2.1,2.1
"16630  Tennilä (Hollola)",2.6,2.5,2.5,2.5,2.4
"16670  Lappila (Kärkölä)",1.9,1.9,1.9,1.9,1.9
"16710  Hollola kk (Hollola)",2.5,2.5,2.4,2.4,2.4
"16730  Kutajärvi (Hollola)",2.3,2.2,2.3,2.3,2.3
"16790  Manskivi (Hollola)",2.0,1.9,1.8,1.9,2.0
"16800  Hämeenkoski (Hollola)",2.0,2.0,2.0,2.0,1.9
"16900  Lammi kk (Hämeenlinna)",2.0,2.0,1.9,1.9,1.9
"16960  Iso-Evo (Hämeenlinna)",1.9,1.8,1.8,1.9,1.9
"16970  Evo (Hämeenlinna)",1.6,1.5,1.6,1.6,1.6
"17110  Kalliola (Hollola)",2.4,2.5,2.4,2.4,2.4
"17120  Paimela (Hollola)",2.5,2.4,2.4,2.3,2.3
"17130  Vesivehmaa (Asikkala)",2.4,2.4,2.4,2.4,2.4
"17150  Urajärvi (Asikkala)",2.3,2.3,2.3,2.3,2.3
"17200  Vääksy Keskus (Asikkala)",1.9,1.9,1.9,1.9,1.8
"17220  Pietilä (Asikkala)",2.1,2.2,2.1,2.1,2.0
"17240  Kalkkinen (Asikkala)",1.9,1.9,1.9,1.9,1.9
"17320  Asikkala (Asikkala)",2.0,2.0,2.0,2.1,2.0
"17410  Viitaila (Asikkala)",2.0,2.0,2.0,1.9,1.9
"17430  Kurhila (Asikkala)",2.4,2.4,2.3,2.4,2.3
"17440  Vähimaa (Asikkala)",1.9,...,...,...,...
"17450  Iso-Äiniö-Vähimaa (Asikkala)",2.0,2.0,2.0,2.0,2.1
"17470  Maakeski (Padasjoki)",2.1,2.1,2.1,2.1,2.0
"17500  Padasjoki Keskus (Padasjoki)",1.7,1.7,1.7,1.7,1.7
"17510  Nyystölä (Padasjoki)",2.3,2.3,2.3,2.2,2.1
"17530  Arrakoski (Padasjoki)",1.9,1.9,1.9,2.0,1.8
"17610  Auttoinen (Padasjoki)",2.0,2.0,2.0,2.0,2.0
"17630  Vesijako (Padasjoki)",2.0,1.9,2.0,2.0,1.9
"17710  Torittu (Padasjoki)",2.1,...,...,...,...
"17740  Kasiniemi-Torittu (Padasjoki)",...,1.6,1.5,...,...
"17780  Harmoinen (Kuhmoinen)",2.0,1.9,1.9,1.9,1.8
"17800  Kuhmoinen Keskus (Kuhmoinen)",1.7,1.7,1.7,1.7,1.6
"17840  Harjunsalmi (Kuhmoinen)",2.2,2.2,2.1,1.9,2.1
"17850  Pihlajakoski (Kuhmoinen)",1.7,1.7,1.7,1.6,1.6
"17870  Ruolahti (Kuhmoinen)",1.7,1.8,1.7,1.7,1.7
"17930  Päijälä (Kuhmoinen)",1.8,1.7,1.6,1.7,1.7
"17950  Kylämä (Kuhmoinen)",...,...,...,...,...
"17970  Puukkoinen (Kuhmoinen)",...,...,...,...,...
"18100  Heinola Keskus (Heinola)",1.7,1.7,1.7,1.6,1.6
"18120  Reumasairaala-alue (Heinola)",1.9,1.9,1.8,1.9,1.9
"18130  Tommola-Sahanniemi (Heinola)",1.6,1.6,1.5,1.5,1.5
"18150  Jyränkö (Heinola)",1.8,1.8,1.8,1.8,1.8
"18200  Kaakonlampi-Pyhätön (Heinola)",1.7,1.7,1.6,1.7,1.6
"18300  Heinola kk (Heinola)",2.0,1.9,1.9,1.9,1.9
"18600  Myllyoja (Heinola)",2.3,2.3,2.2,2.2,2.2
"19110  Vierumäki taajama (Heinola)",2.1,2.1,2.0,2.0,2.0
"19120  Vierumäki urheiluopisto (Heinola)",1.8,1.8,1.7,1.7,1.8
"19160  Huutotöyry (Iitti)",2.2,2.2,2.2,2.2,2.2
"19210  Lusi (Heinola)",2.1,2.1,2.2,2.1,2.0
"19230  Onkiniemi (Sysmä)",1.8,1.9,1.8,1.7,1.6
"19250  Syrjäkoski (Heinola)",...,...,...,...,...
"19260  Paaso-Syrjäkoski (Heinola)",1.7,1.7,1.7,1.7,1.7
"19310  Karilanmaa (Sysmä)",1.9,1.8,1.9,2.0,2.0
"19320  Nikkaroinen (Sysmä)",2.2,2.1,2.1,2.0,2.0
"19370  Nuoramoinen (Sysmä)",2.0,2.0,2.0,2.0,2.0
"19410  Kuortti (Mäntyharju)",1.8,1.8,1.8,1.8,1.8
"19420  Mansikkamäki (Mäntyharju)",1.9,1.9,1.8,1.8,1.8
"19430  Pertunmaa Keskus (Mäntyharju)",1.7,1.7,1.7,1.7,1.7
"19460  Ruorasmäki (Mäntyharju)",1.9,1.9,1.8,1.8,1.7
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",1.9,1.9,1.8,1.8,1.8
"19480  Hartosenpää (Mäntyharju)",2.0,2.0,1.9,1.9,1.8
"19510  Lepsala (Hartola)",...,...,...,...,...
"19540  Koitti-Lepsala (Hartola)",1.8,1.9,1.8,1.7,1.8
"19600  Hartola Keskus (Hartola)",1.7,1.7,1.7,1.6,1.7
"19610  Murakka (Hartola)",1.8,1.7,1.8,1.8,1.7
"19620  Pohela (Hartola)",2.0,2.0,2.0,2.0,1.8
"19630  Kalhonkylä (Hartola)",2.2,2.1,2.0,2.0,2.0
"19650  Joutsa Keskus (Joutsa)",1.7,1.7,1.7,1.7,1.7
"19670  Mieskonmäki (Joutsa)",2.2,2.2,2.3,2.2,2.2
"19700  Sysmä Keskus (Sysmä)",1.7,1.6,1.6,1.6,1.6
"19730  Särkilampi (Sysmä)",...,...,...,...,...
"19740  Liikola (Sysmä)",1.9,1.9,1.9,1.9,1.9
"19770  Valittula (Sysmä)",2.2,2.2,2.1,2.2,2.2
"19850  Putkijärvi-Siltasuo (Hartola)",1.7,1.7,1.7,1.7,1.7
"19910  Tammijärvi (Luhanka)",1.9,1.9,1.8,1.9,1.9
"19920  Pappinen (Joutsa)",2.1,2.1,2.1,2.0,2.0
"19950  Luhanka (Luhanka)",1.7,1.7,1.6,1.6,1.7
"20100  Turku Keskus (Turku)",1.5,1.5,1.5,1.5,1.5
"20200  Iso-Heikkilä (Turku)",1.4,1.4,1.3,1.3,1.3
"20210  Pahaniemi (Turku)",1.8,1.8,1.8,1.8,1.9
"20240  Pansio-Perno (Turku)",1.9,1.9,1.9,1.9,2.0
"20250  Pitkämäki-Muhkuri (Turku)",2.4,2.4,2.4,2.2,1.7
"20300  Pohjola-Kastu (Turku)",1.7,1.7,1.7,1.7,1.7
"20320  Kuninkoja-Mälikkälä (Turku)",1.8,1.8,1.8,1.7,1.7
"20360  Runosmäki-Kärsämäki (Turku)",1.7,1.7,1.7,1.7,1.7
"20380  Räntämäki-Saramäki (Turku)",2.2,2.1,2.1,2.1,2.2
"20400  Moisio (Turku)",2.8,2.8,2.8,2.8,2.8
"20460  Jäkärlä (Turku)",2.0,2.0,2.0,2.0,2.0
"20500  Vesilinna (Turku)",1.4,1.4,1.4,1.4,1.4
"20520  Kupittaa (Turku)",1.5,1.4,1.4,1.5,1.5
"20540  Nummi-Ylioppilaskylä (Turku)",1.7,1.7,1.7,1.7,1.8
"20610  Varissuo (Turku)",2.0,1.9,1.9,2.0,2.0
"20660  Littoinen (Kaarina)",2.5,2.5,2.5,2.5,2.4
"20700  Vartiovuori-Samppalinna (Turku)",1.4,1.4,1.4,1.4,1.4
"20720  Vasaramäki (Turku)",1.6,1.6,1.6,1.6,1.6
"20730  Skanssi (Turku)",1.5,1.5,1.5,1.5,1.5
"20740  Ilpoinen-Harittu (Turku)",1.8,1.8,1.8,1.8,1.8
"20750  Huhkola-Lauste-Vaala (Turku)",2.0,2.0,2.0,2.1,2.1
"20760  Piispanristi (Kaarina)",2.0,2.0,2.0,2.0,2.0
"20780  Kaarina Keskus (Kaarina)",2.0,2.0,2.0,2.0,2.0
"20800  Ammattikorkeakoulu (Turku)",0.0,0.0,0.0,0.0,0.0
"20810  Martti-Korppolaismäki (Turku)",1.6,1.6,1.6,1.6,1.6
"20880  Uittamo (Turku)",1.8,1.8,1.8,1.8,1.8
"20900  Moikoinen-Pikisaari (Turku)",2.6,2.5,2.5,2.5,2.5
"20960  Kakskerta (Turku)",2.4,2.3,2.3,2.3,2.3
"21100  Naantali Keskus (Naantali)",1.8,1.8,1.8,1.8,1.8
"21110  Taimo-Nuhjala-Lietsala (Naantali)",2.2,2.2,2.2,2.2,2.2
"21120  Kaanaa (Raisio)",2.5,2.5,2.4,2.4,2.4
"21130  Poikko (Naantali)",2.3,2.2,2.2,2.2,2.2
"21140  Rymättylä Keskus (Naantali)",2.0,2.0,2.0,2.0,2.0
"21150  Röölä (Naantali)",1.9,1.9,1.9,1.9,1.9
"21160  Merimasku (Naantali)",2.3,2.3,2.3,2.3,2.3
"21180  Livonsaari (Naantali)",2.1,2.2,2.1,2.1,2.1
"21195  Velkua (Naantali)",2.1,2.1,2.0,2.1,2.1
"21200  Raisio Keskus (Raisio)",1.8,1.8,1.8,1.8,1.8
"21210  Hakinmäki (Raisio)",2.2,2.2,2.2,2.2,2.2
"21220  Somersoja (Raisio)",2.2,2.1,2.1,2.1,2.1
"21230  Lemu (Masku)",2.4,2.4,2.4,2.4,2.4
"21240  Askainen (Masku)",2.3,2.2,2.2,2.2,2.3
"21250  Masku (Masku)",2.4,2.4,2.4,2.4,2.4
"21260  Ihala (Raisio)",2.3,2.3,2.3,2.3,2.3
"21270  Nousiainen (Nousiainen)",2.3,2.3,2.3,2.3,2.3
"21280  Kuloinen (Raisio)",2.4,2.3,2.4,2.4,2.4
"21290  Rusko (Rusko)",2.5,2.5,2.5,2.5,2.4
"21310  Vahto (Rusko)",2.5,2.4,2.4,2.3,2.3
"21330  Paattinen (Turku)",2.3,2.3,2.3,2.3,2.3
"21340  Tortinmäki (Turku)",2.2,2.1,2.1,2.1,2.2
"21350  Ilmarinen (Lieto)",2.7,2.6,2.7,2.6,2.6
"21360  Lieto Asemanseutu (Lieto)",2.4,2.3,2.3,2.3,2.3
"21370  Aura kk. (Aura)",2.3,2.2,2.2,2.2,2.1
"21380  Aura Keskus (Aura)",2.2,2.2,2.2,2.2,2.1
"21410  Vanhalinna (Lieto)",2.6,2.6,2.6,2.6,2.6
"21420  Lieto Keskus (Lieto)",2.1,2.1,2.1,2.1,2.1
"21430  Yliskulma (Lieto)",2.4,2.4,2.3,2.3,2.2
"21450  Tarvasjoki Keskus (Lieto)",2.2,2.2,2.1,2.1,2.1
"21480  Prunkila (Marttila)",2.3,2.3,2.2,2.2,2.2
"21490  Marttila (Marttila)",2.0,1.9,1.9,1.9,1.9
"21500  Piikkiö (Kaarina)",2.3,2.3,2.3,2.3,2.2
"21510  Hevonpää (Paimio)",2.5,2.4,2.4,2.4,2.4
"21530  Paimio Keskus (Paimio)",2.1,2.1,2.1,2.1,2.1
"21540  Preitilä (Paimio)",2.6,2.6,2.6,2.6,2.6
"21555  Taatila (Paimio)",2.2,2.3,2.3,2.3,2.3
"21560  Ollila (Marttila)",2.1,2.1,2.0,2.0,2.0
"21570  Sauvo Keskus (Sauvo)",2.1,2.1,2.1,2.1,2.1
"21590  Karuna (Sauvo)",2.0,2.0,2.0,2.0,2.0
"21600  Parainen Keskus (Pargas)",2.1,2.1,2.0,2.1,2.0
"21610  Kirjala (Pargas)",2.5,2.4,2.4,2.3,2.3
"21620  Kuusisto (Kaarina)",2.6,2.6,2.6,2.6,2.6
"21630  Lielahti (Pargas)",2.5,2.4,2.4,2.3,2.3
"21650  Lillandet (Pargas)",1.9,2.0,2.0,2.0,1.9
"21660  Nauvo Keskus (Pargas)",1.9,1.9,1.9,1.9,1.9
"21670  Mattnäs-Nötö (Pargas)",2.1,2.1,2.1,2.1,2.1
"21680  Nötö (Pargas)",...,...,...,...,...
"21710  Korppoo Keskus-Utö (Pargas)",1.8,1.8,1.8,1.8,1.8
"21720  Korpoström (Pargas)",...,...,...,...,...
"21740  Utö (Pargas)",...,...,...,...,...
"21750  Norrskata (Pargas)",1.8,1.8,1.6,1.6,1.6
"21760  Houtskär Keskus (Pargas)",1.9,1.9,2.0,1.9,1.9
"21770  Mossala (Pargas)",2.1,2.1,2.0,2.0,2.0
"21800  Kyrö (Pöytyä)",2.1,2.1,2.1,2.1,2.1
"21820  Kumila (Pöytyä)",2.1,2.1,2.1,2.1,2.1
"21840  Karinainen (Pöytyä)",3.1,3.0,3.0,3.0,3.0
"21860  Auvainen (Pöytyä)",2.5,2.4,2.4,2.4,2.3
"21870  Riihikoski (Pöytyä)",2.1,2.1,2.1,2.1,2.0
"21880  Pöytyä (Pöytyä)",1.9,2.0,1.9,2.0,1.9
"21890  Haveri (Pöytyä)",2.3,2.3,2.3,2.3,2.2
"21900  Yläne Keskus (Pöytyä)",2.0,1.9,1.9,1.9,1.9
"21930  Uusikartano (Pöytyä)",2.1,2.0,2.0,2.0,2.0
"22100  Maarianhamina (Mariehamn)",1.9,1.9,1.9,1.9,1.9
"22120  Möckelö (Jomala)",2.4,2.4,2.3,2.3,2.4
"22130  Gottby (Jomala)",2.6,2.6,2.6,2.6,2.5
"22140  Önningby (Jomala)",2.6,2.6,2.5,2.4,2.4
"22150  Jomala Centrum (Jomala)",2.3,2.3,2.3,2.3,2.3
"22160  Järsö (Lemland)",2.5,2.4,2.4,2.4,2.3
"22220  Emkarby (Finström)",2.2,2.1,2.1,2.2,2.2
"22240  Hammarland (Hammarland)",2.2,2.2,2.2,2.2,2.2
"22270  Storby (Eckerö)",2.0,2.0,2.0,2.0,2.1
"22310  Pålsböle (Finström)",2.3,2.3,2.3,2.3,2.3
"22320  Ödkarby (Saltvik)",2.2,2.1,2.1,2.1,2.2
"22330  Tjudö (Finström)",2.5,2.5,2.5,2.3,2.3
"22340  Geta (Geta)",2.2,2.2,2.2,2.1,2.1
"22410  Godby (Finström)",2.1,2.2,2.1,2.2,2.2
"22430  Saltvik (Saltvik)",2.1,2.1,2.1,2.1,2.1
"22520  Tosarby (Sund)",1.9,2.0,1.9,2.0,2.0
"22530  Sund (Sund)",2.1,2.1,2.1,2.0,2.0
"22550  Vårdö (Vårdö)",2.2,2.2,2.2,2.3,2.2
"22610  Lemland (Lemland)",2.4,2.4,2.4,2.4,2.4
"22630  Lumparland (Lumparland)",2.1,2.1,2.1,2.1,2.1
"22710  Ålands Degerby (Föglö)",2.0,2.0,2.0,2.0,2.0
"22720  Sottunga (Sottunga)",1.6,1.7,1.8,1.8,1.7
"22730  Kökar (Kökar)",1.9,1.9,1.9,1.9,1.9
"22810  Seglinge (Kumlinge)",...,...,...,...,...
"22820  Kumlinge (Kumlinge)",1.8,1.8,1.8,1.7,1.7
"22830  Enklinge (Kumlinge)",2.3,2.3,2.1,1.9,1.9
"22840  Lappo (Brändö)",1.6,1.6,1.5,1.4,1.5
"22910  Torsholma (Brändö)",2.2,2.0,2.1,2.3,2.2
"22920  Brändö-Åland (Brändö)",1.7,1.8,1.9,1.8,1.8
