"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"13700  Parolannummi (Hattula)",69,70,69,67,68
"13720  Parola (Hattula)",799,817,836,830,867
"13800  Katinala (Hattula)",221,228,237,220,232
"13880  Rahkoila (Hattula)",162,158,162,157,160
"13900  Pekola (Hattula)",66,76,75,73,71
"14140  Jokimaa (Janakkala)",39,40,38,42,39
"14200  Turenki (Janakkala)",1956,1929,1948,1939,1976
"14240  Väli-Janakkala (Janakkala)",105,102,103,105,113
"14300  Renko kk (Hämeenlinna)",420,416,421,433,415
"14430  Vuohiniemi (Hattula)",19,20,17,21,21
"14450  Rimmilä (Hämeenlinna)",19,21,20,23,25
"14500  Iittala (Hämeenlinna)",577,604,593,578,611
"14530  Leteensuo (Hattula)",36,34,35,32,37
"14610  Lepaa (Hattula)",83,82,84,78,82
"14620  Tyrväntö (Hattula)",32,33,35,32,32
"14680  Alvettula (Hämeenlinna)",80,88,87,80,77
"14690  Torvoila (Hämeenlinna)",38,37,37,37,40
"14700  Hauho kk (Hämeenlinna)",462,449,461,446,461
"14770  Eteläinen (Hämeenlinna)",104,108,115,111,106
"14810  Pohjoinen (Hämeenlinna)",39,38,42,45,41
"14820  Syrjäntaka (Hämeenlinna)",158,172,179,175,178
"14840  Sairiala (Hämeenlinna)",36,40,45,41,40
"14870  Juttila (Hämeenlinna)",45,44,42,43,44
"14930  Sappee (Hämeenlinna)",24,26,28,26,24
"14960  Puutikkala (Pälkäne)",23,22,18,15,18
"14980  Kuohijoki (Pälkäne)",...,...,...,...,...
"15100  Lahti Asemanseutu (Lahti)",2626,2612,2721,2810,2867
"15110  Keski-Lahti (Lahti)",2529,2523,2706,2774,2791
"15140  Kartano-Paavola (Lahti)",6401,6520,6572,6617,6564
"15150  Möysä (Lahti)",1685,1704,1725,1726,1737
"15160  Kolava (Lahti)",126,140,167,168,166
"15170  Tenava-Tonttila (Lahti)",1247,1233,1223,1226,1235
"15200  Kiveriö (Lahti)",1190,1160,1224,1242,1231
"15210  Kivistönmäki (Lahti)",1886,1905,1917,1909,1921
"15230  Kytölä (Lahti)",363,378,376,392,396
"15240  Mukkula (Lahti)",2118,2154,2166,2167,2175
"15270  Kukkila (Hollola)",143,135,136,139,138
"15300  Myllypohja-Koiskala (Lahti)",808,798,812,811,821
"15320  Ahtiala (Lahti)",309,314,308,318,314
"15340  Kunnas-Hiekkanummi (Lahti)",204,203,214,218,222
"15460  Mäkelä (Lahti)",57,67,65,69,67
"15500  Liipola (Lahti)",1656,1665,1688,1697,1656
"15520  Saksala (Lahti)",837,850,848,839,856
"15540  Villähde (Lahti)",453,446,458,471,471
"15550  Rakokivi (Lahti)",942,979,971,966,955
"15560  Nastola kk (Lahti)",1024,1025,1006,990,1007
"15580  Ruuhijärvi (Lahti)",41,44,40,39,34
"15610  Laune-Nikkilä (Lahti)",774,788,797,815,829
"15680  Renkomäki-Ämmälä (Lahti)",198,218,240,239,238
"15700  Hennala-Jokimaa (Lahti)",1873,1934,1970,2062,2109
"15800  Kärpänen (Lahti)",1107,1097,1100,1096,1095
"15810  Kasakkamäki (Lahti)",212,241,231,220,216
"15820  Okeroinen (Hollola)",88,92,88,88,96
"15830  Metsäkangas (Lahti)",1225,1231,1230,1226,1234
"15840  Riihelä (Lahti)",361,365,341,333,325
"15850  Likolampi (Lahti)",147,154,158,166,167
"15860  Kartano (Hollola)",951,951,943,938,933
"15870  Salpakangas (Hollola)",1101,1105,1126,1124,1127
"15880  Soramäki (Hollola)",711,712,715,727,741
"15900  Jalkaranta (Lahti)",216,206,212,225,229
"15950  Kiikkula (Lahti)",960,963,979,998,984
"15980  Messilä (Hollola)",0,0,0,0,0
"16100  Uusikylä (Lahti)",240,239,235,244,252
"16160  Okkeri (Lahti)",12,11,11,16,12
"16200  Artjärvi Keskus (Orimattila)",165,184,177,172,177
"16230  Artjärvi Kirkonkylä (Orimattila)",60,60,57,59,65
"16260  Hietana (Orimattila)",30,27,27,31,27
"16270  Villikkala (Orimattila)",22,25,20,22,21
"16280  Kuivanto (Orimattila)",91,91,88,98,95
"16300  Orimattila Keskus (Orimattila)",2444,2443,2482,2500,2485
"16310  Virenoja (Orimattila)",62,61,58,66,59
"16320  Pennala (Orimattila)",80,78,85,98,106
"16330  Heinämaa (Orimattila)",46,47,48,49,48
"16350  Niinikoski (Orimattila)",50,48,52,51,50
"16390  Pakaa (Orimattila)",34,36,37,34,33
"16450  Mallusjoki (Orimattila)",77,84,86,81,78
"16500  Herrala (Hollola)",103,105,109,109,110
"16510  Luhtikylä (Orimattila)",65,68,59,57,52
"16540  Mertie (Kärkölä)",40,41,48,47,43
"16600  Järvelä (Kärkölä)",694,698,681,681,682
"16610  Kärkölä kk (Kärkölä)",107,115,116,112,108
"16630  Tennilä (Hollola)",33,34,34,32,34
"16670  Lappila (Kärkölä)",128,126,124,124,121
"16710  Hollola kk (Hollola)",90,92,97,93,93
"16730  Kutajärvi (Hollola)",123,137,126,130,133
"16790  Manskivi (Hollola)",21,20,21,19,19
"16800  Hämeenkoski (Hollola)",393,395,398,395,400
"16900  Lammi kk (Hämeenlinna)",1057,1047,1067,1056,1053
"16960  Iso-Evo (Hämeenlinna)",29,33,35,33,37
"16970  Evo (Hämeenlinna)",26,31,26,30,27
"17110  Kalliola (Hollola)",114,103,106,113,107
"17120  Paimela (Hollola)",57,62,61,66,63
"17130  Vesivehmaa (Asikkala)",95,98,100,94,93
"17150  Urajärvi (Asikkala)",50,53,54,56,55
"17200  Vääksy Keskus (Asikkala)",1253,1237,1258,1261,1300
"17220  Pietilä (Asikkala)",35,32,34,33,34
"17240  Kalkkinen (Asikkala)",85,86,83,82,87
"17320  Asikkala (Asikkala)",58,57,60,60,61
"17410  Viitaila (Asikkala)",46,43,42,45,43
"17430  Kurhila (Asikkala)",30,31,31,33,38
"17440  Vähimaa (Asikkala)",13,...,...,...,...
"17450  Iso-Äiniö-Vähimaa (Asikkala)",32,33,33,32,36
"17470  Maakeski (Padasjoki)",43,48,47,51,50
"17500  Padasjoki Keskus (Padasjoki)",491,499,490,477,479
"17510  Nyystölä (Padasjoki)",31,31,29,31,33
"17530  Arrakoski (Padasjoki)",58,52,47,44,53
"17610  Auttoinen (Padasjoki)",43,43,46,47,50
"17630  Vesijako (Padasjoki)",19,21,20,20,22
"17710  Torittu (Padasjoki)",10,...,...,...,...
"17740  Kasiniemi-Torittu (Padasjoki)",...,15,16,...,...
"17780  Harmoinen (Kuhmoinen)",16,14,17,17,18
"17800  Kuhmoinen Keskus (Kuhmoinen)",499,492,509,509,516
"17840  Harjunsalmi (Kuhmoinen)",15,15,18,18,16
"17850  Pihlajakoski (Kuhmoinen)",22,21,25,28,25
"17870  Ruolahti (Kuhmoinen)",24,19,22,22,26
"17930  Päijälä (Kuhmoinen)",19,21,23,19,20
"17950  Kylämä (Kuhmoinen)",...,...,...,...,...
"17970  Puukkoinen (Kuhmoinen)",...,...,...,...,...
"18100  Heinola Keskus (Heinola)",2153,2224,2237,2269,2237
"18120  Reumasairaala-alue (Heinola)",174,169,171,151,154
"18130  Tommola-Sahanniemi (Heinola)",710,704,713,700,692
"18150  Jyränkö (Heinola)",585,583,589,595,600
"18200  Kaakonlampi-Pyhätön (Heinola)",653,667,674,657,660
"18300  Heinola kk (Heinola)",510,518,521,526,537
"18600  Myllyoja (Heinola)",87,93,97,95,95
"19110  Vierumäki taajama (Heinola)",102,97,105,111,114
"19120  Vierumäki urheiluopisto (Heinola)",27,24,25,30,26
"19160  Huutotöyry (Iitti)",79,79,75,79,81
"19210  Lusi (Heinola)",78,75,74,72,79
"19230  Onkiniemi (Sysmä)",30,27,31,30,32
"19250  Syrjäkoski (Heinola)",...,...,...,...,...
"19260  Paaso-Syrjäkoski (Heinola)",33,33,33,29,29
"19310  Karilanmaa (Sysmä)",13,16,14,13,11
"19320  Nikkaroinen (Sysmä)",10,11,13,14,14
"19370  Nuoramoinen (Sysmä)",78,78,73,70,66
"19410  Kuortti (Mäntyharju)",131,128,118,118,124
"19420  Mansikkamäki (Mäntyharju)",38,36,42,40,41
"19430  Pertunmaa Keskus (Mäntyharju)",206,209,199,204,198
"19460  Ruorasmäki (Mäntyharju)",27,26,27,26,26
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",33,32,35,35,32
"19480  Hartosenpää (Mäntyharju)",19,20,20,20,20
"19510  Lepsala (Hartola)",...,...,...,...,...
"19540  Koitti-Lepsala (Hartola)",63,56,65,69,67
"19600  Hartola Keskus (Hartola)",586,588,586,592,577
"19610  Murakka (Hartola)",24,25,22,21,24
"19620  Pohela (Hartola)",33,32,33,33,41
"19630  Kalhonkylä (Hartola)",12,14,15,14,15
"19650  Joutsa Keskus (Joutsa)",920,928,914,905,927
"19670  Mieskonmäki (Joutsa)",26,22,21,21,19
"19700  Sysmä Keskus (Sysmä)",873,877,863,866,859
"19730  Särkilampi (Sysmä)",...,...,...,...,...
"19740  Liikola (Sysmä)",28,30,30,25,25
"19770  Valittula (Sysmä)",21,20,20,17,16
"19850  Putkijärvi-Siltasuo (Hartola)",23,26,23,20,22
"19910  Tammijärvi (Luhanka)",99,94,100,96,110
"19920  Pappinen (Joutsa)",33,32,29,32,31
"19950  Luhanka (Luhanka)",84,89,89,85,80
"20100  Turku Keskus (Turku)",12144,12344,13047,13488,13739
"20200  Iso-Heikkilä (Turku)",1406,1646,2197,2946,3150
"20210  Pahaniemi (Turku)",1163,1155,1134,1140,1115
"20240  Pansio-Perno (Turku)",1327,1369,1363,1363,1307
"20250  Pitkämäki-Muhkuri (Turku)",78,80,82,120,402
"20300  Pohjola-Kastu (Turku)",2242,2251,2309,2365,2515
"20320  Kuninkoja-Mälikkälä (Turku)",4764,4873,4943,5018,4998
"20360  Runosmäki-Kärsämäki (Turku)",3795,3859,3818,3755,3733
"20380  Räntämäki-Saramäki (Turku)",372,465,473,453,429
"20400  Moisio (Turku)",194,208,212,229,215
"20460  Jäkärlä (Turku)",684,683,698,693,702
"20500  Vesilinna (Turku)",3147,3216,3248,3302,3308
"20520  Kupittaa (Turku)",1708,1742,1739,1805,1825
"20540  Nummi-Ylioppilaskylä (Turku)",5956,6252,6491,6472,6397
"20610  Varissuo (Turku)",3279,3475,3493,3528,3522
"20660  Littoinen (Kaarina)",869,861,887,885,908
"20700  Vartiovuori-Samppalinna (Turku)",2660,2734,2808,2821,2819
"20720  Vasaramäki (Turku)",2400,2407,2420,2412,2359
"20730  Skanssi (Turku)",323,346,466,502,582
"20740  Ilpoinen-Harittu (Turku)",2476,2513,2530,2456,2456
"20750  Huhkola-Lauste-Vaala (Turku)",1147,1162,1149,1113,1090
"20760  Piispanristi (Kaarina)",1010,1042,1105,1147,1156
"20780  Kaarina Keskus (Kaarina)",2613,2714,2817,2879,2914
"20800  Ammattikorkeakoulu (Turku)",0,0,0,0,0
"20810  Martti-Korppolaismäki (Turku)",5802,5847,5917,6077,6013
"20880  Uittamo (Turku)",1117,1121,1109,1131,1117
"20900  Moikoinen-Pikisaari (Turku)",838,905,985,983,998
"20960  Kakskerta (Turku)",143,153,149,146,151
"21100  Naantali Keskus (Naantali)",1966,2013,2064,2095,2151
"21110  Taimo-Nuhjala-Lietsala (Naantali)",1158,1191,1203,1252,1269
"21120  Kaanaa (Raisio)",169,172,183,188,185
"21130  Poikko (Naantali)",55,62,58,56,61
"21140  Rymättylä Keskus (Naantali)",237,233,235,239,241
"21150  Röölä (Naantali)",57,56,55,53,50
"21160  Merimasku (Naantali)",161,160,166,180,180
"21180  Livonsaari (Naantali)",43,39,45,49,43
"21195  Velkua (Naantali)",35,36,41,39,39
"21200  Raisio Keskus (Raisio)",3579,3694,3709,3828,3835
"21210  Hakinmäki (Raisio)",385,383,382,383,385
"21220  Somersoja (Raisio)",209,212,225,217,217
"21230  Lemu (Masku)",194,191,198,191,195
"21240  Askainen (Masku)",117,121,118,110,102
"21250  Masku (Masku)",674,702,712,726,740
"21260  Ihala (Raisio)",391,409,407,403,430
"21270  Nousiainen (Nousiainen)",575,566,574,579,587
"21280  Kuloinen (Raisio)",273,273,258,272,285
"21290  Rusko (Rusko)",388,393,415,420,439
"21310  Vahto (Rusko)",156,182,178,181,173
"21330  Paattinen (Turku)",217,229,239,242,251
"21340  Tortinmäki (Turku)",60,64,64,67,61
"21350  Ilmarinen (Lieto)",119,131,136,143,147
"21360  Lieto Asemanseutu (Lieto)",204,208,209,208,202
"21370  Aura kk. (Aura)",71,77,71,82,83
"21380  Aura Keskus (Aura)",558,568,571,579,591
"21410  Vanhalinna (Lieto)",157,168,171,178,175
"21420  Lieto Keskus (Lieto)",1452,1510,1567,1613,1641
"21430  Yliskulma (Lieto)",84,90,94,96,109
"21450  Tarvasjoki Keskus (Lieto)",295,305,295,287,302
"21480  Prunkila (Marttila)",44,51,51,49,54
"21490  Marttila (Marttila)",255,267,274,280,276
"21500  Piikkiö (Kaarina)",972,1001,1005,1005,1005
"21510  Hevonpää (Paimio)",56,61,52,52,54
"21530  Paimio Keskus (Paimio)",1724,1785,1772,1784,1806
"21540  Preitilä (Paimio)",89,93,95,88,93
"21555  Taatila (Paimio)",42,44,38,42,41
"21560  Ollila (Marttila)",84,85,87,91,91
"21570  Sauvo Keskus (Sauvo)",426,442,427,434,436
"21590  Karuna (Sauvo)",64,66,70,72,71
"21600  Parainen Keskus (Pargas)",1971,2006,2014,1992,2032
"21610  Kirjala (Pargas)",101,105,108,113,112
"21620  Kuusisto (Kaarina)",166,173,173,166,171
"21630  Lielahti (Pargas)",50,60,60,68,67
"21650  Lillandet (Pargas)",86,74,67,72,78
"21660  Nauvo Keskus (Pargas)",182,174,170,170,169
"21670  Mattnäs-Nötö (Pargas)",36,30,29,26,23
"21680  Nötö (Pargas)",...,...,...,...,...
"21710  Korppoo Keskus-Utö (Pargas)",161,163,157,151,152
"21720  Korpoström (Pargas)",...,...,...,...,...
"21740  Utö (Pargas)",...,...,...,...,...
"21750  Norrskata (Pargas)",24,24,28,27,29
"21760  Houtskär Keskus (Pargas)",78,82,73,88,85
"21770  Mossala (Pargas)",22,23,24,23,26
"21800  Kyrö (Pöytyä)",463,470,468,482,482
"21820  Kumila (Pöytyä)",60,58,59,56,57
"21840  Karinainen (Pöytyä)",34,33,31,34,31
"21860  Auvainen (Pöytyä)",46,50,49,49,49
"21870  Riihikoski (Pöytyä)",359,351,353,359,362
"21880  Pöytyä (Pöytyä)",79,74,75,68,72
"21890  Haveri (Pöytyä)",32,37,33,34,35
"21900  Yläne Keskus (Pöytyä)",318,332,333,330,343
"21930  Uusikartano (Pöytyä)",88,92,93,91,94
"22100  Maarianhamina (Mariehamn)",3082,3072,3084,3156,3191
"22120  Möckelö (Jomala)",139,159,170,184,174
"22130  Gottby (Jomala)",67,74,80,85,93
"22140  Önningby (Jomala)",130,133,139,150,150
"22150  Jomala Centrum (Jomala)",259,270,278,296,291
"22160  Järsö (Lemland)",33,38,33,32,36
"22220  Emkarby (Finström)",67,66,63,60,58
"22240  Hammarland (Hammarland)",243,243,235,242,241
"22270  Storby (Eckerö)",187,176,185,189,176
"22310  Pålsböle (Finström)",68,67,69,71,71
"22320  Ödkarby (Saltvik)",131,137,138,146,140
"22330  Tjudö (Finström)",25,27,27,35,32
"22340  Geta (Geta)",83,83,88,96,100
"22410  Godby (Finström)",267,272,271,281,277
"22430  Saltvik (Saltvik)",135,136,132,132,133
"22520  Tosarby (Sund)",100,103,111,105,105
"22530  Sund (Sund)",91,86,96,93,96
"22550  Vårdö (Vårdö)",70,74,73,65,67
"22610  Lemland (Lemland)",193,191,185,184,201
"22630  Lumparland (Lumparland)",59,61,58,57,65
"22710  Ålands Degerby (Föglö)",121,112,105,108,104
"22720  Sottunga (Sottunga)",34,31,33,33,33
"22730  Kökar (Kökar)",56,57,57,55,53
"22810  Seglinge (Kumlinge)",...,...,...,...,...
"22820  Kumlinge (Kumlinge)",59,56,57,55,56
"22830  Enklinge (Kumlinge)",9,10,13,17,17
"22840  Lappo (Brändö)",17,21,22,23,20
"22910  Torsholma (Brändö)",13,17,14,13,13
"22920  Brändö-Åland (Brändö)",43,38,34,34,38
"22930  Fiskö (Brändö)",...,...,...,...,...
"22940  Åva (Brändö)",19,20,19,22,21
"22950  Jurmo (Brändö)",...,...,...,...,...
"23100  Mynämäki Keskus (Mynämäki)",1130,1130,1108,1127,1153
"23120  Mietoinen Keskus (Mynämäki)",121,125,131,134,134
"23140  Hietamäki (Mynämäki)",101,97,88,92,90
"23200  Vinkkilä (Vehmaa)",356,351,340,347,343
"23210  Vehmaa (Vehmaa)",101,102,116,112,116
"23260  Rautila (Vehmaa)",36,37,36,36,32
"23310  Taivassalo (Taivassalo)",321,328,336,343,346
"23360  Kustavi (Kustavi)",223,227,232,242,249
"23390  Iniö (Pargas)",44,51,52,50,54
"23450  Lokalahti (Uusikaupunki)",178,171,187,177,192
"23500  Uusikaupunki Keskus (Uusikaupunki)",2992,3099,3009,2961,2949
"23600  Kalanti Keskus (Uusikaupunki)",347,343,352,348,354
"23660  Kalanti Asemanseutu (Uusikaupunki)",39,34,37,36,40
"23800  Laitila Keskus (Laitila)",1726,1713,1726,1743,1729
"23930  Pyhämaa (Uusikaupunki)",116,103,105,107,107
"23950  Pyhäranta (Pyhäranta)",114,111,111,111,104
"23960  Santtio (Pyhäranta)",36,35,34,30,27
"24100  Salo Keskus (Salo)",3306,3316,3308,3342,3343
"24130  Ylhäisi (Salo)",614,614,619,623,621
"24240  Rappula (Salo)",1114,1170,1153,1144,1165
"24260  Ollikkala (Salo)",1185,1222,1213,1197,1171
"24280  Tupuri-Hähkänä (Salo)",574,593,617,612,618
"24800  Halikko Keskus (Salo)",1107,1131,1174,1174,1152
"24910  Halikko Asemanseutu (Salo)",79,77,81,79,85
"25110  Kruusila (Salo)",62,59,57,55,54
"25130  Muurla (Salo)",237,247,243,244,233
"25160  Tuohittu (Salo)",12,12,10,11,10
"25170  Kotalato (Salo)",12,11,10,11,12
"25180  Romsila (Salo)",26,22,25,24,26
"25190  Inkere (Salo)",168,176,178,175,174
"25210  Vartsala (Salo)",33,40,45,42,42
"25230  Angelniemi (Salo)",58,57,60,61,56
"25240  Hajala (Salo)",90,86,91,92,92
"25250  Märynummi (Salo)",189,191,192,189,201
"25260  Vaskio (Salo)",147,156,169,170,177
"25320  Raatala (Salo)",67,73,73,77,73
"25330  Kuusjoki Keskus (Salo)",174,178,183,177,169
"25340  Kanunki (Salo)",67,70,70,70,72
"25360  Pertteli Keskus (Salo)",217,221,220,231,219
"25370  Hiisi (Salo)",92,91,91,94,92
"25380  Rekijoki (Salo)",95,94,88,91,94
"25390  Kiikala Keskus (Salo)",195,211,209,209,211
"25410  Suomusjärvi Keskus (Salo)",270,278,281,277,280
"25420  Lahnajärvi (Salo)",27,24,26,25,26
"25430  Kettula (Salo)",18,19,18,16,16
"25460  Toija (Salo)",251,239,240,249,251
"25470  Kisko kk (Salo)",63,60,61,69,65
"25500  Perniö Keskus (Salo)",739,731,735,738,738
"25520  Perniö Asemanseutu (Salo)",65,77,81,82,81
"25540  Knaapila (Salo)",36,36,37,38,39
"25550  Aijala (Salo)",29,32,29,26,32
"25560  Koski Asemanseutu (Salo)",47,45,44,46,43
"25570  Teijo-Mathildedal (Salo)",130,137,148,136,137
"25610  Ylönkylä (Salo)",59,58,59,64,63
"25630  Finby (Salo)",69,76,74,78,77
"25640  Förby (Salo)",55,55,49,47,46
"25650  Strömma (Kimitoön)",32,30,31,32,32
"25660  Mathildedal (Salo)",29,32,29,31,29
"25700  Kemiö Keskus (Kimitoön)",526,528,545,561,554
"25710  Vreta-Vestlax (Kimitoön)",38,43,46,46,42
"25730  Mjösund (Kimitoön)",16,15,18,18,20
"25760  Kiila (Kimitoön)",26,24,23,24,26
"25810  Mark (Kimitoön)",17,17,17,18,16
"25820  Vestlax (Kimitoön)",20,18,22,20,17
"25830  Västanfjärd Keskus (Kimitoön)",96,98,104,104,105
"25840  Nivelax (Kimitoön)",38,37,36,34,36
"25860  Björkboda (Kimitoön)",79,81,83,86,82
"25870  Dragsfjärd (Kimitoön)",181,191,188,187,196
"25900  Taalintehdas (Kimitoön)",370,374,360,368,374
"25910  Vänoxa (Kimitoön)",...,...,...,...,...
"25930  Kasnäs (Kimitoön)",15,15,13,...,...
"25940  Hiittinen (Kimitoön)",24,24,20,21,25
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",33,33,31,30,27
"25960  Högsåra (Kimitoön)",...,...,...,...,...
"26100  Rauma Keskus (Rauma)",5174,5367,5380,5465,5408
"26200  Merirauma-Kappelinluhta (Rauma)",884,873,886,918,901
"26410  Kaaro (Rauma)",123,132,131,132,136
"26510  Uotila (Rauma)",386,379,376,375,376
"26560  Kolla (Rauma)",62,65,67,74,73
"26660  Paroalho (Rauma)",1204,1232,1228,1266,1275
"26720  Monnanummi (Rauma)",37,36,43,46,44
"26740  Vasarainen (Rauma)",67,65,64,62,57
"26820  Sampaanala (Rauma)",387,387,370,385,389
"26840  Kortela (Rauma)",106,100,105,108,112
"26910  Unaja (Rauma)",63,71,76,74,75
"26930  Vermuntila (Rauma)",79,87,83,89,88
"26950  Voiluoto (Rauma)",50,48,50,50,55
"27100  Eurajoki Keskus (Eurajoki)",528,549,551,565,581
"27110  Irjanne (Eurajoki)",85,91,92,83,77
"27130  Eurajoki asemanseutu (Eurajoki)",47,48,41,41,40
"27150  Lapijoki (Eurajoki)",217,162,175,163,173
"27160  Olkiluoto (Eurajoki)",0,0,0,0,0
"27170  Kuivalahti (Eurajoki)",64,61,62,62,58
"27220  Ala-Kieri (Rauma)",71,66,76,84,86
"27230  Lappi (Rauma)",347,339,348,357,353
"27250  Kodiksami (Rauma)",24,23,22,25,24
"27260  Kuolimaa (Rauma)",37,36,38,39,39
"27310  Kodisjoki (Rauma)",78,73,71,69,68
"27320  Ihode (Pyhäranta)",110,121,129,130,134
"27340  Reila (Pyhäranta)",70,74,78,80,85
"27400  Kiukainen Keskus (Eura)",220,222,227,224,224
"27420  Panelia Asemanseutu (Eura)",44,41,39,38,39
"27430  Panelia (Eura)",236,228,253,249,249
"27450  Harola (Eura)",27,30,33,32,34
"27500  Kauttua (Eura)",640,643,667,661,678
"27510  Eura Keskus (Eura)",885,864,871,868,869
"27600  Hinnerjoki (Eura)",142,134,134,142,148
"27640  Honkilahti kk (Eura)",48,49,48,44,42
"27650  Honkilahti (Eura)",87,85,75,71,73
"27670  Mannila (Eura)",31,27,28,29,27
"27710  Köyliö Keskus (Säkylä)",231,222,220,222,229
"27730  Tuiskula (Säkylä)",23,22,20,17,17
"27740  Voitoinen (Säkylä)",29,30,31,31,32
"27750  Yttilä (Säkylä)",65,68,68,66,64
"27800  Säkylä Keskus (Säkylä)",651,657,678,669,675
"27820  Iso-Vimma (Säkylä)",156,169,166,159,157
"27840  Kakkuri (Säkylä)",86,87,84,87,85
"27860  Vuori (Säkylä)",49,53,53,54,55
"27910  Huovinrinne (Säkylä)",87,89,92,103,100
"27920  Otajoki (Säkylä)",49,40,40,43,45
"28100  Pori Keskus (Pori)",6010,6070,6225,6363,6367
"28120  Käppärä-Isomäki (Pori)",1220,1194,1198,1201,1203
"28130  Impola (Pori)",2597,2648,2655,2678,2682
"28190  Pormestarinluoto (Pori)",1244,1268,1250,1227,1253
"28200  Toejoki (Pori)",677,693,691,735,763
"28220  Ruosniemi (Pori)",628,642,675,662,663
"28240  Isojoenranta (Pori)",82,79,83,85,79
"28260  Harjunpää (Ulvila)",110,110,109,115,114
"28300  Kalaholma-Väinölä (Pori)",263,263,271,283,290
"28330  Koivistonluoto (Pori)",730,754,780,791,779
"28360  Vanhakoivisto (Pori)",1041,1073,1089,1087,1110
"28370  Sampola (Pori)",1209,1219,1221,1236,1229
"28400  Ulvila Keskus (Ulvila)",1063,1050,1070,1101,1093
"28430  Kartano-Harmaalinna (Pori)",181,196,186,193,196
"28450  Vanha-Ulvila (Ulvila)",697,714,698,697,692
"28500  Keskussairaala-alue-Tiilimäki (Pori)",459,476,467,481,496
"28540  Pinomäki (Pori)",82,88,92,95,96
"28560  Lattomeri (Pori)",61,61,62,64,73
"28580  Niittymaa (Pori)",64,68,70,72,68
"28600  Vähärauma (Pori)",871,853,884,901,916
"28610  Musa-Tiiliruukki (Pori)",762,782,802,802,795
"28660  Pietniemi-Leppäkorpi (Pori)",536,534,547,564,562
"28760  Kyläsaari (Pori)",281,294,293,302,312
"28800  Pihlava (Pori)",913,911,921,932,936
"28840  Yyteri-Kaanaa (Pori)",164,166,165,169,180
"28880  Mäntyluoto (Pori)",136,125,121,120,124
"28900  Tahkoluoto-Reposaari (Pori)",222,224,221,227,234
"29100  Luvia Keskus (Eurajoki)",417,427,432,434,435
"29180  Peränkylä (Eurajoki)",44,51,46,46,48
"29200  Harjavalta Keskus (Harjavalta)",1780,1783,1803,1830,1825
"29250  Nakkila Keskus (Nakkila)",909,897,890,897,919
"29270  Hormisto (Nakkila)",77,85,93,82,89
"29280  Järvimaa (Nakkila)",46,49,49,48,49
"29310  Kaasmarkku (Ulvila)",82,76,79,77,78
"29320  Leineperi (Ulvila)",29,28,26,31,30
"29340  Kullaa Keskus (Ulvila)",174,175,183,180,171
"29350  Palus (Ulvila)",48,45,55,56,50
"29570  Söörmarkku (Pori)",119,127,126,136,128
"29600  Noormarkku Keskus (Pori)",757,753,766,771,769
"29630  Pomarkku Keskus (Pomarkku)",358,360,358,356,350
"29640  Honkakoski (Pomarkku)",56,58,58,57,52
"29680  Kairila (Pori)",64,64,60,65,68
"29700  Ahlainen (Pori)",153,148,158,155,155
"29720  Lamppi (Pori)",36,36,39,41,40
"29740  Etelämaa (Merikarvia)",11,11,9,12,12
"29750  Pohjansaha (Merikarvia)",11,14,15,15,16
"29760  Köörtilä (Merikarvia)",17,16,17,14,17
"29790  Tuorila (Merikarvia)",45,48,48,56,58
"29810  Siikainen Keskus (Siikainen)",187,185,187,192,192
"29830  Sammi (Siikainen)",29,25,25,28,29
"29860  Otamo (Siikainen)",25,29,26,27,29
"29880  Leväsjoki-Saarineva (Siikainen)",42,42,43,40,46
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",498,506,513,508,507
"29940  Kuvaskangas (Merikarvia)",44,46,45,42,43
"30100  Forssa Keskus (Forssa)",2626,2645,2687,2752,2754
"30300  Viksberg (Forssa)",1020,1014,1005,1002,1000
"30420  Tölö (Forssa)",1229,1240,1227,1211,1206
"31110  Matku (Forssa)",110,105,111,119,121
"31130  Koijärvi (Forssa)",47,51,49,58,57
"31140  Menonen (Urjala)",33,23,26,25,23
"31160  Nuutajärvi (Urjala)",79,76,78,87,77
"31170  Savijoki (Forssa)",34,35,33,33,34
"31230  Susikas (Tammela)",25,26,28,29,27
"31250  Teuro (Tammela)",40,43,42,40,37
"31300  Tammela Keskus (Tammela)",618,629,621,629,648
"31310  Mustiala (Tammela)",19,16,17,18,19
"31340  Porras (Tammela)",75,74,78,78,75
"31350  Vistinkoski (Tammela)",49,51,44,42,44
"31370  Eerikkilän Urheiluopisto (Tammela)",0,0,0,0,0
"31380  Letku-Torro (Tammela)",51,49,46,41,41
"31400  Somero Keskus (Somero)",1498,1495,1510,1480,1504
"31410  Ylöpirtti (Somero)",66,68,67,59,57
"31450  Häntälä (Somero)",56,59,60,59,64
"31460  Hirsjärvi (Somero)",55,52,49,49,45
"31470  Somerniemi (Somero)",119,120,122,134,131
"31490  Terttilä (Somero)",40,41,41,39,40
"31500  Koski Tl (Koski Tl)",513,522,531,523,549
"31520  Pitkäjärvi (Somero)",87,89,90,96,90
"31530  Pyöli (Somero)",51,48,47,48,52
