"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"01230  Vaarala (Vantaa)",463,488,495,495,524
"01260  Itä-Hakkila (Vantaa)",412,402,408,423,423
"01280  Länsimäki (Vantaa)",1956,1977,1964,1947,1928
"01300  Tikkurila (Vantaa)",6156,6759,7077,7311,7440
"01340  Leinelä (Vantaa)",686,733,801,784,743
"01350  Hiekkaharju (Vantaa)",2467,2485,2480,2495,2523
"01360  Koivukylä-Havukoski (Vantaa)",3209,3257,3336,3276,3199
"01370  Jokiniemi (Vantaa)",1796,1965,1971,1959,1882
"01380  Kuusikko-Hakkila (Vantaa)",145,148,164,159,163
"01390  Ruskeasanta-Ilola (Vantaa)",886,892,948,959,967
"01400  Rekola (Vantaa)",1626,1744,1893,1953,1975
"01420  Päiväkumpu (Vantaa)",181,173,180,185,189
"01450  Korso (Vantaa)",3470,3554,3567,3530,3536
"01480  Mikkola (Vantaa)",1311,1320,1320,1296,1283
"01490  Nikinmäki (Vantaa)",259,260,271,290,288
"01510  Kirkonkylä-Veromäki (Vantaa)",1319,1501,1795,1821,1856
"01520  Tammisto (Vantaa)",1264,1295,1306,1315,1324
"01530  Veromiehenkylä (Vantaa)",196,194,204,194,226
"01600  Myyrmäki (Vantaa)",5176,5300,5479,5831,5869
"01610  Kaivoksela (Vantaa)",1957,1934,1945,1937,1951
"01620  Martinlaakso (Vantaa)",3365,3465,3581,3653,3627
"01630  Hämeenkylä (Vantaa)",225,228,231,235,242
"01640  Hämevaara (Vantaa)",618,631,636,650,663
"01650  Vapaala (Vantaa)",744,730,744,743,730
"01660  Varisto (Vantaa)",328,327,332,353,353
"01670  Vantaanlaakso (Vantaa)",316,336,345,350,331
"01680  Askisto (Vantaa)",155,157,159,163,158
"01690  Ylästö (Vantaa)",236,237,266,276,283
"01700  Kivistö (Vantaa)",3357,3597,3621,3854,3944
"01710  Pähkinärinne (Vantaa)",1524,1545,1537,1598,1604
"01720  Petikko (Vantaa)",15,13,17,14,...
"01730  Vantaanpuisto (Vantaa)",367,368,367,374,370
"01740  Tuupakan teollisuusalue (Vantaa)",24,22,26,25,29
"01750  Keimola (Vantaa)",71,70,67,75,69
"01760  Seutula (Vantaa)",224,223,222,219,226
"01770  Martinlaakson teollisuusalue (Vantaa)",0,0,0,0,0
"01800  Klaukkala Keskus (Nurmijärvi)",2186,2299,2386,2458,2572
"01810  Luhtajoki (Nurmijärvi)",48,53,53,61,63
"01820  Haikala (Nurmijärvi)",293,291,291,307,298
"01830  Lepsämä (Nurmijärvi)",168,167,171,177,176
"01840  Klaukkala (Nurmijärvi)",337,349,351,363,359
"01860  Perttula (Nurmijärvi)",199,197,193,194,190
"01900  Nurmijärvi Keskus (Nurmijärvi)",1913,1959,2023,2064,2091
"01940  Palojoki (Nurmijärvi)",65,63,63,66,65
"02100  Tapiola (Espoo)",1732,1969,2010,2104,2199
"02110  Otsolahti (Espoo)",725,732,708,715,717
"02120  Länsikorkee-Suvikumpu (Espoo)",851,839,847,901,893
"02130  Pohjois-Tapiola (Espoo)",944,1017,1056,1047,1042
"02140  Laajalahti (Espoo)",336,348,329,338,335
"02150  Otaniemi (Espoo)",1197,1152,1156,1149,1155
"02160  Westend (Espoo)",317,317,317,348,363
"02170  Haukilahti (Espoo)",1102,1087,1086,1126,1146
"02180  Mankkaa (Espoo)",530,548,578,563,583
"02200  Niittykumpu (Espoo)",2333,2711,3225,3718,4046
"02210  Olari (Espoo)",2724,2752,2819,3027,3087
"02230  Matinkylä (Espoo)",5117,5166,5317,5289,5256
"02240  Friisilä (Espoo)",188,212,266,352,367
"02250  Henttaa (Espoo)",1026,1242,1496,1564,1780
"02260  Kaitaa (Espoo)",535,536,523,572,569
"02270  Finnoo-Eestinmalmi (Espoo)",154,196,432,590,988
"02280  Malminmäki-Eestinlaakso (Espoo)",618,632,644,698,689
"02300  Nöykkiönpuro (Espoo)",125,126,121,132,131
"02320  Espoonlahti (Espoo)",3899,3982,4171,4347,4305
"02330  Saunalahti-Kattilalaakso (Espoo)",1903,2064,2258,2370,2333
"02340  Latokaski (Espoo)",316,344,366,377,389
