"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2023 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2023 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2023 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2023 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2023 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2023 Blocks of flats, three-room flat+"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",8018,7682,7594,96,132,101
"00120  Punavuori - Bulevardi (Helsinki)",8028,7613,8018,40,65,46
"00130  Kaartinkaupunki (Helsinki)",8648,7744,9153,14,10,16
"00140  Kaivopuisto - Ullanlinna (Helsinki)",8144,8347,9829,63,67,63
"00150  Punavuori - Eira - Hernesaari (Helsinki)",8218,7744,8889,79,77,46
"00160  Katajanokka (Helsinki)",7788,8852,7711,14,30,27
"00170  Kruununhaka (Helsinki)",8221,7570,7285,31,48,64
"00180  Kamppi - Ruoholahti (Helsinki)",7639,7120,7546,88,74,73
"00190  Suomenlinna (Helsinki)",.,.,...,.,.,1
"00200  Pohjois-Lauttasaari (Helsinki)",6632,6392,6699,67,146,132
"00210  Vattuniemi (Helsinki)",6517,6389,6738,31,62,97
"00220  Jätkäsaari (Helsinki)",...,7308,8058,10,56,79
"00240  Länsi-Pasila (Helsinki)",...,4808,4979,4,27,35
"00250  Taka-Töölö (Helsinki)",7368,6531,6600,84,117,62
"00260  Keski-Töölö (Helsinki)",7269,7546,7138,22,38,40
"00270  Pohjois-Meilahti (Helsinki)",7001,6046,5905,31,66,42
"00280  Ruskeasuo (Helsinki)",6346,5544,5481,7,24,18
"00290  Meilahden sairaala-alue (Helsinki)",.,...,...,.,1,2
"00300  Pikku Huopalahti (Helsinki)",5258,4951,4126,8,18,14
"00310  Kivihaka (Helsinki)",5439,...,4131,6,6,9
"00320  Etelä-Haaga (Helsinki)",5738,5076,4996,49,97,84
"00330  Munkkiniemi (Helsinki)",6360,6496,6797,18,67,84
"00340  Kuusisaari - Lehtisaari (Helsinki)",...,...,3943,2,4,6
"00350  Munkkivuori - Niemenmäki (Helsinki)",5456,4940,4945,27,73,58
"00360  Pajamäki (Helsinki)",4662,4190,3993,8,20,10
"00370  Reimarla (Helsinki)",...,3718,3282,6,15,16
"00380  Pitäjänmäen yritysalue (Helsinki)",...,4995,5655,8,19,15
"00390  Konala (Helsinki)",4290,3676,3386,15,25,15
"00400  Pohjois-Haaga (Helsinki)",5189,4396,4460,21,45,62
"00410  Malminkartano (Helsinki)",3537,2795,2577,9,28,30
"00420  Kannelmäki (Helsinki)",3758,3135,2771,35,60,43
"00430  Maununneva - Kuninkaantammi (Helsinki)",...,4114,3836,2,6,16
"00440  Lassila (Helsinki)",3871,3416,3197,13,23,28
"00500  Sörnäinen - Harju (Helsinki)",6095,5493,5989,171,91,19
"00510  Alppila - Vallila (Helsinki)",6279,5710,6263,114,97,33
"00520  Itä- ja Keski-Pasila (Helsinki)",6002,6010,5598,28,81,61
"00530  Kallio (Helsinki)",6554,5921,5905,157,176,53
"00540  Kalasatama - Sompasaari (Helsinki)",...,8224,7705,34,32,63
"00550  Vallila - Hermanni (Helsinki)",5754,5647,5672,47,62,29
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",5909,5882,5827,18,71,75
"00570  Kulosaari (Helsinki)",6637,5585,5551,9,21,23
"00580  Kalasatama - Kyläsaari (Helsinki)",8776,8155,7163,28,51,46
"00590  Kruunuvuorenranta (Helsinki)",...,5408,5435,2,10,18
"00600  Koskela (Helsinki)",...,3614,3092,9,13,17
"00610  Käpylä (Helsinki)",5525,5294,5240,25,49,29
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",...,3820,4204,5,22,23
"00630  Maunula (Helsinki)",4598,3935,3818,18,27,36
"00640  Oulunkylä - Patola (Helsinki)",4174,3701,3477,15,44,39
"00650  Veräjämäki (Helsinki)",...,3772,3404,1,14,11
"00660  Länsi-Pakila (Helsinki)",...,...,...,1,4,5
"00670  Paloheinä (Helsinki)",.,.,.,.,.,.
"00680  Itä-Pakila (Helsinki)",.,.,.,.,.,.
"00690  Torpparinmäki (Helsinki)",.,...,.,.,4,.
"00700  Malmi (Helsinki)",4012,3135,2650,23,72,62
"00710  Pihlajamäki - Viikinmäki (Helsinki)",4301,3074,2574,16,61,51
"00720  Pukinmäki (Helsinki)",4146,3029,2995,13,33,39
"00730  Tapanila (Helsinki)",4691,2962,3092,7,20,15
"00740  Siltamäki (Helsinki)",3636,2381,2375,8,18,31
"00750  Tapulikaupunki (Helsinki)",...,2271,1968,4,7,9
"00760  Puistola - Heikinlaakso (Helsinki)",...,...,2498,1,3,6
"00770  Jakomäki - Alppikylä (Helsinki)",...,2552,2223,4,10,13
"00780  Tapaninvainio (Helsinki)",...,3175,2769,5,18,14
"00790  Viikki (Helsinki)",...,4461,4241,5,33,45
"00800  Länsi-Herttoniemi (Helsinki)",5663,4858,5215,14,40,20
"00810  Herttoniemenranta (Helsinki)",...,5502,5325,6,32,49
"00820  Roihuvuori (Helsinki)",4461,3976,4052,11,47,64
"00830  Tammisalo (Helsinki)",.,...,...,.,2,3
"00840  Yliskylä (Helsinki)",4710,4034,3513,16,32,43
"00850  Jollas (Helsinki)",.,.,...,.,.,6
"00870  Gunillanmäki - Hevossalmi (Helsinki)",...,3062,3904,3,21,13
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",.,.,.,.,.,.
"00890  Östersundom (Helsinki)",.,.,.,.,.,.
"00900  Puotinharju (Helsinki)",3560,2954,2568,11,21,25
"00910  Puotila (Helsinki)",3985,3527,3269,24,48,46
"00920  Myllypuro (Helsinki)",...,2856,2844,5,30,48
"00930  Itäkeskus - Marjaniemi (Helsinki)",...,2767,2229,6,15,19
"00940  Kontula - Vesala - Kivikko (Helsinki)",3463,2495,2250,12,67,69
"00950  Vartioharju (Helsinki)",3787,3446,...,6,8,3
"00960  Pohjois-Vuosaari (Helsinki)",3505,2812,2510,9,39,21
"00970  Mellunmäki (Helsinki)",3098,2483,2386,14,37,42
"00980  Etelä-Vuosaari (Helsinki)",3890,3093,3142,14,62,58
"00990  Aurinkolahti (Helsinki)",5258,4854,4661,10,42,53
"01120  Västerskog (Sipoo)",.,...,...,.,3,2
"01150  Söderkulla (Sipoo)",...,3111,3035,6,15,18
"01180  Kalkkiranta (Sipoo)",.,.,.,.,.,.
"01190  Box (Sipoo)",.,.,.,.,.,.
"01200  Hakunila (Vantaa)",2831,1978,1717,20,29,13
"01230  Vaarala (Vantaa)",2530,...,...,8,5,1
"01260  Itä-Hakkila (Vantaa)",.,.,.,.,.,.
"01280  Länsimäki (Vantaa)",2637,1898,1883,13,32,17
"01300  Tikkurila (Vantaa)",4832,3539,3407,78,106,86
"01340  Leinelä (Vantaa)",...,3850,3918,4,13,11
"01350  Hiekkaharju (Vantaa)",3688,2656,2610,19,41,30
"01360  Koivukylä-Havukoski (Vantaa)",2275,1675,1499,12,58,28
"01370  Jokiniemi (Vantaa)",...,3690,3542,1,20,15
"01380  Kuusikko-Hakkila (Vantaa)",.,.,.,.,.,.
"01390  Ruskeasanta-Ilola (Vantaa)",...,3042,...,3,9,5
"01400  Rekola (Vantaa)",4317,...,...,6,4,3
"01420  Päiväkumpu (Vantaa)",.,.,.,.,.,.
"01450  Korso (Vantaa)",3069,2349,2027,20,37,27
"01480  Mikkola (Vantaa)",...,1794,1587,2,21,23
"01490  Nikinmäki (Vantaa)",...,.,...,1,.,1
"01510  Kirkonkylä-Veromäki (Vantaa)",...,4344,3816,1,24,20
"01520  Tammisto (Vantaa)",...,4255,3855,1,23,32
"01530  Veromiehenkylä (Vantaa)",.,.,.,.,.,.
"01600  Myyrmäki (Vantaa)",3300,2605,2446,30,98,88
"01610  Kaivoksela (Vantaa)",3466,3209,2906,11,38,27
"01620  Martinlaakso (Vantaa)",2746,2613,1933,16,51,59
"01630  Hämeenkylä (Vantaa)",.,...,.,.,3,.
"01640  Hämevaara (Vantaa)",...,3387,3129,2,7,7
"01650  Vapaala (Vantaa)",...,1565,1658,3,8,9
"01660  Varisto (Vantaa)",.,.,...,.,.,4
"01670  Vantaanlaakso (Vantaa)",...,...,2365,1,1,8
"01680  Askisto (Vantaa)",.,.,.,.,.,.
"01690  Ylästö (Vantaa)",.,.,.,.,.,.
"01700  Kivistö (Vantaa)",4560,4270,3425,36,37,28
"01710  Pähkinärinne (Vantaa)",3246,2346,2309,11,36,38
"01720  Petikko (Vantaa)",.,.,.,.,.,.
"01730  Vantaanpuisto (Vantaa)",...,2011,...,4,10,5
"01740  Tuupakan teollisuusalue (Vantaa)",.,.,.,.,.,.
"01750  Keimola (Vantaa)",.,.,.,.,.,.
"01760  Seutula (Vantaa)",.,.,.,.,.,.
"01800  Klaukkala Keskus (Nurmijärvi)",2990,2301,2322,17,30,17
"01820  Haikala (Nurmijärvi)",.,.,...,.,.,2
"01830  Lepsämä (Nurmijärvi)",.,.,.,.,.,.
"01840  Klaukkala (Nurmijärvi)",.,...,.,.,2,.
"01860  Perttula (Nurmijärvi)",.,.,.,.,.,.
"01900  Nurmijärvi Keskus (Nurmijärvi)",1657,1919,1731,11,34,13
"01940  Palojoki (Nurmijärvi)",.,.,.,.,.,.
"02100  Tapiola (Espoo)",6813,5846,5774,16,55,46
"02110  Otsolahti (Espoo)",5648,5165,5104,14,30,29
"02120  Länsikorkee-Suvikumpu (Espoo)",5481,5199,4672,8,23,28
"02130  Pohjois-Tapiola (Espoo)",...,4853,4564,2,23,40
"02140  Laajalahti (Espoo)",...,.,...,3,.,5
"02150  Otaniemi (Espoo)",...,...,...,1,3,5
"02160  Westend (Espoo)",.,...,4636,.,4,9
"02170  Haukilahti (Espoo)",5527,4709,4397,8,11,27
"02180  Mankkaa (Espoo)",...,...,...,1,3,1
"02200  Niittykumpu (Espoo)",6239,5417,5183,66,147,139
"02210  Olari (Espoo)",3388,3325,3256,10,52,77
"02230  Matinkylä (Espoo)",4597,4341,3768,31,111,78
"02240  Friisilä (Espoo)",.,...,.,.,1,.
"02250  Henttaa (Espoo)",...,...,4343,5,4,15
"02260  Kaitaa (Espoo)",...,2960,3173,1,9,19
"02270  Finnoo-Eestinmalmi (Espoo)",.,...,.,.,3,.
"02280  Malminmäki-Eestinlaakso (Espoo)",.,3896,...,.,11,4
"02300  Nöykkiönpuro (Espoo)",.,.,.,.,.,.
"02320  Espoonlahti (Espoo)",3712,3236,2918,22,66,77
"02330  Saunalahti-Kattilalaakso (Espoo)",4659,4324,4299,15,26,22
"02340  Latokaski (Espoo)",.,.,.,.,.,.
"02360  Soukka (Espoo)",3326,2871,2633,9,25,49
"02380  Suvisaaristo (Espoo)",.,.,.,.,.,.
"02390  Sarvvik (Kirkkonummi)",.,...,...,.,1,2
"02400  Kirkkonummi Keskus (Kirkkonummi)",...,2915,2573,4,25,19
"02410  Gesterby (Kirkkonummi)",...,1078,...,5,12,5
"02420  Jorvas (Kirkkonummi)",.,.,.,.,.,.
"02430  Masala (Kirkkonummi)",...,...,...,5,6,6
"02440  Luoma (Kirkkonummi)",.,.,.,.,.,.
"02450  Sundsberg (Kirkkonummi)",.,.,.,.,.,.
"02460  Kantvik (Kirkkonummi)",...,...,...,1,1,2
