"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"01150  Söderkulla (Sipoo)",56813,59352,59331,59902,61206
"01180  Kalkkiranta (Sipoo)",72171,77466,75328,78253,86597
"01190  Box (Sipoo)",57388,62697,62473,65173,67208
"01200  Hakunila (Vantaa)",36528,36735,38021,39061,40386
"01230  Vaarala (Vantaa)",49732,50624,52637,55345,56482
"01260  Itä-Hakkila (Vantaa)",60967,63615,65689,68538,70126
"01280  Länsimäki (Vantaa)",40811,42031,43526,45106,46527
"01300  Tikkurila (Vantaa)",41045,41652,42194,43504,44753
"01340  Leinelä (Vantaa)",36306,36263,37987,38917,41230
"01350  Hiekkaharju (Vantaa)",41161,42714,44312,45799,47999
"01360  Koivukylä-Havukoski (Vantaa)",35500,36092,37218,38769,40423
"01370  Jokiniemi (Vantaa)",37063,37291,38719,39733,41361
"01380  Kuusikko-Hakkila (Vantaa)",61482,62408,64067,66910,68943
"01390  Ruskeasanta-Ilola (Vantaa)",57774,62104,61779,64656,65646
"01400  Rekola (Vantaa)",45380,46184,47298,48971,50079
"01420  Päiväkumpu (Vantaa)",63016,65157,70399,69419,73660
"01450  Korso (Vantaa)",44168,45629,47009,48593,49730
"01480  Mikkola (Vantaa)",42493,44799,44686,46513,48084
"01490  Nikinmäki (Vantaa)",64617,66905,69094,70840,74419
"01510  Kirkonkylä-Veromäki (Vantaa)",43479,45312,44464,44948,46394
"01520  Tammisto (Vantaa)",50491,52202,53848,55165,57452
"01530  Veromiehenkylä (Vantaa)",32722,33998,34406,36648,38193
"01600  Myyrmäki (Vantaa)",35769,36642,37637,38445,39665
"01610  Kaivoksela (Vantaa)",37816,41780,39466,40608,41814
"01620  Martinlaakso (Vantaa)",38774,39199,40534,41811,43108
"01630  Hämeenkylä (Vantaa)",59053,64949,61046,63755,66191
"01640  Hämevaara (Vantaa)",51302,52872,54554,56096,57911
"01650  Vapaala (Vantaa)",51302,54598,55041,58130,60327
"01660  Varisto (Vantaa)",47186,48696,50637,52357,54364
"01670  Vantaanlaakso (Vantaa)",57425,59557,61712,63568,66113
"01680  Askisto (Vantaa)",59758,63086,64785,67271,71657
