"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"25410  Suomusjärvi Keskus (Salo)",37481,39283,40246,41694,43863
"25420  Lahnajärvi (Salo)",41610,43977,48515,47437,51243
"25430  Kettula (Salo)",42507,42232,42050,45528,47305
"25460  Toija (Salo)",37838,40546,41855,43510,44469
"25470  Kisko kk (Salo)",42644,47802,51504,51717,55658
"25500  Perniö Keskus (Salo)",36990,38992,41848,41964,43243
"25520  Perniö Asemanseutu (Salo)",49934,50263,53920,52957,54223
"25540  Knaapila (Salo)",42229,47138,47669,46800,49562
"25550  Aijala (Salo)",29340,29783,32112,34577,35057
"25560  Koski Asemanseutu (Salo)",48345,51689,55844,57283,61517
"25570  Teijo-Mathildedal (Salo)",38498,40946,40473,48149,46241
"25610  Ylönkylä (Salo)",44211,47117,50643,49937,52147
"25630  Finby (Salo)",40952,43212,44470,48481,46963
"25640  Förby (Salo)",39526,41392,44639,44563,43559
"25650  Strömma (Kimitoön)",43106,52621,47871,51345,60938
"25660  Mathildedal (Salo)",40137,55130,51395,54886,54877
"25700  Kemiö Keskus (Kimitoön)",38051,40633,40555,42527,45171
"25710  Vreta-Vestlax (Kimitoön)",46459,47585,50122,50312,56110
"25730  Mjösund (Kimitoön)",46395,47611,50913,55307,55412
"25760  Kiila (Kimitoön)",38783,40701,43456,47082,46381
"25810  Mark (Kimitoön)",36715,40742,44699,40664,45372
"25820  Vestlax (Kimitoön)",43949,51515,49339,61716,61391
"25830  Västanfjärd Keskus (Kimitoön)",43161,43285,45762,45672,46934
"25840  Nivelax (Kimitoön)",44301,49827,48228,52297,55141
"25860  Björkboda (Kimitoön)",39370,43784,44140,45210,47147
"25870  Dragsfjärd (Kimitoön)",38877,38482,40543,43313,43353
"25900  Taalintehdas (Kimitoön)",34250,35488,37145,38142,40946
"25910  Vänoxa (Kimitoön)",...,...,...,...,...
"25930  Kasnäs (Kimitoön)",56067,61373,82081,...,...
"25940  Hiittinen (Kimitoön)",30692,29381,32715,32522,37060
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",38256,42540,46119,47585,62524
"25960  Högsåra (Kimitoön)",...,...,...,...,...
"26100  Rauma Keskus (Rauma)",36221,38100,39402,39349,41253
"26200  Merirauma-Kappelinluhta (Rauma)",49106,53310,52844,62153,56475
"26410  Kaaro (Rauma)",53993,54681,56350,59135,62378
"26510  Uotila (Rauma)",43791,45353,46830,48591,51009
"26560  Kolla (Rauma)",49537,51439,53210,56071,59510
"26660  Paroalho (Rauma)",36528,37876,38745,39889,41742
"26720  Monnanummi (Rauma)",52653,53377,55274,61086,60101
"26740  Vasarainen (Rauma)",51501,52770,54363,57541,61057
"26820  Sampaanala (Rauma)",35416,35512,37131,38386,40083
"26840  Kortela (Rauma)",45554,47533,48780,50641,52424
"26910  Unaja (Rauma)",48862,49967,55191,55060,56138
"26930  Vermuntila (Rauma)",47922,51296,50736,52502,54151
"26950  Voiluoto (Rauma)",48541,50447,51599,53125,55216
"27100  Eurajoki Keskus (Eurajoki)",47021,48122,55348,50521,52936
"27110  Irjanne (Eurajoki)",46799,48252,50732,54229,56442
"27130  Eurajoki asemanseutu (Eurajoki)",44158,44699,47022,49405,50967
"27150  Lapijoki (Eurajoki)",43657,49604,49813,51106,53235
"27160  Olkiluoto (Eurajoki)",0,0,0,0,0
"27170  Kuivalahti (Eurajoki)",54879,50898,54527,55468,58689
"27220  Ala-Kieri (Rauma)",44660,46323,47831,48678,50364
"27230  Lappi (Rauma)",41635,44797,46329,47996,50444
"27250  Kodiksami (Rauma)",42519,48146,47873,49207,53678
"27260  Kuolimaa (Rauma)",40287,41563,46303,47576,51951
"27310  Kodisjoki (Rauma)",40652,42446,45081,48223,50768
"27320  Ihode (Pyhäranta)",42085,42796,44184,45764,46529
"27340  Reila (Pyhäranta)",43469,45613,45060,47268,47318
"27400  Kiukainen Keskus (Eura)",40037,41285,42104,44299,45506
"27420  Panelia Asemanseutu (Eura)",43210,43519,45041,48942,49890
"27430  Panelia (Eura)",39032,39704,40466,43066,44420
"27450  Harola (Eura)",44062,44006,45169,47845,46264
"27500  Kauttua (Eura)",43169,43521,45941,46367,48746
"27510  Eura Keskus (Eura)",41528,42894,43973,46518,46960
"27600  Hinnerjoki (Eura)",39445,40425,42756,44683,45922
"27640  Honkilahti kk (Eura)",40369,41380,45292,49646,52501
"27650  Honkilahti (Eura)",33866,35285,38738,41953,43652
"27670  Mannila (Eura)",40414,42498,44977,48487,51521
"27710  Köyliö Keskus (Säkylä)",40675,39053,40886,41688,42547
"27730  Tuiskula (Säkylä)",43942,46778,44710,47407,49077
"27740  Voitoinen (Säkylä)",34352,34217,36131,39826,39717
"27750  Yttilä (Säkylä)",38823,39477,41914,43674,46397
"27800  Säkylä Keskus (Säkylä)",40926,42084,43355,45093,46381
"27820  Iso-Vimma (Säkylä)",37968,38826,40731,41740,43098
"27840  Kakkuri (Säkylä)",42947,44386,44372,47122,49098
"27860  Vuori (Säkylä)",43902,44883,45570,48302,51009
"27910  Huovinrinne (Säkylä)",27148,28875,31156,30990,32920
"27920  Otajoki (Säkylä)",42863,45525,48862,52952,52491
"28100  Pori Keskus (Pori)",30520,31483,32611,33620,34995
"28120  Käppärä-Isomäki (Pori)",32601,33968,34816,36101,37411
"28130  Impola (Pori)",29805,30064,31073,32102,33265
"28190  Pormestarinluoto (Pori)",29447,29691,30726,32310,33234
"28200  Toejoki (Pori)",44023,44963,50423,48792,50385
"28220  Ruosniemi (Pori)",45267,46717,48517,50965,52608
"28240  Isojoenranta (Pori)",47577,50078,50328,50946,54837
"28260  Harjunpää (Ulvila)",45389,47193,49046,51737,53042
"28300  Kalaholma-Väinölä (Pori)",51067,52487,56664,56296,57903
"28330  Koivistonluoto (Pori)",34525,34467,34986,36826,38332
"28360  Vanhakoivisto (Pori)",35803,36890,37690,39209,40147
"28370  Sampola (Pori)",26727,27008,27567,28713,29766
"28400  Ulvila Keskus (Ulvila)",40107,41915,42934,44558,46214
"28430  Kartano-Harmaalinna (Pori)",46839,47105,49295,51179,53656
"28450  Vanha-Ulvila (Ulvila)",41875,42991,45802,47033,49447
"28500  Keskussairaala-alue-Tiilimäki (Pori)",23478,23768,24639,25732,26861
"28540  Pinomäki (Pori)",48453,50185,54020,53062,53494
"28560  Lattomeri (Pori)",47118,49457,54962,52874,52096
"28580  Niittymaa (Pori)",45914,46421,46898,48359,50702
"28600  Vähärauma (Pori)",45723,48467,51209,51396,53847
"28610  Musa-Tiiliruukki (Pori)",41371,43097,43552,44957,46640
"28660  Pietniemi-Leppäkorpi (Pori)",45051,46011,55224,49318,51711
"28760  Kyläsaari (Pori)",43068,44552,46224,48931,50623
"28800  Pihlava (Pori)",35749,36246,37414,38983,40451
"28840  Yyteri-Kaanaa (Pori)",39229,40130,41670,43257,44160
"28880  Mäntyluoto (Pori)",32743,33869,40478,38127,38190
"28900  Tahkoluoto-Reposaari (Pori)",36081,36072,37374,38924,40729
"29100  Luvia Keskus (Eurajoki)",47954,50783,62825,53648,57511
"29180  Peränkylä (Eurajoki)",41868,45841,50472,46705,49644
"29200  Harjavalta Keskus (Harjavalta)",36401,37980,38671,40747,41382
"29250  Nakkila Keskus (Nakkila)",39353,40718,42495,44339,45039
"29270  Hormisto (Nakkila)",38461,38673,38439,42011,43024
"29280  Järvimaa (Nakkila)",40354,44057,41591,44805,45761
"29310  Kaasmarkku (Ulvila)",44673,48327,50607,51392,52552
"29320  Leineperi (Ulvila)",45130,48263,49451,51081,51957
"29340  Kullaa Keskus (Ulvila)",37567,38105,40925,42589,43720
"29350  Palus (Ulvila)",39634,44891,41174,41777,44337
"29570  Söörmarkku (Pori)",49238,49606,57577,53052,55512
"29600  Noormarkku Keskus (Pori)",42708,46014,45627,46869,50075
"29630  Pomarkku Keskus (Pomarkku)",38327,38469,40690,43112,43635
"29640  Honkakoski (Pomarkku)",37998,39557,40096,43521,42793
"29680  Kairila (Pori)",37039,37138,41681,42088,41065
"29700  Ahlainen (Pori)",36658,38240,39783,41691,44259
"29720  Lamppi (Pori)",44040,37170,34331,35301,37737
"29740  Etelämaa (Merikarvia)",45195,45054,49180,48259,46658
"29750  Pohjansaha (Merikarvia)",44575,43342,44657,58956,46227
"29760  Köörtilä (Merikarvia)",41509,44276,46896,46921,51608
"29790  Tuorila (Merikarvia)",43595,46710,45954,49003,48957
"29810  Siikainen Keskus (Siikainen)",33782,34194,35391,37374,38547
"29830  Sammi (Siikainen)",36203,40103,40842,44688,44371
"29860  Otamo (Siikainen)",36262,38590,39256,41506,42878
"29880  Leväsjoki-Saarineva (Siikainen)",33883,36124,38808,42996,40842
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",36204,38706,39588,41842,42510
"29940  Kuvaskangas (Merikarvia)",38740,41902,41281,44702,48688
"30100  Forssa Keskus (Forssa)",37459,39050,39719,41152,42349
"30300  Viksberg (Forssa)",25872,26563,27765,28527,29418
"30420  Tölö (Forssa)",34619,35456,36414,37873,39237
"31110  Matku (Forssa)",38400,41377,44171,43998,44882
"31130  Koijärvi (Forssa)",44173,43827,45652,48200,49096
"31140  Menonen (Urjala)",37454,44119,43218,46243,47766
"31160  Nuutajärvi (Urjala)",29953,34000,33544,34198,33681
"31170  Savijoki (Forssa)",42853,44339,43811,48380,51294
"31230  Susikas (Tammela)",41955,42840,45165,57640,47461
"31250  Teuro (Tammela)",49801,50570,50941,55846,56583
"31300  Tammela Keskus (Tammela)",41270,43145,44319,45372,48669
"31310  Mustiala (Tammela)",37950,39668,43573,46997,42218
"31340  Porras (Tammela)",42676,46824,48772,53150,54296
"31350  Vistinkoski (Tammela)",38932,39261,43210,46949,48141
"31370  Eerikkilän Urheiluopisto (Tammela)",0,0,0,0,0
"31380  Letku-Torro (Tammela)",45120,47212,50209,49063,48790
"31400  Somero Keskus (Somero)",36042,37430,38923,40267,41547
"31410  Ylöpirtti (Somero)",43371,48587,44710,46825,49914
"31450  Häntälä (Somero)",47316,47759,48388,49975,49084
"31460  Hirsjärvi (Somero)",54734,55830,56724,49414,58339
"31470  Somerniemi (Somero)",43985,44192,49768,47892,52176
"31490  Terttilä (Somero)",44791,52448,48818,52112,53841
"31500  Koski Tl (Koski Tl)",37892,39048,43352,42613,44236
"31520  Pitkäjärvi (Somero)",43312,43952,44395,45908,49610
"31530  Pyöli (Somero)",43698,45387,48794,51005,49227
"31600  Jokioinen Keskus (Jokioinen)",40512,41361,42731,44227,45334
"31610  Vaulammi (Jokioinen)",44085,47623,50252,52629,53403
"31620  Latovainio (Jokioinen)",48393,50259,50206,52677,55502
"31630  Minkiö (Jokioinen)",44817,44475,47409,47687,50617
"31640  Humppila Keskus (Humppila)",38549,38073,39628,43989,42905
"31650  Venäjänkangas (Humppila)",44641,48606,45601,48288,50423
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",39456,41436,43265,44953,47037
"31720  Urjalankylä-Kehro (Urjala)",39083,47125,44384,45621,47853
"31730  Honkola (Urjala)",39709,38848,42280,41107,44501
"31750  Kehro (Urjala)",30621,31782,...,...,40824
"31760  Urjala Keskus (Urjala)",33281,34589,35254,36462,38403
"31810  Oriniemi (Punkalaidun)",39242,40488,44402,46273,48157
"31830  Halkivaha (Urjala)",39254,45168,41481,43077,47121
"31850  Koskioinen (Punkalaidun)",41368,43209,45805,47262,46693
"31860  Tursa (Urjala)",36822,38463,39611,43500,44116
"31900  Punkalaidun Keskus (Punkalaidun)",35263,34182,35176,36938,38816
"31930  Vanttila (Punkalaidun)",43550,46822,48508,58401,53913
"31950  Sadonmaa (Punkalaidun)",36576,36858,39440,42750,44899
"31960  Orisuo (Loimaa)",37604,38760,42964,45031,48694
"31970  Kanteenmaa (Punkalaidun)",40294,43309,44080,43711,43722
"32100  Ypäjä Keskus (Ypäjä)",37284,39154,39762,41591,42861
"32140  Ypäjä Asemanseutu (Ypäjä)",38537,41965,41763,44582,44623
"32200  Loimaa Keskus (Loimaa)",35278,36186,37574,39198,40330
"32210  Loimaa kk (Loimaa)",38492,38999,40158,40771,42598
"32250  Kojonkulma (Loimaa)",48520,53059,58379,57174,59312
"32260  Kojonperä (Loimaa)",38658,42097,44706,46613,47964
"32270  Metsämaa-Murto (Loimaa)",39770,42762,42961,44853,47089
"32280  Metsäkorpi (Loimaa)",40159,43173,43374,45742,47748
"32300  Mellilä (Loimaa)",39205,40662,41776,42494,44531
"32410  Niinijoki (Loimaa)",49743,51391,51264,55982,56056
"32430  Ylhäinen (Loimaa)",39272,42615,44052,45761,47903
"32440  Alastaro Keskus (Loimaa)",36371,37457,38998,39529,41687
"32450  Tammiainen (Loimaa)",43561,43898,44850,45632,48596
"32500  Oripää Keskus (Oripää)",42696,41603,45366,44760,47075
"32520  Latva (Oripää)",59082,60643,64681,62968,64189
"32560  Virttaa (Loimaa)",42534,43985,45029,48453,50596
"32610  Vampula Keskus (Huittinen)",39782,44775,42289,42653,44946
"32620  Rutava (Huittinen)",37020,40805,42056,42338,45154
"32700  Huittinen Keskus (Huittinen)",36263,37465,38348,39875,41305
"32710  Sampu (Huittinen)",48246,51542,53748,55240,56453
"32730  Keikyä (Sastamala)",39838,41263,43221,44600,45487
"32740  Pehula (Sastamala)",35666,35903,36644,38986,39708
"32760  Suttila (Huittinen)",38861,39036,40158,39815,40444
"32770  Huhtamo (Huittinen)",40414,41380,44955,46325,48082
"32800  Kokemäki Keskus (Kokemäki)",35047,36022,37550,39189,40506
"32810  Peipohja (Kokemäki)",37681,38715,40909,42572,43420
"32830  Riste (Kokemäki)",37719,38150,40814,42738,44273
"32860  Korkeaoja (Kokemäki)",42049,42603,40614,45720,44397
"32910  Kauvatsa Asemanseutu (Kokemäki)",36631,38177,38844,42343,41815
"32920  Kauvatsa (Kokemäki)",35542,37962,38376,41855,42932
"33100  Tampere Keskus (Tampere)",37457,38820,39466,40643,42901
"33180  Lapinniemi-Käpylä (Tampere)",54842,54820,53310,52931,58039
"33200  Tampere Keskus Läntinen (Tampere)",37690,42524,41173,42155,49906
"33210  Itä-Amuri-Tammerkoski (Tampere)",35480,38285,39299,39863,43836
"33230  Länsi-Amuri (Tampere)",43576,45050,46271,48389,49409
"33240  Tahmela (Tampere)",60247,64685,65905,67467,71520
"33250  Pispala (Tampere)",37830,40085,39106,38047,40815
"33270  Epilä (Tampere)",41355,43093,45544,46012,49639
"33300  Rahola (Tampere)",43895,45856,47034,48031,49916
"33310  Tesoma (Tampere)",30863,31728,33144,33909,35368
"33330  Myllypuro-Kalkku (Tampere)",35578,37780,38190,40266,40880
"33340  Haukiluoma-Ikuri (Tampere)",43544,44058,45623,47524,49177
"33400  Luoteis-Tampere (Tampere)",39734,41305,42572,43187,46416
"33410  Lentävänniemi (Tampere)",34508,35731,36312,38156,39197
"33420  Lamminpää (Tampere)",47614,53286,53516,50679,45942
"33430  Vuorentausta (Ylöjärvi)",47603,49585,51290,51959,53503
"33450  Siivikkala (Ylöjärvi)",57555,59669,63900,62834,65495
"33470  Ylöjärvi Keskus (Ylöjärvi)",38748,40856,41862,43120,44204
"33480  Manninmäki-Haavisto (Ylöjärvi)",49848,53326,54285,56144,58208
"33500  Osmonmäki-Petsamo (Tampere)",32798,34411,35416,36935,38811
"33520  Keskussairaala-alue-Kauppi (Tampere)",37342,37414,38440,39379,41239
"33530  Kissanmaa (Tampere)",35762,37897,39709,40941,42070
"33540  Kaleva (Tampere)",28447,32240,31096,32352,33418
"33560  Takahuhti (Tampere)",40106,40833,41933,43044,44637
"33580  Atala-Linnainmaa (Tampere)",42072,43536,45693,46414,48348
"33610  Olkahinen-Tasanne (Tampere)",52949,56385,57149,59547,62796
"33680  Aitolahti (Tampere)",54674,61393,60119,61101,62430
"33700  Messukylä (Tampere)",48554,50691,51717,53961,55750
"33710  Kaukajärvi (Tampere)",37375,38896,39837,41323,42948
"33720  Hervanta (Tampere)",28195,29387,29982,31419,32499
"33730  Leinola-Vehmainen (Tampere)",59059,61105,62737,63745,66117
"33800  Nekala (Tampere)",35213,37761,38643,36604,37764
"33820  Koivistonkylä (Tampere)",46083,48997,48804,51294,51465
"33840  Peltolammi (Tampere)",31557,32948,34178,35569,37010
"33850  Multisilta (Tampere)",29703,30719,31966,33195,34538
"33870  Vuores (Tampere)",38366,40972,42886,45476,46665
"33880  Höytämö (Lempäälä)",46869,49713,50889,51859,53735
"33900  Härmälä-Rantaperkiö (Tampere)",33572,34817,35929,37034,38510
"33920  Toivio (Pirkkala)",62446,64496,68550,70049,73415
"33950  Killo (Pirkkala)",47638,51760,53032,57069,62035
"33960  Suuppa (Pirkkala)",50411,52757,54103,55376,56612
"33980  Pirkkala kk (Pirkkala)",61618,64996,72090,85002,75173
"34110  Lakiala (Ylöjärvi)",61122,64984,65479,68201,68684
"34130  Ylinen (Ylöjärvi)",53307,57793,64358,61202,60861
"34140  Mutala (Ylöjärvi)",52531,54060,57812,62196,63057
"34150  Kyrönlahti (Ylöjärvi)",50707,53329,56578,57867,60395
"34180  Länsi-Teisko (Ylöjärvi)",42194,42601,43952,46350,47253
"34240  Kämmenteisko (Tampere)",52164,53645,55998,57612,58301
"34260  Terälahti (Tampere)",44434,48656,48656,52798,54500
"34270  Velaatta (Tampere)",40005,41846,42318,44936,44599
"34300  Kuru Keskus (Ylöjärvi)",36079,36698,37943,39372,41011
"34320  Parkkuu (Ylöjärvi)",41417,46359,48375,51926,52146
"34330  Poikelus (Ylöjärvi)",45390,44634,46149,47467,52415
"34410  Murole (Ruovesi)",40144,41560,42558,46048,45530
"34420  Muroleen Kanava (Ruovesi)",...,...,...,...,...
"34430  Kekkonen (Ruovesi)",42265,46055,48101,49077,51562
"34450  Jäminkipohja (Ruovesi)",40538,46114,47263,44855,48640
"34510  Luode (Ylöjärvi)",36456,37689,40629,41375,43812
"34530  Länsi-Aure (Ylöjärvi)",37683,39727,36655,...,...
"34550  Itä-Aure (Ylöjärvi)",31356,35769,37630,36741,38538
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",33496,34933,35637,37408,38416
"34640  Mustajärvi (Ruovesi)",41618,42694,45464,45806,48748
"34710  Vaskivesi (Virrat)",45782,49333,50646,53039,56386
"34730  Vaskuu (Virrat)",35706,37936,37809,39251,40339
"34740  Koro (Virrat)",37712,40870,50324,46823,47062
"34770  Kurjenkylä (Virrat)",34945,37896,40562,46542,44367
"34800  Virrat Keskus (Virrat)",35260,37354,43502,39388,41098
"34870  Visuvesi (Ruovesi)",35878,37332,38799,40221,42440
"34910  Äijänneva (Virrat)",43991,43145,45738,45115,48445
"34930  Liedenpohja (Virrat)",39913,45545,45116,47690,49358
"34950  Ohtola (Virrat)",42547,42100,45228,44447,47954
"34970  Toisvesi (Virrat)",36390,40553,42496,42782,43850
"34980  Killinkoski (Virrat)",29512,32241,31853,34019,37695
"35100  Orivesi Asemanseutu (Orivesi)",41665,44041,46194,47831,49834
"35220  Eräjärvi (Orivesi)",35054,37826,38490,42405,46714
"35240  Ristakallio (Orivesi)",37265,40194,42511,41319,46152
"35260  Leväslahti (Orivesi)",...,...,...,...,...
"35270  Västilä (Orivesi)",39501,47136,47509,51703,53007
"35300  Orivesi Keskus (Orivesi)",36576,37655,39821,41109,42562
"35320  Hirsilä (Orivesi)",41827,43245,43315,46423,49004
"35400  Länkipohja (Jämsä)",34303,35769,36688,38530,40428
"35420  Talviainen (Orivesi)",40158,40932,43751,50381,51778
"35480  Längelmäki (Orivesi)",43723,...,...,...,...
"35500  Korkeakoski (Juupajoki)",36599,37449,38477,39734,41952
"35520  Pirttikangas (Juupajoki)",41996,44078,43660,41792,63599
"35530  Lyly (Juupajoki)",38406,43344,45279,46459,46813
"35540  Juupajoki (Juupajoki)",51300,51780,52781,55723,57712
"35550  Salokunta (Juupajoki)",63283,58188,61791,68935,65435
"35600  Halli (Jämsä)",36236,36659,37761,40241,41465
"35610  Pihlaisto (Jämsä)",35890,38680,37154,39650,45516
"35630  Suinula-Valkamanperä (Jämsä)",40545,40128,41240,43222,46954
"35700  Vilppula Keskus (Mänttä-Vilppula)",36117,37221,38892,40406,41787
"35740  Ylä-Vääri (Ruovesi)",51565,62576,54834,61191,57903
"35750  Väärinmaja (Ruovesi)",41208,44728,57549,45788,51191
"35800  Mänttä (Mänttä-Vilppula)",32954,33538,34593,35935,36878
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",39070,40009,41103,43598,44763
"35990  Kolho (Mänttä-Vilppula)",35669,36594,37132,38581,40866
"36100  Kangasala Asemanseutu (Kangasala)",59316,61931,65745,68409,69756
"36110  Ruutana (Kangasala)",56050,59783,59926,63319,64838
"36120  Suinula-Haviseva (Kangasala)",52932,55455,58228,61468,62003
"36200  Kangasala Keskus (Kangasala)",44220,46481,47380,49798,51254
"36220  Suorama (Kangasala)",39955,40462,42559,43465,44432
"36240  Vatiala (Kangasala)",45391,46575,48293,48290,48342
"36270  Huutijärvi (Kangasala)",53286,55528,55468,57296,59017
"36280  Pikonlinna (Kangasala)",58029,62543,65424,65143,70077
"36340  Tohkala (Kangasala)",45907,49053,48643,54267,55541
"36420  Sahalahti Keskus (Kangasala)",45833,47642,47513,49975,52888
"36430  Pakkala (Kangasala)",49561,49484,48144,50224,53750
"36450  Salmentaka (Pälkäne)",38857,41006,41077,47756,42750
"36520  Raikku (Kangasala)",56911,54651,56827,59112,59969
"36570  Kaivanto (Kangasala)",51105,54013,57755,60492,61634
"36600  Pälkäne Keskus (Pälkäne)",41284,42385,43960,46573,48041
"36640  Iltasmäki (Pälkäne)",48579,54356,52013,53496,54122
"36660  Laitikkala (Pälkäne)",50847,55324,58844,59716,61049
"36720  Aitoo (Pälkäne)",36843,38912,39704,41203,43374
"36760  Luopioinen Keskus (Pälkäne)",35751,36995,37495,41706,41171
"36810  Kuhmalahti Keskus (Kangasala)",38291,40524,40523,41652,43066
"36840  Kuhmajärvi (Kangasala)",37966,37750,40079,40782,41965
"36880  Vehkajärvi (Kangasala)",31417,31600,34488,38245,42852
"36910  Rautajärvi (Pälkäne)",37349,38938,40820,42182,43889
"36930  Kyynärö (Pälkäne)",39283,43066,44492,45047,46287
"37100  Nokia Keskus (Nokia)",33215,33503,34396,35260,35977
"37120  Koskenmäki (Nokia)",46508,48187,50105,52446,54391
"37130  Alhoniitty (Nokia)",44762,46520,48175,49948,52834
"37140  Harjuniitty (Nokia)",51244,54804,58351,60744,62771
"37150  Kankaantaka (Nokia)",41652,42730,44196,46151,47667
"37180  Sarkola (Nokia)",47873,51581,53112,55469,57122
"37200  Siuro (Nokia)",46866,50012,51119,52086,54422
"37210  Kulovesi (Nokia)",...,...,...,...,...
"37240  Linnavuori (Nokia)",35511,36692,38574,39511,40105
"37310  Tottijärvi (Nokia)",53389,52986,54908,56522,58477
"37350  Rämsöö (Vesilahti)",44807,49344,48461,51406,58954
"37370  Narva (Vesilahti)",42973,47114,48382,52127,52787
"37380  Krääkkiö (Vesilahti)",39672,39757,41831,40771,43333
"37420  Valkkinen (Vesilahti)",44916,49205,51063,52909,55335
"37470  Vesilahti Keskus (Vesilahti)",52720,55931,58662,61013,61819
"37500  Lempäälä Keskus (Lempäälä)",43608,45566,46008,48366,50803
"37530  Säijä (Lempäälä)",52057,76113,54451,57705,61014
"37550  Kuivaspää (Lempäälä)",53994,55659,57631,63887,61097
"37560  Kulju (Lempäälä)",55594,60504,61238,62708,64411
"37570  Koivuniemi (Lempäälä)",62314,68646,77914,70226,79434
"37600  Valkeakoski Keskus (Valkeakoski)",36637,37775,39150,41193,41944
"37630  Vääräkoivu (Valkeakoski)",41194,42654,44494,46310,48006
"37700  Sääksmäki (Valkeakoski)",46423,45518,46069,50116,50990
"37720  Ritvala (Valkeakoski)",48900,52920,50744,56518,57721
"37740  Haukila (Valkeakoski)",41522,43219,45330,48116,50190
"37770  Tarttila (Valkeakoski)",42800,44503,46302,49032,51974
"37800  Toijala keskus (Akaa)",39240,40631,42491,44195,45477
"37830  Viiala Keskus (Akaa)",39860,41367,43840,44824,48664
"37850  Metsäkansa (Valkeakoski)",48037,50833,66989,64445,51357
"37860  Kärjenniemi (Valkeakoski)",53750,55193,56932,58542,60444
"37900  Kylmäkoski Asemanseutu (Akaa)",35778,37658,39882,41375,42353
"37910  Kylmäkoski Keskus (Akaa)",39791,42505,43230,44828,52076
"37960  Sotkia (Akaa)",39493,43594,45075,46649,47433
"38100  Karkku (Sastamala)",42495,44312,47090,47996,50322
"38120  Kutala (Sastamala)",52459,54408,55990,54883,56847
"38130  Ellivuori (Sastamala)",...,...,...,...,...
"38140  Kärppälä (Sastamala)",49685,52813,50375,54965,59658
"38200  Vammala Keskus (Sastamala)",35052,36126,37806,39035,41699
"38210  Vammala Asemanseutu (Sastamala)",38950,37802,39554,41141,42864
"38220  Stormi (Sastamala)",44360,44709,47387,51553,52157
"38250  Roismala (Sastamala)",46030,47556,49045,51423,52339
"38270  Sammaljoki (Sastamala)",43046,45282,45887,45989,47943
"38280  Illo (Sastamala)",42041,43042,47316,49220,52669
"38300  Kiikka (Sastamala)",40710,44426,46520,47681,50509
"38360  Kiikoinen (Sastamala)",36400,39210,39992,40835,43599
"38420  Häijää (Sastamala)",45560,46996,47837,50394,53100
"38460  Mouhijärvi Keskus (Sastamala)",40468,40687,42746,44401,46191
"38470  Hyynilä (Sastamala)",40751,41794,45160,47342,47362
"38490  Haukijärvi (Hämeenkyrö)",37059,38080,37266,39325,37419
"38510  Suodenniemi (Sastamala)",36562,38719,39680,42280,43260
"38600  Lavia Keskus (Pori)",36336,38365,39244,40845,42280
"38650  Yli-Putto (Pori)",34211,36675,38512,50049,47463
"38670  Kalliala-Haunia (Pori)",38270,41101,42211,43910,45145
"38680  Tuunajärvi (Pomarkku)",35678,34261,39943,42957,38174
"38700  Kankaanpää Keskus (Kankaanpää)",36346,37630,39313,41292,41171
"38710  Myllymäki (Kankaanpää)",28975,29780,31140,31863,32679
"38720  Vihteljärvi (Kankaanpää)",38976,43599,45197,46781,48876
"38740  Hapuoja (Kankaanpää)",40293,40455,40568,42458,43547
"38750  Veneskoski (Kankaanpää)",46699,43070,43145,44757,46017
"38760  Venesjärvi (Kankaanpää)",45974,48502,50741,52672,56225
"38770  Lohikko (Kankaanpää)",45415,47213,48268,52923,52748
"38800  Jämijärvi Keskus (Jämijärvi)",36514,38598,40183,42901,44750
"38840  Niinisalo (Kankaanpää)",36809,37958,39081,41876,42839
"38860  Suurimaa (Jämijärvi)",35314,40695,41956,49240,41453
"38910  Ala-Honkajoki (Kankaanpää)",41907,43259,44684,46907,49738
"38920  Vatajankoski (Kankaanpää)",35853,41060,39720,42820,44282
"38950  Honkajoki Keskus (Kankaanpää)",37394,39242,40525,41108,41681
"38970  Lauhala (Kankaanpää)",40196,41617,43743,45473,45754
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",39391,41524,41717,43275,45887
"39110  Simuna (Hämeenkyrö)",48426,45918,49272,53813,56107
"39130  Sasi (Hämeenkyrö)",52137,54774,64997,60635,62553
"39150  Pinsiö (Hämeenkyrö)",54341,56893,59778,61979,63402
"39160  Julkujärvi (Ylöjärvi)",55443,56781,59086,60678,62485
"39170  Jumesniemi (Hämeenkyrö)",52310,54212,56601,54524,60117
"39180  Herttuala (Hämeenkyrö)",51133,51285,49786,51610,45653
"39195  Kaipio (Hämeenkyrö)",44734,45555,46642,45506,47557
"39200  Kyröskoski (Hämeenkyrö)",38441,40260,41569,43228,44123
"39230  Osara (Hämeenkyrö)",48658,46475,49195,49744,51487
"39290  Vesajärvi (Hämeenkyrö)",40479,41872,44821,56221,45572
"39310  Viljakkala Keskus (Ylöjärvi)",41228,43330,45123,47064,47103
