"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2024 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2024 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2024 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2024 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2024 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2024 Blocks of flats, three-room flat+"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",7812,7263,7240,90,128,117
"00120  Punavuori - Bulevardi (Helsinki)",8614,7919,7873,36,53,75
"00130  Kaartinkaupunki (Helsinki)",8604,...,8128,10,5,10
"00140  Kaivopuisto - Ullanlinna (Helsinki)",8031,7928,8944,58,56,61
"00150  Punavuori - Eira - Hernesaari (Helsinki)",7850,7893,9275,100,85,67
"00160  Katajanokka (Helsinki)",8065,6265,7427,21,23,30
"00170  Kruununhaka (Helsinki)",7927,7321,7297,36,46,41
"00180  Kamppi - Ruoholahti (Helsinki)",7376,6870,6431,65,77,82
"00190  Suomenlinna (Helsinki)",.,.,.,.,.,.
"00200  Pohjois-Lauttasaari (Helsinki)",6467,6115,6276,68,154,162
"00210  Vattuniemi (Helsinki)",6616,6253,6729,23,62,88
"00220  Jätkäsaari (Helsinki)",8146,7748,6651,11,21,67
"00240  Länsi-Pasila (Helsinki)",5969,4668,5010,35,50,33
"00250  Taka-Töölö (Helsinki)",6899,6687,6336,85,121,67
"00260  Keski-Töölö (Helsinki)",7091,7426,7780,26,43,44
"00270  Pohjois-Meilahti (Helsinki)",6386,5429,5559,30,58,44
"00280  Ruskeasuo (Helsinki)",...,5480,5582,5,21,20
"00290  Meilahden sairaala-alue (Helsinki)",.,...,.,.,1,.
"00300  Pikku Huopalahti (Helsinki)",5321,4650,4633,7,19,15
"00310  Kivihaka (Helsinki)",...,4125,...,4,7,5
"00320  Etelä-Haaga (Helsinki)",5342,4955,4928,100,131,81
"00330  Munkkiniemi (Helsinki)",6485,6139,6406,25,57,80
"00340  Kuusisaari - Lehtisaari (Helsinki)",.,...,4442,.,1,11
"00350  Munkkivuori - Niemenmäki (Helsinki)",4908,4689,4703,34,42,88
"00360  Pajamäki (Helsinki)",...,3837,3810,5,13,9
"00370  Reimarla (Helsinki)",3753,3564,2827,13,17,16
"00380  Pitäjänmäen yritysalue (Helsinki)",...,5375,5049,8,15,33
"00390  Konala (Helsinki)",4094,3338,3321,15,27,22
"00400  Pohjois-Haaga (Helsinki)",4668,3939,4175,29,63,60
"00410  Malminkartano (Helsinki)",...,2494,2572,5,22,11
