"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2024 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2024 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2024 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2024 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2024 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2024 Blocks of flats, three-room flat+"
"00420  Kannelmäki (Helsinki)",3751,2939,2667,21,52,44
"00430  Maununneva - Kuninkaantammi (Helsinki)",...,...,4149,20,19,27
"00440  Lassila (Helsinki)",4416,3316,3061,12,23,19
"00500  Sörnäinen - Harju (Helsinki)",6009,5283,5291,145,76,19
"00510  Alppila - Vallila (Helsinki)",6141,5470,5981,95,76,30
"00520  Itä- ja Keski-Pasila (Helsinki)",6382,5187,5445,35,61,57
"00530  Kallio (Helsinki)",6188,5591,5582,186,162,70
"00540  Kalasatama - Sompasaari (Helsinki)",9009,7497,7811,14,18,51
"00550  Vallila - Hermanni (Helsinki)",6006,5377,5363,47,62,34
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",5763,5467,5758,28,61,48
"00570  Kulosaari (Helsinki)",5767,5359,5288,11,18,35
"00580  Kalasatama - Kyläsaari (Helsinki)",8845,8206,7594,28,66,76
"00590  Kruunuvuorenranta (Helsinki)",...,6036,6705,5,16,19
"00600  Koskela (Helsinki)",...,...,2757,7,9,13
"00610  Käpylä (Helsinki)",5826,5198,5069,16,53,40
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",...,3747,4130,2,12,27
"00630  Maunula (Helsinki)",4240,3638,3574,10,31,34
"00640  Oulunkylä - Patola (Helsinki)",4142,3359,3480,14,55,51
"00650  Veräjämäki (Helsinki)",...,...,4204,1,6,17
"00660  Länsi-Pakila (Helsinki)",...,...,...,2,3,2
"00670  Paloheinä (Helsinki)",.,...,.,.,1,.
"00680  Itä-Pakila (Helsinki)",...,.,...,1,.,2
"00690  Torpparinmäki (Helsinki)",.,.,.,.,.,.
"00700  Malmi (Helsinki)",3585,3033,2764,15,35,42
"00710  Pihlajamäki - Viikinmäki (Helsinki)",3345,2701,2133,17,57,62
"00720  Pukinmäki (Helsinki)",4074,2792,2897,14,24,33
"00730  Tapanila (Helsinki)",3998,3366,3326,10,18,13
"00740  Siltamäki (Helsinki)",...,2188,2114,4,25,20
"00750  Tapulikaupunki (Helsinki)",...,2104,1909,2,10,20
"00760  Puistola - Heikinlaakso (Helsinki)",...,1878,...,1,8,5
"00770  Jakomäki - Alppikylä (Helsinki)",1957,1558,2137,8,10,8
"00780  Tapaninvainio (Helsinki)",3464,2996,2629,7,12,8
"00790  Viikki (Helsinki)",...,4185,4019,1,21,25
"00800  Länsi-Herttoniemi (Helsinki)",5248,4874,5139,20,34,21
"00810  Herttoniemenranta (Helsinki)",...,5391,4793,34,117,84
"00820  Roihuvuori (Helsinki)",4428,3845,3789,14,46,55
"00830  Tammisalo (Helsinki)",...,...,...,2,3,1
"00840  Yliskylä (Helsinki)",4404,3820,3432,18,48,60
"00850  Jollas (Helsinki)",.,.,.,.,.,.
"00870  Gunillanmäki - Hevossalmi (Helsinki)",...,...,3123,2,7,17
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",...,...,...,4,3,4
"00890  Östersundom (Helsinki)",.,.,.,.,.,.
"00900  Puotinharju (Helsinki)",...,3091,2423,5,11,23
"00910  Puotila (Helsinki)",4061,3079,3206,20,42,41
"00920  Myllypuro (Helsinki)",3742,2703,2591,8,32,62
"00930  Itäkeskus - Marjaniemi (Helsinki)",...,2604,2398,7,12,18
"00940  Kontula - Vesala - Kivikko (Helsinki)",3125,2205,2062,19,71,71
"00950  Vartioharju (Helsinki)",...,3327,3492,4,12,9
"00960  Pohjois-Vuosaari (Helsinki)",3006,2440,2559,10,48,23
"00970  Mellunmäki (Helsinki)",2647,2347,1983,19,32,23
"00980  Etelä-Vuosaari (Helsinki)",3345,3058,2744,8,50,65
"00990  Aurinkolahti (Helsinki)",4943,4589,4503,11,23,51
"01120  Västerskog (Sipoo)",.,...,...,.,2,1
"01150  Söderkulla (Sipoo)",...,2825,2402,3,19,20
"01180  Kalkkiranta (Sipoo)",.,.,.,.,.,.
"01190  Box (Sipoo)",.,.,.,.,.,.
"01200  Hakunila (Vantaa)",2268,1851,1655,17,40,28
"01230  Vaarala (Vantaa)",...,...,.,4,2,.
"01260  Itä-Hakkila (Vantaa)",.,.,.,.,.,.
"01280  Länsimäki (Vantaa)",1933,1696,2100,7,15,16
"01300  Tikkurila (Vantaa)",4275,3663,3408,74,136,56
"01340  Leinelä (Vantaa)",...,3732,3122,4,6,7
"01350  Hiekkaharju (Vantaa)",3238,2757,2307,9,40,31
"01360  Koivukylä-Havukoski (Vantaa)",2794,1435,1391,11,46,35
"01370  Jokiniemi (Vantaa)",...,3155,2781,5,14,7
"01380  Kuusikko-Hakkila (Vantaa)",.,.,.,.,.,.
"01390  Ruskeasanta-Ilola (Vantaa)",...,...,...,2,1,3
"01400  Rekola (Vantaa)",4043,3566,3252,17,13,8
"01420  Päiväkumpu (Vantaa)",.,.,.,.,.,.
"01450  Korso (Vantaa)",2492,2217,1850,16,32,26
"01480  Mikkola (Vantaa)",2374,1305,1161,7,46,28
"01490  Nikinmäki (Vantaa)",...,.,...,2,.,2
"01510  Kirkonkylä-Veromäki (Vantaa)",...,3736,3650,2,21,18
"01520  Tammisto (Vantaa)",...,3911,3945,3,22,28
"01530  Veromiehenkylä (Vantaa)",.,.,.,.,.,.
"01600  Myyrmäki (Vantaa)",3524,2416,2141,34,74,95
"01610  Kaivoksela (Vantaa)",3670,2807,2468,21,26,18
"01620  Martinlaakso (Vantaa)",3230,2294,1867,18,53,44
"01630  Hämeenkylä (Vantaa)",.,...,.,.,1,.
"01640  Hämevaara (Vantaa)",...,3358,...,2,7,4
"01650  Vapaala (Vantaa)",...,1315,1633,2,13,9
"01660  Varisto (Vantaa)",.,.,.,.,.,.
"01670  Vantaanlaakso (Vantaa)",.,...,...,.,4,4
"01680  Askisto (Vantaa)",.,.,.,.,.,.
"01690  Ylästö (Vantaa)",.,.,.,.,.,.
"01700  Kivistö (Vantaa)",4317,3764,3853,33,38,28
"01710  Pähkinärinne (Vantaa)",2870,2407,1995,7,23,19
"01720  Petikko (Vantaa)",.,.,.,.,.,.
"01730  Vantaanpuisto (Vantaa)",...,1961,1647,3,8,7
"01740  Tuupakan teollisuusalue (Vantaa)",.,.,.,.,.,.
"01750  Keimola (Vantaa)",.,.,.,.,.,.
"01760  Seutula (Vantaa)",.,.,.,.,.,.
"01800  Klaukkala Keskus (Nurmijärvi)",2709,2389,2358,14,28,13
"01820  Haikala (Nurmijärvi)",.,.,...,.,.,1
"01830  Lepsämä (Nurmijärvi)",.,.,.,.,.,.
"01840  Klaukkala (Nurmijärvi)",.,...,.,.,2,.
"01860  Perttula (Nurmijärvi)",.,.,.,.,.,.
"01900  Nurmijärvi Keskus (Nurmijärvi)",1722,1845,1820,20,48,24
"01940  Palojoki (Nurmijärvi)",.,.,.,.,.,.
"02100  Tapiola (Espoo)",6013,5829,5898,21,51,56
"02110  Otsolahti (Espoo)",5395,5301,4850,14,23,21
"02120  Länsikorkee-Suvikumpu (Espoo)",5554,5123,5070,11,19,33
"02130  Pohjois-Tapiola (Espoo)",...,4585,4498,4,18,31
"02140  Laajalahti (Espoo)",.,...,...,.,2,2
"02150  Otaniemi (Espoo)",...,...,...,2,1,5
"02160  Westend (Espoo)",...,...,5171,3,2,15
"02170  Haukilahti (Espoo)",4988,4473,4277,10,24,39
"02180  Mankkaa (Espoo)",.,...,.,.,2,.
"02200  Niittykumpu (Espoo)",6510,5286,4773,18,40,58
"02210  Olari (Espoo)",3336,3123,3032,17,39,68
"02230  Matinkylä (Espoo)",4457,3921,4320,38,149,114
"02240  Friisilä (Espoo)",.,...,...,.,3,2
"02250  Henttaa (Espoo)",...,4557,4337,2,13,11
"02260  Kaitaa (Espoo)",...,2985,3461,4,15,10
"02270  Finnoo-Eestinmalmi (Espoo)",...,...,...,1,1,2
"02280  Malminmäki-Eestinlaakso (Espoo)",...,3994,...,1,8,4
"02300  Nöykkiönpuro (Espoo)",.,.,.,.,.,.
"02320  Espoonlahti (Espoo)",3685,3462,3022,22,60,111
"02330  Saunalahti-Kattilalaakso (Espoo)",4630,4385,4028,20,28,41
"02340  Latokaski (Espoo)",.,.,.,.,.,.
"02360  Soukka (Espoo)",3291,2796,2544,6,28,44
"02380  Suvisaaristo (Espoo)",.,.,.,.,.,.
"02390  Sarvvik (Kirkkonummi)",...,...,...,53,28,20
"02400  Kirkkonummi Keskus (Kirkkonummi)",2538,2330,2123,9,19,16
"02410  Gesterby (Kirkkonummi)",...,995,...,3,12,1
"02420  Jorvas (Kirkkonummi)",.,.,.,.,.,.
"02430  Masala (Kirkkonummi)",3850,...,...,6,3,1
"02440  Luoma (Kirkkonummi)",.,.,.,.,.,.
"02450  Sundsberg (Kirkkonummi)",.,.,...,.,.,1
"02460  Kantvik (Kirkkonummi)",...,...,...,2,5,3
"02480  Porkkala (Kirkkonummi)",...,...,.,1,1,.
"02490  Pikkala (Siuntio)",.,...,.,.,2,.
"02510  Oitmäki (Kirkkonummi)",.,.,.,.,.,.
"02520  Lapinkylä (Kirkkonummi)",.,.,.,.,.,.
"02540  Kylmälä (Kirkkonummi)",.,.,.,.,.,.
"02550  Evitskog (Kirkkonummi)",.,.,.,.,.,.
"02570  Siuntio Kirkonkylä (Siuntio)",.,.,.,.,.,.
"02580  Siuntio Asemanseutu (Siuntio)",...,.,...,1,.,2
"02600  Etelä-Leppävaara (Espoo)",4473,4234,4371,16,35,40
"02610  Kilo (Espoo)",...,3941,...,1,8,8
"02620  Karakallio (Espoo)",...,3265,2645,2,22,35
"02630  Nihtisilta (Espoo)",...,...,...,3,5,3
"02650  Pohjois-Leppävaara (Espoo)",3757,3890,3718,19,60,71
"02660  Lintuvaara (Espoo)",.,...,.,.,2,.
"02680  Uusmäki (Espoo)",...,...,4136,2,2,8
"02700  Kauniainen (Kauniainen)",5225,5071,4364,9,20,51
"02710  Viherlaakso (Espoo)",...,2503,2535,4,17,18
"02720  Lähderanta (Espoo)",3412,...,2520,11,4,13
"02730  Jupperi (Espoo)",.,.,...,.,.,1
"02740  Bemböle-Pakankylä (Espoo)",.,.,.,.,.,.
"02750  Sepänkylä-Kuurinniitty (Espoo)",...,...,3803,1,4,16
"02760  Tuomarila-Suvela (Espoo)",...,2656,2338,5,32,26
"02770  Espoon Keskus (Espoo)",...,2430,2271,5,14,8
"02780  Kauklahti (Espoo)",.,2961,3192,.,8,21
"02810  Gumböle-Karhusuo (Espoo)",.,.,...,.,.,2
"02820  Nupuri-Nuuksio (Espoo)",.,.,...,.,.,4
"02860  Siikajärvi (Espoo)",.,.,.,.,.,.
"02880  Veikkola (Kirkkonummi)",.,.,.,.,.,.
"02920  Niipperi (Espoo)",.,.,.,.,.,.
"02940  Lippajärvi-Järvenperä (Espoo)",...,2428,...,4,7,6
"02970  Kalajärvi (Espoo)",.,.,.,.,.,.
"03100  Nummela (Vihti)",2398,2178,2035,21,37,25
"03150  Huhmari (Vihti)",.,.,.,.,.,.
"03250  Ojakkala (Vihti)",.,...,...,.,1,2
"03300  Otalampi (Vihti)",.,.,.,.,.,.
"03320  Selki (Vihti)",.,.,.,.,.,.
"03400  Vihti Kirkonkylä (Vihti)",...,...,...,4,6,2
"03600  Karkkila Keskus (Karkkila)",1039,1034,1220,12,17,9
"03620  Polari (Karkkila)",...,1266,977,1,52,23
"03710  Uusitalo (Karkkila)",.,.,.,.,.,.
"03810  Ikkala (Lohja)",.,.,.,.,.,.
"03850  Pusula (Lohja)",.,.,.,.,.,.
"04130  Sipoo (Sipoo)",2288,2688,2216,10,13,15
"04200  Kerava Keskus (Kerava)",1964,2141,1978,14,61,34
"04220  Ahjo-Kaskela (Kerava)",...,2004,2570,1,10,12
"04230  Pihkaniitty (Kerava)",...,1645,1843,5,10,20
"04240  Talma (Sipoo)",.,.,.,.,.,.
"04250  Alikerava (Kerava)",...,2197,2005,8,12,12
"04260  Savio (Kerava)",1596,1899,1719,6,20,8
"04300  Hyrylä (Tuusula)",2557,2217,2208,14,47,39
"04310  Tuusula Keskus (Tuusula)",...,...,.,1,1,.
"04320  Riihikallio (Tuusula)",...,2183,1448,2,11,12
"04330  Lahela (Tuusula)",...,.,.,2,.,.
"04340  Mattila (Tuusula)",...,1570,...,2,6,3
"04350  Nahkela (Tuusula)",.,.,.,.,.,.
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",.,.,.,.,.,.
"04380  Tuomala (Tuusula)",.,.,.,.,.,.
"04390  Jäniksenlinna (Tuusula)",.,.,.,.,.,.
"04400  Loutti (Järvenpää)",2696,2290,2253,32,51,43
"04410  Järvenpää Keskus (Järvenpää)",2754,2405,2417,59,33,48
"04420  Kyrölä (Järvenpää)",...,...,...,1,1,1
"04430  Kinnari-Mikonkorpi (Järvenpää)",3425,...,2665,6,5,8
"04440  Jamppa (Järvenpää)",...,1079,...,5,10,6
"04460  Nummenkylä (Järvenpää)",.,.,.,.,.,.
"04480  Haarajoki (Järvenpää)",.,.,.,.,.,.
"04500  Kellokoski (Tuusula)",.,...,...,.,3,3
"04600  Mäntsälä Keskus (Mäntsälä)",...,1662,1859,3,21,8
"04620  Kaunismäki (Mäntsälä)",.,...,...,.,4,1
"04630  Sääksjärvi (Mäntsälä)",.,.,.,.,.,.
"04660  Numminen (Mäntsälä)",.,.,.,.,.,.
"04680  Hirvihaara (Mäntsälä)",.,.,.,.,.,.
"04840  Hautjärvi (Mäntsälä)",.,.,.,.,.,.
"04920  Saarentaus (Mäntsälä)",.,.,.,.,.,.
"04940  Levanto (Mäntsälä)",.,.,.,.,.,.
"05100  Röykkä (Nurmijärvi)",...,...,.,4,2,.
"05200  Rajamäki (Nurmijärvi)",...,1680,1396,4,8,14
"05400  Jokela (Tuusula)",...,1511,2234,2,6,6
"05430  Nuppulinna (Tuusula)",.,.,.,.,.,.
"05440  Hyvinkää (Hyvinkää)",.,.,.,.,.,.
"05450  Nukari (Nurmijärvi)",.,.,.,.,.,.
"05460  Hakalanmäki-Hakala (Hyvinkää)",.,1556,...,.,8,2
"05510  Päivärinta (Hyvinkää)",.,.,.,.,.,.
"05620  Noppo (Hyvinkää)",.,.,.,.,.,.
"05720  Kytäjä (Hyvinkää)",.,.,.,.,.,.
"05800  Hyvinkää Keskus (Hyvinkää)",2422,2024,2000,27,60,51
"05810  Martti (Hyvinkää)",...,...,...,2,2,4
"05820  Mustamännistö (Hyvinkää)",1227,...,...,6,4,4
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",1365,1669,1599,14,23,12
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",...,...,...,4,4,3
"05860  Talvisilta (Hyvinkää)",...,...,...,2,3,5
"05880  Paavola-Vaivero (Hyvinkää)",...,...,856,4,8,10
"05900  Vieremä (Hyvinkää)",...,1932,1521,5,21,20
"06100  Porvoo Keskus (Porvoo)",3229,2804,3043,34,89,86
"06150  Kevätkumpu (Porvoo)",2496,2045,2480,6,67,54
"06200  Porvoo itäinen (Porvoo)",.,.,.,.,.,.
"06400  Gammelbacka (Porvoo)",2136,2008,2225,7,13,8
"06450  Eestinmäki-Ernestas (Porvoo)",.,...,...,.,5,6
"06500  Saksala-Suomenkylä (Porvoo)",.,.,...,.,.,1
"06530  Kerkkoo (Porvoo)",.,.,.,.,.,.
"06650  Hamari (Porvoo)",...,...,.,7,2,.
"06750  Tolkkinen (Porvoo)",.,.,.,.,.,.
"06830  Kulloonkylä (Porvoo)",.,.,.,.,.,.
"06880  Kärrby (Sipoo)",.,.,.,.,.,.
"06950  Emäsalo (Porvoo)",.,.,.,.,.,.
"07110  Hinthaara (Porvoo)",.,.,.,.,.,.
"07150  Laukkoski (Pornainen)",.,.,.,.,.,.
"07170  Keski-Pornainen (Pornainen)",.,...,...,.,1,1
"07190  Halkia (Pornainen)",.,.,.,.,.,.
"07230  Monninkylä (Askola)",.,.,.,.,.,.
"07280  Ilola (Porvoo)",.,.,.,.,.,.
"07500  Askola Kirkonkylä (Askola)",.,.,.,.,.,.
"07510  Vakkola (Askola)",.,.,.,.,.,.
"07550  Torpinkylä (Pukkila)",.,.,.,.,.,.
"07560  Pukkila Keskus (Pukkila)",.,.,.,.,.,.
"07590  Huuvari-Tiilää (Askola)",.,.,.,.,.,.
"07600  Myrskylä Keskus (Myrskylä)",.,.,.,.,.,.
"07700  Koskenkylän saha-alue (Loviisa)",.,.,.,.,.,.
"07750  Isnäs (Loviisa)",.,.,.,.,.,.
"07800  Lapinjärvi Keskus (Lapinjärvi)",.,.,.,.,.,.
"07820  Porlammi (Lapinjärvi)",.,.,.,.,.,.
"07830  Pukaro (Lapinjärvi)",.,.,.,.,.,.
"07870  Skinnarby (Loviisa)",.,.,.,.,.,.
"07880  Liljendal Keskus (Loviisa)",.,.,.,.,.,.
"07890  Mickelspiltom (Loviisa)",.,.,.,.,.,.
"07900  Loviisa Keskus (Loviisa)",1387,1412,1477,10,16,12
"07910  Valko (Loviisa)",...,...,...,1,4,4
"07920  Etelä-Harju (Loviisa)",.,.,...,.,.,3
"07930  Pernaja Kirkonkylä (Loviisa)",.,.,.,.,.,.
"07940  Määrlahti (Loviisa)",.,...,.,.,1,.
"07955  Tesjoki (Loviisa)",.,.,.,.,.,.
"07960  Ahvenkoski (Loviisa)",.,.,.,.,.,.
"07970  Ruotsinpyhtää Keskus (Loviisa)",.,...,...,.,1,1
"07990  Ruotsinkylä-Koskisto (Loviisa)",.,.,.,.,.,.
"08100  Lohja Keskus (Lohja)",2231,2451,2404,25,49,30
"08150  Keskilohja (Lohja)",.,1997,...,.,6,3
"08200  Ojamo (Lohja)",...,979,979,3,23,25
"08350  Routio (Lohja)",...,...,1078,5,5,7
"08450  Hormajärvi (Lohja)",...,...,.,2,1,.
"08500  Ventelä-Millola (Lohja)",...,.,...,2,.,2
"08680  Muijala (Lohja)",.,...,.,.,3,.
"08700  Virkkala (Lohja)",1326,1236,1190,6,16,6
"08800  Kirkniemi (Lohja)",.,...,...,.,1,1
"09120  Karjalohja (Lohja)",.,.,.,.,.,.
"09220  Sammatti (Lohja)",.,.,.,.,.,.
"09430  Saukkola (Lohja)",.,.,.,.,.,.
"09630  Koisjärvi (Lohja)",.,.,.,.,.,.
"09810  Nummi-Oinola (Lohja)",.,.,...,.,.,1
"10120  Tähtelä (Ingå)",.,.,.,.,.,.
"10140  Päivölä (Ingå)",.,.,.,.,.,.
"10210  Inkoo Keskus (Ingå)",...,...,...,3,2,3
"10300  Karjaa Keskus (Raasepori)",1850,1652,1460,10,15,15
"10320  Bäljars (Raasepori)",.,...,...,.,2,1
"10330  Pinjainen (Raasepori)",.,.,.,.,.,.
"10350  Meltolan sairaala-alue (Raasepori)",.,...,...,.,1,1
"10360  Mustio (Raasepori)",.,.,.,.,.,.
"10410  Åminnefors (Raasepori)",.,...,.,.,1,.
"10420  Pohjankuru (Raasepori)",...,880,...,7,15,6
"10440  Bollsta (Raasepori)",.,.,.,.,.,.
"10470  Fiskari (Raasepori)",.,.,...,.,.,2
"10520  Tenhola Kirkonkylä (Raasepori)",.,.,.,.,.,.
"10570  Bromarv (Raasepori)",.,.,.,.,.,.
"10600  Tammisaari Keskus (Raasepori)",2114,2262,2254,25,30,23
"10620  Tammisaari (Raasepori)",...,...,...,2,1,1
"10640  Dragsvik (Raasepori)",.,.,...,.,.,2
"10650  Flyet (Raasepori)",1033,1018,1090,13,17,38
"10660  Trollböle (Raasepori)",.,...,...,.,2,3
"10680  Skogby (Raasepori)",.,.,.,.,.,.
"10710  Snappertuna (Raasepori)",.,.,.,.,.,.
"10820  Lappohja (Hanko)",.,.,...,.,.,2
"10900  Hanko Keskus (Hanko)",1972,1638,2003,15,38,22
"10940  Hangonkylä (Hanko)",.,.,.,.,.,.
"10960  Hanko Pohjoinen (Hanko)",...,.,...,1,.,2
"11100  Riihimäki Keskus (Riihimäki)",1418,1415,1660,40,45,37
"11120  Pohjois-Riihimäki (Riihimäki)",1264,1132,995,11,13,12
"11130  Peltosaari-Patastenmäki (Riihimäki)",1060,1531,1441,13,20,29
"11310  Taka-Kasarmi (Riihimäki)",.,...,...,.,1,1
"11710  Herajoki (Riihimäki)",...,...,...,2,4,1
"11910  Lasi-Kumela (Riihimäki)",...,...,.,1,1,.
"12100  Oitti (Hausjärvi)",.,...,.,.,2,.
"12130  Mommila (Hausjärvi)",.,.,.,.,.,.
"12240  Hikiä (Hausjärvi)",...,.,...,1,.,1
"12310  Ryttylä (Hausjärvi)",...,...,.,1,1,.
"12380  Leppäkoski (Janakkala)",.,.,.,.,.,.
"12400  Tervakoski (Janakkala)",...,1030,...,2,8,1
"12520  Kormu (Loppi)",.,.,.,.,.,.
"12540  Launonen (Loppi)",.,...,.,.,1,.
"12600  Läyliäinen (Loppi)",.,.,.,.,.,.
"12700  Loppi kk (Loppi)",...,987,...,3,8,2
"12750  Pilpala (Loppi)",.,.,.,.,.,.
"13100  Hämeenlinna Keskus (Hämeenlinna)",2238,2148,2096,54,77,79
"13110  Kantola (Hämeenlinna)",...,.,.,1,.,.
"13130  Kauriala (Hämeenlinna)",1895,1679,1604,15,38,26
"13200  Keinusaari (Hämeenlinna)",1936,1895,2658,10,18,11
"13210  Hätilä (Hämeenlinna)",1637,1403,1627,16,32,21
"13220  Sairio (Hämeenlinna)",.,1325,...,.,24,4
"13250  Katuma (Hämeenlinna)",...,...,...,6,24,10
"13270  Ruununmylly (Hämeenlinna)",.,.,.,.,.,.
"13300  Käikälä (Hämeenlinna)",.,.,.,.,.,.
"13330  Harviala (Janakkala)",.,.,.,.,.,.
"13430  Hattelmala (Hämeenlinna)",.,.,.,.,.,.
"13500  Jukola (Hämeenlinna)",2061,1358,1254,11,9,8
"13600  Ojoinen (Hämeenlinna)",1289,1043,940,6,8,7
"13700  Parolannummi (Hattula)",.,...,.,.,1,.
"13720  Parola (Hattula)",...,...,1308,1,2,6
"13800  Katinala (Hattula)",...,...,.,1,3,.
"13880  Rahkoila (Hattula)",.,...,.,.,1,.
"13900  Pekola (Hattula)",.,.,.,.,.,.
"14200  Turenki (Janakkala)",1092,1077,1030,11,22,10
"14300  Renko kk (Hämeenlinna)",.,...,.,.,2,.
"14500  Iittala (Hämeenlinna)",703,...,...,8,4,3
"14610  Lepaa (Hattula)",.,.,.,.,.,.
"14680  Alvettula (Hämeenlinna)",.,.,.,.,.,.
"14700  Hauho kk (Hämeenlinna)",...,...,.,1,2,.
"14770  Eteläinen (Hämeenlinna)",.,.,.,.,.,.
"14820  Syrjäntaka (Hämeenlinna)",.,.,.,.,.,.
"14870  Juttila (Hämeenlinna)",.,.,.,.,.,.
"14960  Puutikkala (Pälkäne)",.,.,.,.,.,.
"15100  Lahti Asemanseutu (Lahti)",1858,1891,1998,27,21,18
"15110  Keski-Lahti (Lahti)",2685,2127,2189,33,39,35
"15140  Kartano-Paavola (Lahti)",2442,2006,2320,48,180,151
"15150  Möysä (Lahti)",1567,1414,1585,18,29,19
"15160  Kolava (Lahti)",.,.,...,.,.,1
"15170  Tenava-Tonttila (Lahti)",1044,937,951,7,32,14
"15200  Kiveriö (Lahti)",1116,996,907,8,13,9
"15210  Kivistönmäki (Lahti)",2142,1256,1300,20,37,24
"15230  Kytölä (Lahti)",...,...,...,3,4,5
"15240  Mukkula (Lahti)",1204,753,826,12,31,24
"15270  Kukkila (Hollola)",.,.,.,.,.,.
"15300  Myllypohja-Koiskala (Lahti)",...,...,...,1,5,4
"15320  Ahtiala (Lahti)",.,.,...,.,.,2
"15340  Kunnas-Hiekkanummi (Lahti)",.,.,.,.,.,.
"15500  Liipola (Lahti)",1028,839,932,10,49,19
"15520  Saksala (Lahti)",1192,919,1011,9,21,10
"15540  Villähde (Lahti)",.,...,.,.,2,.
"15550  Rakokivi (Lahti)",...,...,...,4,8,5
"15560  Nastola kk (Lahti)",...,851,...,6,20,5
"15610  Laune-Nikkilä (Lahti)",.,...,.,.,4,.
"15680  Renkomäki-Ämmälä (Lahti)",.,.,.,.,.,.
"15700  Hennala-Jokimaa (Lahti)",1574,1687,2092,7,24,26
"15800  Kärpänen (Lahti)",1362,1487,1367,10,13,12
"15810  Kasakkamäki (Lahti)",991,...,...,6,1,1
"15830  Metsäkangas (Lahti)",...,917,773,5,26,21
"15840  Riihelä (Lahti)",...,...,...,1,1,1
"15850  Likolampi (Lahti)",.,.,.,.,.,.
"15860  Kartano (Hollola)",972,858,955,8,18,24
"15870  Salpakangas (Hollola)",...,1734,1766,3,18,13
"15880  Soramäki (Hollola)",...,991,...,2,16,3
"15900  Jalkaranta (Lahti)",.,...,2596,.,4,7
"15950  Kiikkula (Lahti)",1529,1256,1525,6,26,24
"15980  Messilä (Hollola)",.,.,.,.,.,.
