"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2022 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2022 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2022 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2022 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2022 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2022 Blocks of flats, three-room flat+"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)",8797,8357,8054,141,194,140
"00120  Punavuori - Bulevardi (Helsinki)",8673,8665,8215,58,58,60
"00130  Kaartinkaupunki (Helsinki)",9400,10691,8785,10,13,16
"00140  Kaivopuisto - Ullanlinna (Helsinki)",9623,9147,10041,55,54,74
"00150  Punavuori - Eira - Hernesaari (Helsinki)",8767,8683,9585,121,96,85
"00160  Katajanokka (Helsinki)",8156,7435,7958,20,36,36
"00170  Kruununhaka (Helsinki)",8717,8382,8071,53,53,78
"00180  Kamppi - Ruoholahti (Helsinki)",8574,7940,8114,89,108,112
"00190  Suomenlinna (Helsinki)",.,...,...,.,1,2
"00200  Pohjois-Lauttasaari (Helsinki)",7656,7118,7167,68,165,153
"00210  Vattuniemi (Helsinki)",7915,7120,7078,45,108,122
"00220  Jätkäsaari (Helsinki)",9167,8559,7781,8,26,52
"00240  Länsi-Pasila (Helsinki)",5847,5220,5328,34,55,47
"00250  Taka-Töölö (Helsinki)",7572,7021,6962,105,156,82
"00260  Keski-Töölö (Helsinki)",8570,7572,7898,51,71,66
"00270  Pohjois-Meilahti (Helsinki)",7535,6673,6752,43,86,60
"00280  Ruskeasuo (Helsinki)",6542,6702,6321,16,18,23
"00290  Meilahden sairaala-alue (Helsinki)",.,.,.,.,.,.
"00300  Pikku Huopalahti (Helsinki)",...,5731,5478,5,32,26
"00310  Kivihaka (Helsinki)",...,4886,3385,2,14,6
"00320  Etelä-Haaga (Helsinki)",6581,5650,5329,63,94,81
"00330  Munkkiniemi (Helsinki)",7274,6938,7378,23,82,93
"00340  Kuusisaari - Lehtisaari (Helsinki)",...,4569,4851,1,9,10
"00350  Munkkivuori - Niemenmäki (Helsinki)",6441,5421,5574,40,90,98
"00360  Pajamäki (Helsinki)",5508,4494,4134,15,27,13
"00370  Reimarla (Helsinki)",3851,4000,3351,19,29,13
"00380  Pitäjänmäen yritysalue (Helsinki)",5813,5628,5518,10,23,30
"00390  Konala (Helsinki)",4602,3787,3686,17,38,28
"00400  Pohjois-Haaga (Helsinki)",5556,4683,4441,36,76,79
"00410  Malminkartano (Helsinki)",4273,3185,2669,9,37,37
"00420  Kannelmäki (Helsinki)",4352,3314,3001,42,115,90
"00430  Maununneva - Kuninkaantammi (Helsinki)",...,4736,3852,27,20,25
"00440  Lassila (Helsinki)",4588,3800,3695,12,25,42
"00500  Sörnäinen - Harju (Helsinki)",7116,6513,6317,252,106,23
"00510  Alppila - Vallila (Helsinki)",7077,6667,6791,163,113,43
"00520  Itä- ja Keski-Pasila (Helsinki)",6680,6444,5755,41,86,83
"00530  Kallio (Helsinki)",7145,6485,6324,199,202,57
"00540  Kalasatama - Sompasaari (Helsinki)",8321,8796,7779,10,25,39
"00550  Vallila - Hermanni (Helsinki)",6673,5936,6168,84,89,22
"00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)",6490,6263,6400,25,75,73
"00570  Kulosaari (Helsinki)",7233,6863,6073,14,21,45
"00580  Kalasatama - Kyläsaari (Helsinki)",9561,8540,7639,13,35,41
"00590  Kruunuvuorenranta (Helsinki)",...,...,5748,2,7,25
"00600  Koskela (Helsinki)",4840,4099,2979,10,13,15
"00610  Käpylä (Helsinki)",5988,5912,5639,54,68,64
"00620  Metsälä - Etelä-Oulunkylä (Helsinki)",...,4659,4408,5,32,34
"00630  Maunula (Helsinki)",5157,4144,3745,12,48,30
"00640  Oulunkylä - Patola (Helsinki)",5068,3655,3775,22,65,48
"00650  Veräjämäki (Helsinki)",...,4139,3580,3,12,20
"00660  Länsi-Pakila (Helsinki)",...,...,...,4,2,2
"00670  Paloheinä (Helsinki)",.,...,.,.,1,.
"00680  Itä-Pakila (Helsinki)",.,.,...,.,.,2
"00690  Torpparinmäki (Helsinki)",.,...,.,.,3,.
"00700  Malmi (Helsinki)",4354,3396,2932,24,64,52
"00710  Pihlajamäki - Viikinmäki (Helsinki)",4179,2957,2680,23,63,79
"00720  Pukinmäki (Helsinki)",4201,3422,3155,16,53,52
"00730  Tapanila (Helsinki)",4617,3663,3695,10,32,17
"00740  Siltamäki (Helsinki)",3576,2626,2587,10,33,23
"00750  Tapulikaupunki (Helsinki)",...,2331,1955,5,16,16
"00760  Puistola - Heikinlaakso (Helsinki)",.,...,...,.,4,2
"00770  Jakomäki - Alppikylä (Helsinki)",...,2113,2193,24,66,66
"00780  Tapaninvainio (Helsinki)",...,3579,3186,4,20,13
"00790  Viikki (Helsinki)",...,5036,4654,4,34,49
"00800  Länsi-Herttoniemi (Helsinki)",5945,5648,5302,29,54,37
"00810  Herttoniemenranta (Helsinki)",5932,5856,5954,42,139,101
"00820  Roihuvuori (Helsinki)",5269,4700,4399,17,70,76
"00830  Tammisalo (Helsinki)",...,4213,...,2,7,4
"00840  Yliskylä (Helsinki)",5051,4268,4142,19,41,53
"00850  Jollas (Helsinki)",.,.,...,.,.,3
"00870  Gunillanmäki - Hevossalmi (Helsinki)",4090,3477,3121,6,61,46
"00880  Keski-Herttoniemi - Roihupelto (Helsinki)",.,.,.,.,.,.
"00890  Östersundom (Helsinki)",.,.,.,.,.,.
"00900  Puotinharju (Helsinki)",3867,3090,2788,12,26,24
"00910  Puotila (Helsinki)",4636,3768,3578,32,70,40
"00920  Myllypuro (Helsinki)",...,3390,2907,7,49,74
"00930  Itäkeskus - Marjaniemi (Helsinki)",...,2803,3234,5,17,13
"00940  Kontula - Vesala - Kivikko (Helsinki)",4429,2749,2399,22,116,120
"00950  Vartioharju (Helsinki)",4846,3772,3744,8,18,9
"00960  Pohjois-Vuosaari (Helsinki)",3650,2935,2729,17,81,33
"00970  Mellunmäki (Helsinki)",3528,2996,3004,42,117,133
"00980  Etelä-Vuosaari (Helsinki)",3924,3411,3241,19,73,91
"00990  Aurinkolahti (Helsinki)",5775,5252,4867,14,69,92
"01120  Västerskog (Sipoo)",.,...,...,.,1,2
"01150  Söderkulla (Sipoo)",4199,2705,3422,12,26,13
"01180  Kalkkiranta (Sipoo)",.,.,.,.,.,.
"01190  Box (Sipoo)",.,.,.,.,.,.
"01200  Hakunila (Vantaa)",2716,2124,1806,16,46,46
"01230  Vaarala (Vantaa)",...,3740,...,4,10,4
"01260  Itä-Hakkila (Vantaa)",.,.,.,.,.,.
"01280  Länsimäki (Vantaa)",2877,2310,1719,13,31,23
"01300  Tikkurila (Vantaa)",5723,4079,3582,90,151,140
"01340  Leinelä (Vantaa)",...,4547,3932,1,15,13
"01350  Hiekkaharju (Vantaa)",3972,3269,2572,20,59,44
"01360  Koivukylä-Havukoski (Vantaa)",2275,1848,1769,21,67,43
"01370  Jokiniemi (Vantaa)",...,4396,3322,6,19,23
"01380  Kuusikko-Hakkila (Vantaa)",.,.,.,.,.,.
"01390  Ruskeasanta-Ilola (Vantaa)",...,...,2814,2,5,11
"01400  Rekola (Vantaa)",4946,3608,3621,21,12,6
"01420  Päiväkumpu (Vantaa)",.,.,.,.,.,.
"01450  Korso (Vantaa)",3680,2749,2190,29,47,40
"01480  Mikkola (Vantaa)",2520,2003,2181,13,29,25
"01490  Nikinmäki (Vantaa)",...,.,...,1,.,4
"01510  Kirkonkylä-Veromäki (Vantaa)",4990,4347,3925,8,96,70
"01520  Tammisto (Vantaa)",...,4408,3964,5,33,45
"01530  Veromiehenkylä (Vantaa)",.,.,.,.,.,.
"01600  Myyrmäki (Vantaa)",3727,3102,2567,49,132,155
"01610  Kaivoksela (Vantaa)",3925,3159,3088,37,89,60
"01620  Martinlaakso (Vantaa)",3316,2845,2231,17,65,77
"01630  Hämeenkylä (Vantaa)",...,...,4259,1,3,7
