"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"01230  Vaarala (Vantaa)",257,264,264,275,287
"01260  Itä-Hakkila (Vantaa)",487,512,535,553,571
"01280  Länsimäki (Vantaa)",650,660,665,662,676
"01300  Tikkurila (Vantaa)",2112,2150,2223,2343,2437
"01340  Leinelä (Vantaa)",170,187,192,186,185
"01350  Hiekkaharju (Vantaa)",783,806,823,886,935
"01360  Koivukylä-Havukoski (Vantaa)",736,741,761,824,833
"01370  Jokiniemi (Vantaa)",649,642,643,659,665
"01380  Kuusikko-Hakkila (Vantaa)",196,203,207,211,214
"01390  Ruskeasanta-Ilola (Vantaa)",828,849,901,930,944
"01400  Rekola (Vantaa)",777,811,837,893,895
"01420  Päiväkumpu (Vantaa)",298,330,335,338,349
"01450  Korso (Vantaa)",1215,1253,1269,1322,1329
"01480  Mikkola (Vantaa)",360,365,377,390,401
"01490  Nikinmäki (Vantaa)",475,498,520,531,557
"01510  Kirkonkylä-Veromäki (Vantaa)",509,542,549,588,609
"01520  Tammisto (Vantaa)",1140,1163,1187,1208,1219
"01530  Veromiehenkylä (Vantaa)",29,23,28,35,38
"01600  Myyrmäki (Vantaa)",1405,1416,1434,1530,1573
"01610  Kaivoksela (Vantaa)",568,544,569,620,632
"01620  Martinlaakso (Vantaa)",1055,1052,1081,1118,1133
"01630  Hämeenkylä (Vantaa)",281,295,287,292,308
"01640  Hämevaara (Vantaa)",443,461,477,501,517
"01650  Vapaala (Vantaa)",515,530,552,581,580
"01660  Varisto (Vantaa)",218,224,235,226,239
"01670  Vantaanlaakso (Vantaa)",393,395,418,432,436
"01680  Askisto (Vantaa)",210,231,243,258,257
"01690  Ylästö (Vantaa)",858,891,929,984,1030
"01700  Kivistö (Vantaa)",1097,1152,1158,1260,1347
"01710  Pähkinärinne (Vantaa)",490,493,512,546,573
"01720  Petikko (Vantaa)",2,2,2,1,1
"01730  Vantaanpuisto (Vantaa)",234,243,253,275,279
"01740  Tuupakan teollisuusalue (Vantaa)",25,25,26,28,28
"01750  Keimola (Vantaa)",85,91,95,93,91
"01760  Seutula (Vantaa)",136,148,157,163,162
"01770  Martinlaakson teollisuusalue (Vantaa)",0,0,0,0,0
"01800  Klaukkala Keskus (Nurmijärvi)",792,846,895,968,1020
"01810  Luhtajoki (Nurmijärvi)",48,48,57,57,58
"01820  Haikala (Nurmijärvi)",318,314,326,324,332
"01830  Lepsämä (Nurmijärvi)",189,198,206,206,214
"01840  Klaukkala (Nurmijärvi)",442,446,454,461,471
"01860  Perttula (Nurmijärvi)",158,166,170,167,172
"01900  Nurmijärvi Keskus (Nurmijärvi)",720,726,738,757,765
"01940  Palojoki (Nurmijärvi)",62,62,63,64,67
"02100  Tapiola (Espoo)",1847,1928,1997,2258,2346
