"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"13900  Pekola (Hattula)",80,79,82,84,78
"14140  Jokimaa (Janakkala)",10,10,9,9,10
"14200  Turenki (Janakkala)",423,430,437,451,467
"14240  Väli-Janakkala (Janakkala)",42,46,46,50,52
"14300  Renko kk (Hämeenlinna)",104,112,106,108,110
"14430  Vuohiniemi (Hattula)",4,5,5,6,6
"14450  Rimmilä (Hämeenlinna)",9,10,7,8,7
"14500  Iittala (Hämeenlinna)",169,172,175,183,191
"14530  Leteensuo (Hattula)",7,7,8,9,9
"14610  Lepaa (Hattula)",22,22,20,22,21
"14620  Tyrväntö (Hattula)",4,4,4,2,3
"14680  Alvettula (Hämeenlinna)",32,32,32,34,33
"14690  Torvoila (Hämeenlinna)",10,10,10,9,10
"14700  Hauho kk (Hämeenlinna)",70,75,76,74,79
"14770  Eteläinen (Hämeenlinna)",42,44,45,50,48
"14810  Pohjoinen (Hämeenlinna)",13,15,15,14,15
"14820  Syrjäntaka (Hämeenlinna)",30,34,37,36,36
"14840  Sairiala (Hämeenlinna)",21,22,25,23,20
"14870  Juttila (Hämeenlinna)",8,10,10,10,9
"14930  Sappee (Hämeenlinna)",1,2,2,3,3
"14960  Puutikkala (Pälkäne)",3,4,4,5,5
"14980  Kuohijoki (Pälkäne)",0,0,2,2,2
"15100  Lahti Asemanseutu (Lahti)",655,659,664,697,728
"15110  Keski-Lahti (Lahti)",509,540,558,591,600
"15140  Kartano-Paavola (Lahti)",1302,1367,1343,1417,1471
"15150  Möysä (Lahti)",334,348,369,396,411
"15160  Kolava (Lahti)",414,432,468,484,501
"15170  Tenava-Tonttila (Lahti)",192,205,197,218,216
"15200  Kiveriö (Lahti)",151,153,162,168,168
"15210  Kivistönmäki (Lahti)",186,196,200,197,199
"15230  Kytölä (Lahti)",195,210,225,243,252
"15240  Mukkula (Lahti)",371,398,414,455,478
"15270  Kukkila (Hollola)",133,141,154,164,168
"15300  Myllypohja-Koiskala (Lahti)",271,274,276,279,296
"15320  Ahtiala (Lahti)",275,283,285,302,312
"15340  Kunnas-Hiekkanummi (Lahti)",181,187,197,207,222
"15460  Mäkelä (Lahti)",30,32,34,37,37
"15500  Liipola (Lahti)",182,189,191,190,199
"15520  Saksala (Lahti)",112,122,118,122,128
"15540  Villähde (Lahti)",283,299,298,316,326
"15550  Rakokivi (Lahti)",97,104,113,134,138
"15560  Nastola kk (Lahti)",172,196,194,187,195
"15580  Ruuhijärvi (Lahti)",8,11,12,11,13
"15610  Laune-Nikkilä (Lahti)",337,355,371,379,388
"15680  Renkomäki-Ämmälä (Lahti)",237,264,285,312,327
"15700  Hennala-Jokimaa (Lahti)",467,475,486,518,547
"15800  Kärpänen (Lahti)",205,204,202,210,203
"15810  Kasakkamäki (Lahti)",79,82,79,80,84
"15820  Okeroinen (Hollola)",44,45,45,47,53
"15830  Metsäkangas (Lahti)",175,177,182,185,190
"15840  Riihelä (Lahti)",120,125,129,126,131
"15850  Likolampi (Lahti)",45,48,48,81,88
"15860  Kartano (Hollola)",171,188,204,214,225
"15870  Salpakangas (Hollola)",301,303,301,300,313
"15880  Soramäki (Hollola)",320,324,328,343,358
"15900  Jalkaranta (Lahti)",383,394,399,410,415
"15950  Kiikkula (Lahti)",418,430,448,465,464
"15980  Messilä (Hollola)",0,0,0,0,0
"16100  Uusikylä (Lahti)",50,56,56,57,53
"16160  Okkeri (Lahti)",2,2,1,2,2
"16200  Artjärvi Keskus (Orimattila)",23,23,27,28,27
"16230  Artjärvi Kirkonkylä (Orimattila)",4,6,7,7,7
"16260  Hietana (Orimattila)",1,1,2,2,2
"16270  Villikkala (Orimattila)",9,9,10,11,11
"16280  Kuivanto (Orimattila)",25,24,25,26,26
"16300  Orimattila Keskus (Orimattila)",371,381,396,418,417
"16310  Virenoja (Orimattila)",40,40,40,43,45
"16320  Pennala (Orimattila)",61,64,68,74,76
"16330  Heinämaa (Orimattila)",11,11,12,13,12
"16350  Niinikoski (Orimattila)",10,9,8,8,8
"16390  Pakaa (Orimattila)",6,6,7,7,7
"16450  Mallusjoki (Orimattila)",20,22,24,24,25
"16500  Herrala (Hollola)",35,41,42,45,49
"16510  Luhtikylä (Orimattila)",20,22,23,24,26
"16540  Mertie (Kärkölä)",12,12,13,13,13
"16600  Järvelä (Kärkölä)",77,81,87,96,100
"16610  Kärkölä kk (Kärkölä)",26,25,29,30,32
"16630  Tennilä (Hollola)",15,15,15,15,15
"16670  Lappila (Kärkölä)",30,29,30,30,30
"16710  Hollola kk (Hollola)",66,68,70,70,70
"16730  Kutajärvi (Hollola)",57,60,66,70,73
"16790  Manskivi (Hollola)",4,4,4,4,4
"16800  Hämeenkoski (Hollola)",80,82,83,83,88
"16900  Lammi kk (Hämeenlinna)",213,205,208,211,215
"16960  Iso-Evo (Hämeenlinna)",5,5,5,6,6
"16970  Evo (Hämeenlinna)",3,3,3,3,3
"17110  Kalliola (Hollola)",86,88,85,89,93
"17120  Paimela (Hollola)",31,30,30,32,28
"17130  Vesivehmaa (Asikkala)",37,40,44,40,40
"17150  Urajärvi (Asikkala)",14,16,17,14,14
"17200  Vääksy Keskus (Asikkala)",330,345,348,361,374
"17220  Pietilä (Asikkala)",4,4,5,6,8
"17240  Kalkkinen (Asikkala)",6,8,8,11,13
"17320  Asikkala (Asikkala)",18,19,18,18,20
"17410  Viitaila (Asikkala)",10,9,6,5,6
"17430  Kurhila (Asikkala)",15,14,17,18,15
"17440  Vähimaa (Asikkala)",4,3,3,3,4
"17450  Iso-Äiniö-Vähimaa (Asikkala)",10,12,13,13,13
"17470  Maakeski (Padasjoki)",10,9,9,10,10
"17500  Padasjoki Keskus (Padasjoki)",47,51,57,58,57
"17510  Nyystölä (Padasjoki)",4,6,7,7,8
"17530  Arrakoski (Padasjoki)",6,5,8,8,6
"17610  Auttoinen (Padasjoki)",10,11,12,12,12
"17630  Vesijako (Padasjoki)",4,4,4,5,5
"17710  Torittu (Padasjoki)",4,4,4,4,4
"17740  Kasiniemi-Torittu (Padasjoki)",0,4,4,4,5
"17780  Harmoinen (Kuhmoinen)",0,0,0,2,0
"17800  Kuhmoinen Keskus (Kuhmoinen)",77,76,80,84,89
"17840  Harjunsalmi (Kuhmoinen)",2,2,3,4,4
"17850  Pihlajakoski (Kuhmoinen)",4,4,4,4,4
"17870  Ruolahti (Kuhmoinen)",3,4,2,2,2
"17930  Päijälä (Kuhmoinen)",2,3,3,3,4
"17950  Kylämä (Kuhmoinen)",...,...,...,...,...
"17970  Puukkoinen (Kuhmoinen)",2,4,5,6,6
"18100  Heinola Keskus (Heinola)",453,439,426,452,471
"18120  Reumasairaala-alue (Heinola)",27,28,32,31,37
"18130  Tommola-Sahanniemi (Heinola)",67,72,73,75,76
"18150  Jyränkö (Heinola)",72,76,76,77,79
"18200  Kaakonlampi-Pyhätön (Heinola)",46,47,44,47,55
"18300  Heinola kk (Heinola)",84,86,91,90,98
"18600  Myllyoja (Heinola)",29,29,29,30,35
"19110  Vierumäki taajama (Heinola)",20,18,19,19,16
"19120  Vierumäki urheiluopisto (Heinola)",13,15,14,18,15
"19160  Huutotöyry (Iitti)",31,32,33,33,36
"19210  Lusi (Heinola)",23,24,25,26,27
"19230  Onkiniemi (Sysmä)",3,3,4,3,3
"19250  Syrjäkoski (Heinola)",0,0,0,1,1
"19260  Paaso-Syrjäkoski (Heinola)",3,3,3,3,3
"19310  Karilanmaa (Sysmä)",1,0,0,0,3
"19320  Nikkaroinen (Sysmä)",2,2,2,2,2
"19370  Nuoramoinen (Sysmä)",12,12,14,13,11
"19410  Kuortti (Mäntyharju)",8,8,7,8,9
"19420  Mansikkamäki (Mäntyharju)",1,1,1,1,1
"19430  Pertunmaa Keskus (Mäntyharju)",22,20,22,23,25
"19460  Ruorasmäki (Mäntyharju)",3,3,4,4,4
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",4,4,3,4,3
"19480  Hartosenpää (Mäntyharju)",3,3,3,3,2
"19510  Lepsala (Hartola)",0,0,0,0,0
"19540  Koitti-Lepsala (Hartola)",10,11,12,12,13
"19600  Hartola Keskus (Hartola)",67,68,71,67,68
"19610  Murakka (Hartola)",2,2,2,2,2
"19620  Pohela (Hartola)",4,4,4,6,4
"19630  Kalhonkylä (Hartola)",3,3,4,4,4
"19650  Joutsa Keskus (Joutsa)",110,124,129,127,127
"19670  Mieskonmäki (Joutsa)",2,2,2,2,2
"19700  Sysmä Keskus (Sysmä)",106,110,116,121,135
"19730  Särkilampi (Sysmä)",...,...,...,...,...
"19740  Liikola (Sysmä)",6,7,8,9,9
"19770  Valittula (Sysmä)",3,2,4,4,4
"19850  Putkijärvi-Siltasuo (Hartola)",4,4,4,5,5
"19910  Tammijärvi (Luhanka)",23,23,25,28,29
"19920  Pappinen (Joutsa)",5,7,5,6,5
"19950  Luhanka (Luhanka)",22,23,26,26,25
"20100  Turku Keskus (Turku)",4749,4910,5096,5261,5372
"20200  Iso-Heikkilä (Turku)",232,250,308,386,421
"20210  Pahaniemi (Turku)",146,149,147,159,167
"20240  Pansio-Perno (Turku)",160,170,166,178,181
"20250  Pitkämäki-Muhkuri (Turku)",124,123,125,129,162
"20300  Pohjola-Kastu (Turku)",1062,1148,1180,1225,1273
"20320  Kuninkoja-Mälikkälä (Turku)",1545,1625,1645,1692,1754
"20360  Runosmäki-Kärsämäki (Turku)",610,619,659,682,714
"20380  Räntämäki-Saramäki (Turku)",372,368,374,411,431
"20400  Moisio (Turku)",311,322,345,374,401
"20460  Jäkärlä (Turku)",168,176,185,191,191
"20500  Vesilinna (Turku)",1256,1241,1241,1303,1332
"20520  Kupittaa (Turku)",591,620,633,660,699
"20540  Nummi-Ylioppilaskylä (Turku)",2919,2967,2997,3216,3389
"20610  Varissuo (Turku)",831,855,839,901,916
"20660  Littoinen (Kaarina)",1369,1431,1477,1511,1559
"20700  Vartiovuori-Samppalinna (Turku)",1056,1088,1155,1159,1196
"20720  Vasaramäki (Turku)",1027,1064,1080,1118,1122
"20730  Skanssi (Turku)",65,55,75,79,108
"20740  Ilpoinen-Harittu (Turku)",1082,1093,1112,1167,1217
"20750  Huhkola-Lauste-Vaala (Turku)",329,333,339,359,358
"20760  Piispanristi (Kaarina)",611,663,743,806,843
"20780  Kaarina Keskus (Kaarina)",1384,1446,1545,1626,1711
"20800  Ammattikorkeakoulu (Turku)",0,0,0,0,0
"20810  Martti-Korppolaismäki (Turku)",2537,2625,2673,2795,2806
"20880  Uittamo (Turku)",641,658,673,697,723
"20900  Moikoinen-Pikisaari (Turku)",1924,2028,2117,2177,2272
"20960  Kakskerta (Turku)",213,228,231,247,252
"21100  Naantali Keskus (Naantali)",727,758,819,853,882
"21110  Taimo-Nuhjala-Lietsala (Naantali)",757,801,848,891,907
"21120  Kaanaa (Raisio)",178,187,197,203,203
"21130  Poikko (Naantali)",50,51,54,54,58
"21140  Rymättylä Keskus (Naantali)",85,94,89,93,95
"21150  Röölä (Naantali)",23,23,29,28,32
"21160  Merimasku (Naantali)",167,173,185,191,197
"21180  Livonsaari (Naantali)",15,16,22,21,23
"21195  Velkua (Naantali)",22,24,24,24,26
"21200  Raisio Keskus (Raisio)",670,707,769,821,842
"21210  Hakinmäki (Raisio)",214,221,228,239,241
"21220  Somersoja (Raisio)",73,75,74,73,70
"21230  Lemu (Masku)",122,125,132,136,134
"21240  Askainen (Masku)",42,43,43,46,46
"21250  Masku (Masku)",595,609,646,684,715
"21260  Ihala (Raisio)",378,379,384,398,404
"21270  Nousiainen (Nousiainen)",248,257,260,270,274
"21280  Kuloinen (Raisio)",270,282,280,313,329
"21290  Rusko (Rusko)",391,400,424,445,463
"21310  Vahto (Rusko)",103,108,108,117,122
"21330  Paattinen (Turku)",132,136,140,140,145
"21340  Tortinmäki (Turku)",18,20,19,19,20
"21350  Ilmarinen (Lieto)",253,261,269,279,289
"21360  Lieto Asemanseutu (Lieto)",110,113,122,127,131
"21370  Aura kk. (Aura)",40,41,38,44,45
"21380  Aura Keskus (Aura)",156,149,159,164,174
"21410  Vanhalinna (Lieto)",428,460,506,529,553
"21420  Lieto Keskus (Lieto)",716,765,798,832,849
"21430  Yliskulma (Lieto)",46,48,48,49,51
"21450  Tarvasjoki Keskus (Lieto)",75,78,76,84,86
"21480  Prunkila (Marttila)",14,17,18,19,20
"21490  Marttila (Marttila)",56,57,60,61,59
"21500  Piikkiö (Kaarina)",755,790,821,845,854
"21510  Hevonpää (Paimio)",52,59,61,62,63
"21530  Paimio Keskus (Paimio)",628,640,676,708,726
"21540  Preitilä (Paimio)",111,120,127,133,143
"21555  Taatila (Paimio)",26,29,27,31,30
"21560  Ollila (Marttila)",26,25,23,23,22
"21570  Sauvo Keskus (Sauvo)",185,193,193,203,205
"21590  Karuna (Sauvo)",27,24,22,24,25
"21600  Parainen Keskus (Pargas)",1067,1079,1114,1157,1190
"21610  Kirjala (Pargas)",115,109,113,117,126
"21620  Kuusisto (Kaarina)",364,384,398,419,436
"21630  Lielahti (Pargas)",65,66,66,69,71
"21650  Lillandet (Pargas)",35,35,35,37,42
"21660  Nauvo Keskus (Pargas)",74,79,75,80,79
"21670  Mattnäs-Nötö (Pargas)",17,16,16,16,16
"21680  Nötö (Pargas)",...,...,...,...,...
"21710  Korppoo Keskus-Utö (Pargas)",54,57,52,50,57
"21720  Korpoström (Pargas)",...,...,...,...,...
"21740  Utö (Pargas)",8,8,10,8,10
"21750  Norrskata (Pargas)",11,11,10,10,10
"21760  Houtskär Keskus (Pargas)",21,23,24,28,30
"21770  Mossala (Pargas)",6,6,6,6,6
"21800  Kyrö (Pöytyä)",100,95,91,95,95
"21820  Kumila (Pöytyä)",14,16,15,19,23
"21840  Karinainen (Pöytyä)",9,9,9,10,12
"21860  Auvainen (Pöytyä)",19,22,21,21,18
"21870  Riihikoski (Pöytyä)",90,89,84,86,88
"21880  Pöytyä (Pöytyä)",14,16,17,19,18
"21890  Haveri (Pöytyä)",14,16,16,15,15
"21900  Yläne Keskus (Pöytyä)",64,63,65,71,66
"21930  Uusikartano (Pöytyä)",10,10,10,10,10
"22100  Maarianhamina (Mariehamn)",1087,1109,1102,1209,1217
"22120  Möckelö (Jomala)",82,91,95,117,124
"22130  Gottby (Jomala)",53,58,63,64,63
"22140  Önningby (Jomala)",104,115,115,127,135
"22150  Jomala Centrum (Jomala)",91,98,93,107,111
"22160  Järsö (Lemland)",41,43,43,47,49
"22220  Emkarby (Finström)",16,15,15,16,16
"22240  Hammarland (Hammarland)",55,57,63,78,81
"22270  Storby (Eckerö)",36,38,40,45,46
"22310  Pålsböle (Finström)",21,23,22,25,27
"22320  Ödkarby (Saltvik)",23,22,22,28,29
"22330  Tjudö (Finström)",12,12,15,20,19
"22340  Geta (Geta)",16,15,14,20,19
"22410  Godby (Finström)",58,61,58,68,74
"22430  Saltvik (Saltvik)",23,28,28,30,29
"22520  Tosarby (Sund)",20,23,20,27,27
"22530  Sund (Sund)",24,23,26,30,29
"22550  Vårdö (Vårdö)",20,21,20,29,29
"22610  Lemland (Lemland)",66,70,76,81,86
"22630  Lumparland (Lumparland)",21,22,24,25,26
"22710  Ålands Degerby (Föglö)",25,25,23,25,28
"22720  Sottunga (Sottunga)",5,4,4,7,6
"22730  Kökar (Kökar)",8,7,7,10,11
"22810  Seglinge (Kumlinge)",...,3,3,4,4
"22820  Kumlinge (Kumlinge)",11,10,11,12,9
"22830  Enklinge (Kumlinge)",3,3,3,3,2
"22840  Lappo (Brändö)",6,4,4,4,5
"22910  Torsholma (Brändö)",5,6,6,5,6
"22920  Brändö-Åland (Brändö)",18,18,22,21,19
"22930  Fiskö (Brändö)",...,...,...,...,...
"22940  Åva (Brändö)",8,9,8,9,9
"22950  Jurmo (Brändö)",3,3,4,3,4
"23100  Mynämäki Keskus (Mynämäki)",301,305,315,339,348
"23120  Mietoinen Keskus (Mynämäki)",36,41,43,43,41
"23140  Hietamäki (Mynämäki)",28,24,25,25,26
"23200  Vinkkilä (Vehmaa)",42,42,45,46,46
"23210  Vehmaa (Vehmaa)",22,22,20,22,23
"23260  Rautila (Vehmaa)",7,8,7,9,8
"23310  Taivassalo (Taivassalo)",78,83,86,86,88
"23360  Kustavi (Kustavi)",63,67,66,74,85
"23390  Iniö (Pargas)",12,14,11,12,10
"23450  Lokalahti (Uusikaupunki)",27,25,27,28,32
"23500  Uusikaupunki Keskus (Uusikaupunki)",501,524,519,539,552
"23600  Kalanti Keskus (Uusikaupunki)",51,50,49,55,59
"23660  Kalanti Asemanseutu (Uusikaupunki)",12,13,16,15,16
"23800  Laitila Keskus (Laitila)",300,305,311,324,326
"23930  Pyhämaa (Uusikaupunki)",22,25,26,27,31
"23950  Pyhäranta (Pyhäranta)",9,11,10,9,11
"23960  Santtio (Pyhäranta)",11,12,14,14,14
"24100  Salo Keskus (Salo)",452,472,488,512,520
"24130  Ylhäisi (Salo)",244,255,269,287,289
"24240  Rappula (Salo)",234,259,259,266,271
"24260  Ollikkala (Salo)",150,153,161,176,177
"24280  Tupuri-Hähkänä (Salo)",332,351,361,375,388
"24800  Halikko Keskus (Salo)",322,315,323,323,331
"24910  Halikko Asemanseutu (Salo)",83,88,88,94,90
"25110  Kruusila (Salo)",15,13,14,13,15
"25130  Muurla (Salo)",86,90,98,103,105
"25160  Tuohittu (Salo)",11,12,12,11,12
"25170  Kotalato (Salo)",7,7,6,5,4
"25180  Romsila (Salo)",16,16,17,18,19
"25190  Inkere (Salo)",26,28,31,31,32
"25210  Vartsala (Salo)",33,31,35,34,34
"25230  Angelniemi (Salo)",16,18,24,24,27
"25240  Hajala (Salo)",43,43,47,48,47
"25250  Märynummi (Salo)",50,58,58,62,65
"25260  Vaskio (Salo)",37,37,36,41,44
"25320  Raatala (Salo)",15,17,19,22,22
"25330  Kuusjoki Keskus (Salo)",21,21,20,23,26
"25340  Kanunki (Salo)",15,16,16,16,16
"25360  Pertteli Keskus (Salo)",48,50,52,53,54
"25370  Hiisi (Salo)",25,25,26,27,26
"25380  Rekijoki (Salo)",15,18,16,20,20
"25390  Kiikala Keskus (Salo)",33,31,33,32,35
"25410  Suomusjärvi Keskus (Salo)",46,46,48,51,57
"25420  Lahnajärvi (Salo)",9,8,9,7,8
"25430  Kettula (Salo)",3,3,3,2,3
"25460  Toija (Salo)",49,50,49,51,52
"25470  Kisko kk (Salo)",10,15,14,16,15
"25500  Perniö Keskus (Salo)",130,135,136,142,146
"25520  Perniö Asemanseutu (Salo)",34,34,36,35,33
"25540  Knaapila (Salo)",13,12,12,13,15
"25550  Aijala (Salo)",5,5,4,4,6
"25560  Koski Asemanseutu (Salo)",14,14,15,15,14
"25570  Teijo-Mathildedal (Salo)",28,33,31,42,42
"25610  Ylönkylä (Salo)",24,24,23,24,24
"25630  Finby (Salo)",18,17,17,15,16
"25640  Förby (Salo)",12,11,13,16,15
"25650  Strömma (Kimitoön)",10,10,12,12,12
"25660  Mathildedal (Salo)",17,15,18,19,17
"25700  Kemiö Keskus (Kimitoön)",129,129,134,141,144
"25710  Vreta-Vestlax (Kimitoön)",18,20,19,22,23
"25730  Mjösund (Kimitoön)",5,6,6,7,7
"25760  Kiila (Kimitoön)",5,5,5,5,7
"25810  Mark (Kimitoön)",3,5,4,4,4
"25820  Vestlax (Kimitoön)",12,12,14,14,14
"25830  Västanfjärd Keskus (Kimitoön)",26,27,29,35,38
"25840  Nivelax (Kimitoön)",15,14,14,15,16
"25860  Björkboda (Kimitoön)",17,18,17,19,20
"25870  Dragsfjärd (Kimitoön)",44,49,48,47,48
"25900  Taalintehdas (Kimitoön)",66,72,74,74,72
"25910  Vänoxa (Kimitoön)",...,...,...,...,...
"25930  Kasnäs (Kimitoön)",3,4,4,3,3
"25940  Hiittinen (Kimitoön)",1,1,1,1,1
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",2,4,4,6,7
"25960  Högsåra (Kimitoön)",6,6,5,6,5
"26100  Rauma Keskus (Rauma)",1212,1242,1258,1307,1343
"26200  Merirauma-Kappelinluhta (Rauma)",496,518,528,557,550
"26410  Kaaro (Rauma)",90,98,101,102,108
"26510  Uotila (Rauma)",124,128,131,136,141
"26560  Kolla (Rauma)",20,24,24,24,26
"26660  Paroalho (Rauma)",201,204,197,205,212
"26720  Monnanummi (Rauma)",23,27,27,28,31
"26740  Vasarainen (Rauma)",11,11,13,15,16
"26820  Sampaanala (Rauma)",31,31,37,39,38
"26840  Kortela (Rauma)",32,35,38,44,50
"26910  Unaja (Rauma)",24,24,23,24,23
"26930  Vermuntila (Rauma)",30,28,28,31,31
"26950  Voiluoto (Rauma)",17,18,15,15,18
"27100  Eurajoki Keskus (Eurajoki)",202,208,214,221,221
"27110  Irjanne (Eurajoki)",17,16,15,17,18
"27130  Eurajoki asemanseutu (Eurajoki)",14,13,14,14,14
"27150  Lapijoki (Eurajoki)",48,48,54,53,52
"27160  Olkiluoto (Eurajoki)",0,0,0,0,0
"27170  Kuivalahti (Eurajoki)",16,17,15,16,17
"27220  Ala-Kieri (Rauma)",19,20,23,26,28
"27230  Lappi (Rauma)",74,76,79,79,79
"27250  Kodiksami (Rauma)",5,3,3,3,4
"27260  Kuolimaa (Rauma)",11,11,11,12,13
"27310  Kodisjoki (Rauma)",15,16,17,18,20
"27320  Ihode (Pyhäranta)",21,24,25,26,27
"27340  Reila (Pyhäranta)",19,23,21,22,22
"27400  Kiukainen Keskus (Eura)",42,48,48,46,49
"27420  Panelia Asemanseutu (Eura)",12,13,12,14,15
"27430  Panelia (Eura)",26,25,25,29,33
"27450  Harola (Eura)",8,9,11,10,10
"27500  Kauttua (Eura)",134,136,140,145,146
"27510  Eura Keskus (Eura)",160,167,166,173,183
"27600  Hinnerjoki (Eura)",22,26,26,27,27
"27640  Honkilahti kk (Eura)",6,6,7,7,8
"27650  Honkilahti (Eura)",6,8,7,8,8
"27670  Mannila (Eura)",6,7,6,8,8
"27710  Köyliö Keskus (Säkylä)",26,26,25,30,33
"27730  Tuiskula (Säkylä)",7,5,5,6,5
"27740  Voitoinen (Säkylä)",2,3,3,4,4
"27750  Yttilä (Säkylä)",10,9,11,10,10
"27800  Säkylä Keskus (Säkylä)",169,172,174,175,187
"27820  Iso-Vimma (Säkylä)",23,23,22,18,18
"27840  Kakkuri (Säkylä)",18,18,19,18,20
"27860  Vuori (Säkylä)",6,6,6,6,6
"27910  Huovinrinne (Säkylä)",6,8,9,9,13
"27920  Otajoki (Säkylä)",6,7,9,11,9
"28100  Pori Keskus (Pori)",1051,1080,1122,1172,1211
"28120  Käppärä-Isomäki (Pori)",275,282,280,293,295
"28130  Impola (Pori)",382,384,393,394,414
"28190  Pormestarinluoto (Pori)",130,128,122,133,136
"28200  Toejoki (Pori)",296,309,320,333,328
"28220  Ruosniemi (Pori)",291,318,344,363,380
"28240  Isojoenranta (Pori)",36,42,40,41,38
"28260  Harjunpää (Ulvila)",50,54,57,58,61
"28300  Kalaholma-Väinölä (Pori)",247,253,249,255,259
"28330  Koivistonluoto (Pori)",116,112,115,121,124
"28360  Vanhakoivisto (Pori)",245,237,242,249,259
"28370  Sampola (Pori)",78,67,66,72,75
"28400  Ulvila Keskus (Ulvila)",322,337,343,343,352
"28430  Kartano-Harmaalinna (Pori)",91,89,91,94,102
"28450  Vanha-Ulvila (Ulvila)",241,242,245,251,256
"28500  Keskussairaala-alue-Tiilimäki (Pori)",38,38,36,38,39
"28540  Pinomäki (Pori)",50,53,58,57,57
"28560  Lattomeri (Pori)",25,25,24,24,23
"28580  Niittymaa (Pori)",24,25,25,24,26
"28600  Vähärauma (Pori)",470,487,502,525,559
"28610  Musa-Tiiliruukki (Pori)",290,300,301,307,320
"28660  Pietniemi-Leppäkorpi (Pori)",222,222,238,239,242
"28760  Kyläsaari (Pori)",97,100,101,105,104
"28800  Pihlava (Pori)",122,116,112,114,125
"28840  Yyteri-Kaanaa (Pori)",40,46,48,49,46
"28880  Mäntyluoto (Pori)",20,19,20,20,22
"28900  Tahkoluoto-Reposaari (Pori)",51,57,58,59,56
"29100  Luvia Keskus (Eurajoki)",210,211,215,216,224
"29180  Peränkylä (Eurajoki)",6,6,8,9,9
"29200  Harjavalta Keskus (Harjavalta)",260,261,267,278,289
"29250  Nakkila Keskus (Nakkila)",197,203,209,214,220
"29270  Hormisto (Nakkila)",18,18,19,18,20
"29280  Järvimaa (Nakkila)",11,12,11,11,9
"29310  Kaasmarkku (Ulvila)",33,35,37,36,35
"29320  Leineperi (Ulvila)",10,11,10,14,14
"29340  Kullaa Keskus (Ulvila)",33,33,32,34,33
"29350  Palus (Ulvila)",7,7,8,6,7
"29570  Söörmarkku (Pori)",55,57,58,57,64
"29600  Noormarkku Keskus (Pori)",237,237,236,243,255
"29630  Pomarkku Keskus (Pomarkku)",71,71,68,70,69
"29640  Honkakoski (Pomarkku)",4,4,3,5,4
"29680  Kairila (Pori)",9,10,10,9,10
"29700  Ahlainen (Pori)",20,23,27,24,26
"29720  Lamppi (Pori)",3,5,3,2,3
"29740  Etelämaa (Merikarvia)",2,2,2,2,2
"29750  Pohjansaha (Merikarvia)",5,5,4,4,4
"29760  Köörtilä (Merikarvia)",5,4,5,6,6
"29790  Tuorila (Merikarvia)",7,7,7,9,9
"29810  Siikainen Keskus (Siikainen)",20,21,23,21,22
"29830  Sammi (Siikainen)",5,5,5,5,5
"29860  Otamo (Siikainen)",5,4,4,5,6
"29880  Leväsjoki-Saarineva (Siikainen)",3,4,4,4,4
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",71,79,86,88,89
"29940  Kuvaskangas (Merikarvia)",11,11,11,12,13
"30100  Forssa Keskus (Forssa)",502,499,519,547,556
"30300  Viksberg (Forssa)",36,36,41,47,49
"30420  Tölö (Forssa)",175,170,170,178,185
"31110  Matku (Forssa)",12,13,15,14,16
"31130  Koijärvi (Forssa)",9,10,9,9,9
"31140  Menonen (Urjala)",6,8,8,9,8
"31160  Nuutajärvi (Urjala)",11,13,13,13,12
"31170  Savijoki (Forssa)",9,8,8,8,9
"31230  Susikas (Tammela)",4,4,4,4,5
"31250  Teuro (Tammela)",12,11,13,13,13
"31300  Tammela Keskus (Tammela)",168,178,175,182,186
"31310  Mustiala (Tammela)",3,3,4,4,4
"31340  Porras (Tammela)",23,25,26,26,26
"31350  Vistinkoski (Tammela)",7,7,7,8,8
"31370  Eerikkilän Urheiluopisto (Tammela)",0,0,0,0,0
"31380  Letku-Torro (Tammela)",12,13,12,12,12
"31400  Somero Keskus (Somero)",199,214,213,219,225
"31410  Ylöpirtti (Somero)",25,24,24,24,25
"31450  Häntälä (Somero)",14,14,14,13,14
"31460  Hirsjärvi (Somero)",10,13,14,13,11
"31470  Somerniemi (Somero)",55,50,48,53,55
"31490  Terttilä (Somero)",9,8,9,13,12
"31500  Koski Tl (Koski Tl)",94,95,99,99,99
"31520  Pitkäjärvi (Somero)",14,15,18,18,23
"31530  Pyöli (Somero)",11,10,10,13,12
"31600  Jokioinen Keskus (Jokioinen)",228,233,231,236,243
"31610  Vaulammi (Jokioinen)",23,24,30,33,32
"31620  Latovainio (Jokioinen)",14,14,12,12,12
"31630  Minkiö (Jokioinen)",15,18,19,20,22
"31640  Humppila Keskus (Humppila)",69,69,73,80,80
"31650  Venäjänkangas (Humppila)",18,18,19,19,22
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",45,45,46,49,48
"31720  Urjalankylä-Kehro (Urjala)",16,16,19,19,19
"31730  Honkola (Urjala)",1,1,1,1,1
"31750  Kehro (Urjala)",2,2,2,3,3
"31760  Urjala Keskus (Urjala)",64,65,66,67,71
