"12f6 -- 8. Main type of activity, 2010-2024"

"Postal code area","2020 Unemployed (PT)","2021 Unemployed (PT)","2022 Unemployed (PT)","2023 Unemployed (PT)","2024 Unemployed (PT)"
"15140  Kartano-Paavola (Lahti)",1272,1015,950,1050,1088
"15150  Möysä (Lahti)",377,299,292,310,358
"15160  Kolava (Lahti)",107,75,81,101,107
"15170  Tenava-Tonttila (Lahti)",417,349,315,343,367
"15200  Kiveriö (Lahti)",369,328,327,347,373
"15210  Kivistönmäki (Lahti)",461,383,369,376,455
"15230  Kytölä (Lahti)",152,122,112,135,129
"15240  Mukkula (Lahti)",687,561,528,544,592
"15270  Kukkila (Hollola)",79,59,53,52,61
"15300  Myllypohja-Koiskala (Lahti)",379,287,267,292,296
"15320  Ahtiala (Lahti)",182,149,140,149,167
"15340  Kunnas-Hiekkanummi (Lahti)",156,124,99,106,107
"15460  Mäkelä (Lahti)",40,22,19,29,27
"15500  Liipola (Lahti)",646,591,575,605,689
"15520  Saksala (Lahti)",195,133,140,156,171
"15540  Villähde (Lahti)",235,167,155,177,175
"15550  Rakokivi (Lahti)",252,211,215,225,262
"15560  Nastola kk (Lahti)",321,272,253,273,332
"15580  Ruuhijärvi (Lahti)",13,13,9,12,12
"15610  Laune-Nikkilä (Lahti)",319,253,224,270,286
"15680  Renkomäki-Ämmälä (Lahti)",155,122,98,130,141
"15700  Hennala-Jokimaa (Lahti)",624,446,421,468,536
"15800  Kärpänen (Lahti)",358,290,291,309,323
"15810  Kasakkamäki (Lahti)",114,98,76,75,86
"15820  Okeroinen (Hollola)",60,35,25,37,33
"15830  Metsäkangas (Lahti)",322,280,277,276,300
"15840  Riihelä (Lahti)",148,121,112,125,123
"15850  Likolampi (Lahti)",64,54,48,43,59
"15860  Kartano (Hollola)",228,167,154,165,172
"15870  Salpakangas (Hollola)",245,171,146,157,169
"15880  Soramäki (Hollola)",286,187,152,175,200
"15900  Jalkaranta (Lahti)",63,46,44,45,30
"15950  Kiikkula (Lahti)",225,184,184,187,191
"15980  Messilä (Hollola)",0,0,0,0,0
"16100  Uusikylä (Lahti)",91,79,70,81,95
"16160  Okkeri (Lahti)",6,4,7,4,7
"16200  Artjärvi Keskus (Orimattila)",42,35,40,44,48
"16230  Artjärvi Kirkonkylä (Orimattila)",16,18,15,19,27
"16260  Hietana (Orimattila)",9,7,3,6,10
"16270  Villikkala (Orimattila)",8,6,7,6,10
"16280  Kuivanto (Orimattila)",39,35,31,28,30
"16300  Orimattila Keskus (Orimattila)",660,545,492,573,598
"16310  Virenoja (Orimattila)",29,27,27,31,36
"16320  Pennala (Orimattila)",55,36,32,43,52
"16330  Heinämaa (Orimattila)",19,13,13,19,17
"16350  Niinikoski (Orimattila)",12,13,17,18,16
"16390  Pakaa (Orimattila)",23,17,14,18,16
"16450  Mallusjoki (Orimattila)",21,14,19,27,27
"16500  Herrala (Hollola)",41,29,31,34,34
"16510  Luhtikylä (Orimattila)",23,16,20,22,24
"16540  Mertie (Kärkölä)",14,14,6,9,9
"16600  Järvelä (Kärkölä)",244,140,146,143,188
"16610  Kärkölä kk (Kärkölä)",29,20,19,18,29
"16630  Tennilä (Hollola)",9,9,11,10,10
"16670  Lappila (Kärkölä)",34,26,20,30,29
"16710  Hollola kk (Hollola)",41,28,20,28,34
"16730  Kutajärvi (Hollola)",49,39,34,37,38
"16790  Manskivi (Hollola)",10,5,5,8,6
"16800  Hämeenkoski (Hollola)",118,107,93,85,86
"16900  Lammi kk (Hämeenlinna)",256,217,181,213,244
"16960  Iso-Evo (Hämeenlinna)",2,5,4,7,6
"16970  Evo (Hämeenlinna)",4,3,2,6,3
"17110  Kalliola (Hollola)",64,39,26,40,45
"17120  Paimela (Hollola)",31,20,21,28,25
"17130  Vesivehmaa (Asikkala)",39,32,22,20,22
"17150  Urajärvi (Asikkala)",16,16,17,13,12
"17200  Vääksy Keskus (Asikkala)",240,192,164,247,236
"17220  Pietilä (Asikkala)",9,8,7,10,11
"17240  Kalkkinen (Asikkala)",24,22,17,14,21
"17320  Asikkala (Asikkala)",21,17,13,25,17
"17410  Viitaila (Asikkala)",16,11,11,11,12
"17430  Kurhila (Asikkala)",11,10,8,13,14
"17440  Vähimaa (Asikkala)",5,4,4,2,2
"17450  Iso-Äiniö-Vähimaa (Asikkala)",8,8,6,11,14
"17470  Maakeski (Padasjoki)",10,9,14,16,10
"17500  Padasjoki Keskus (Padasjoki)",79,71,65,73,83
"17510  Nyystölä (Padasjoki)",9,12,6,15,15
"17530  Arrakoski (Padasjoki)",13,11,8,10,8
"17610  Auttoinen (Padasjoki)",15,11,9,14,15
"17630  Vesijako (Padasjoki)",7,7,7,5,7
"17710  Torittu (Padasjoki)",6,3,5,3,4
"17740  Kasiniemi-Torittu (Padasjoki)",6,2,5,3,5
"17780  Harmoinen (Kuhmoinen)",2,1,3,2,3
"17800  Kuhmoinen Keskus (Kuhmoinen)",78,66,57,69,57
"17840  Harjunsalmi (Kuhmoinen)",7,5,1,2,2
"17850  Pihlajakoski (Kuhmoinen)",3,4,4,4,3
"17870  Ruolahti (Kuhmoinen)",4,6,3,2,2
"17930  Päijälä (Kuhmoinen)",3,3,3,1,3
"17950  Kylämä (Kuhmoinen)",5,...,3,...,...
"17970  Puukkoinen (Kuhmoinen)",0,3,0,0,1
"18100  Heinola Keskus (Heinola)",434,355,332,314,335
"18120  Reumasairaala-alue (Heinola)",50,38,35,42,44
"18130  Tommola-Sahanniemi (Heinola)",196,158,169,171,180
"18150  Jyränkö (Heinola)",162,130,162,140,177
"18200  Kaakonlampi-Pyhätön (Heinola)",183,144,153,159,203
"18300  Heinola kk (Heinola)",185,149,136,172,180
"18600  Myllyoja (Heinola)",60,48,32,33,34
"19110  Vierumäki taajama (Heinola)",48,33,30,46,46
"19120  Vierumäki urheiluopisto (Heinola)",7,4,3,5,5
"19160  Huutotöyry (Iitti)",31,30,25,27,21
"19210  Lusi (Heinola)",26,17,22,19,22
"19230  Onkiniemi (Sysmä)",7,10,9,10,12
"19250  Syrjäkoski (Heinola)",3,3,3,2,2
"19260  Paaso-Syrjäkoski (Heinola)",7,5,6,8,6
"19310  Karilanmaa (Sysmä)",4,5,6,7,7
"19320  Nikkaroinen (Sysmä)",7,4,2,1,1
"19370  Nuoramoinen (Sysmä)",17,15,17,15,20
"19410  Kuortti (Mäntyharju)",25,19,19,24,36
"19420  Mansikkamäki (Mäntyharju)",13,6,9,10,8
"19430  Pertunmaa Keskus (Mäntyharju)",19,16,20,15,25
"19460  Ruorasmäki (Mäntyharju)",5,3,7,9,6
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",5,5,5,4,5
"19480  Hartosenpää (Mäntyharju)",5,6,3,6,3
"19510  Lepsala (Hartola)",1,0,0,2,4
"19540  Koitti-Lepsala (Hartola)",18,13,16,15,18
"19600  Hartola Keskus (Hartola)",100,85,114,89,83
"19610  Murakka (Hartola)",3,1,5,7,5
"19620  Pohela (Hartola)",4,5,9,10,6
"19630  Kalhonkylä (Hartola)",1,0,3,1,2
"19650  Joutsa Keskus (Joutsa)",152,107,144,136,148
"19670  Mieskonmäki (Joutsa)",8,10,9,5,9
"19700  Sysmä Keskus (Sysmä)",95,94,89,102,116
"19730  Särkilampi (Sysmä)",...,...,...,...,...
"19740  Liikola (Sysmä)",6,5,5,5,4
"19770  Valittula (Sysmä)",8,4,8,6,3
"19850  Putkijärvi-Siltasuo (Hartola)",5,4,4,7,7
"19910  Tammijärvi (Luhanka)",22,19,21,22,18
"19920  Pappinen (Joutsa)",10,7,10,8,3
"19950  Luhanka (Luhanka)",12,13,15,11,13
"20100  Turku Keskus (Turku)",2114,1563,1429,1579,1879
"20200  Iso-Heikkilä (Turku)",315,272,318,449,609
"20210  Pahaniemi (Turku)",463,407,371,381,428
"20240  Pansio-Perno (Turku)",788,604,584,548,608
"20250  Pitkämäki-Muhkuri (Turku)",43,25,26,34,84
"20300  Pohjola-Kastu (Turku)",466,350,305,345,410
"20320  Kuninkoja-Mälikkälä (Turku)",1234,896,804,881,1032
"20360  Runosmäki-Kärsämäki (Turku)",1107,923,866,916,1101
"20380  Räntämäki-Saramäki (Turku)",162,134,124,130,156
"20400  Moisio (Turku)",175,100,94,128,141
"20460  Jäkärlä (Turku)",310,239,220,243,253
"20500  Vesilinna (Turku)",364,349,263,281,338
"20520  Kupittaa (Turku)",217,165,161,194,211
"20540  Nummi-Ylioppilaskylä (Turku)",1496,1225,1228,1306,1621
"20610  Varissuo (Turku)",1351,1304,1198,1330,1538
"20660  Littoinen (Kaarina)",404,215,215,266,288
"20700  Vartiovuori-Samppalinna (Turku)",358,256,248,248,331
"20720  Vasaramäki (Turku)",370,314,292,300,336
"20730  Skanssi (Turku)",59,39,59,88,109
"20740  Ilpoinen-Harittu (Turku)",765,644,610,632,717
"20750  Huhkola-Lauste-Vaala (Turku)",559,508,509,489,559
"20760  Piispanristi (Kaarina)",274,156,160,203,224
"20780  Kaarina Keskus (Kaarina)",646,408,417,536,604
"20800  Ammattikorkeakoulu (Turku)",0,0,0,0,0
"20810  Martti-Korppolaismäki (Turku)",1267,950,884,965,1054
"20880  Uittamo (Turku)",218,168,145,147,198
"20900  Moikoinen-Pikisaari (Turku)",542,366,342,376,415
"20960  Kakskerta (Turku)",58,30,39,35,35
"21100  Naantali Keskus (Naantali)",352,237,245,259,306
"21110  Taimo-Nuhjala-Lietsala (Naantali)",443,237,238,280,303
"21120  Kaanaa (Raisio)",109,54,47,63,64
"21130  Poikko (Naantali)",17,16,13,18,17
"21140  Rymättylä Keskus (Naantali)",61,39,42,48,54
"21150  Röölä (Naantali)",13,8,9,11,11
"21160  Merimasku (Naantali)",97,41,36,49,60
"21180  Livonsaari (Naantali)",20,12,18,12,12
"21195  Velkua (Naantali)",9,5,7,4,5
"21200  Raisio Keskus (Raisio)",802,471,523,585,716
"21210  Hakinmäki (Raisio)",168,98,101,89,110
"21220  Somersoja (Raisio)",100,57,65,62,73
"21230  Lemu (Masku)",95,39,35,36,53
"21240  Askainen (Masku)",48,31,27,25,17
"21250  Masku (Masku)",331,165,174,201,221
"21260  Ihala (Raisio)",216,96,83,113,131
"21270  Nousiainen (Nousiainen)",226,126,104,144,136
"21280  Kuloinen (Raisio)",122,69,73,78,78
"21290  Rusko (Rusko)",201,99,70,101,136
"21310  Vahto (Rusko)",70,44,39,42,44
"21330  Paattinen (Turku)",88,66,65,65,71
"21340  Tortinmäki (Turku)",33,20,20,16,21
"21350  Ilmarinen (Lieto)",79,52,38,48,54
"21360  Lieto Asemanseutu (Lieto)",86,47,49,68,62
"21370  Aura kk. (Aura)",29,21,22,25,21
"21380  Aura Keskus (Aura)",155,95,80,104,121
"21410  Vanhalinna (Lieto)",91,40,47,57,70
"21420  Lieto Keskus (Lieto)",398,250,205,250,300
"21430  Yliskulma (Lieto)",34,17,20,25,26
"21450  Tarvasjoki Keskus (Lieto)",101,63,54,63,79
"21480  Prunkila (Marttila)",23,7,6,9,17
"21490  Marttila (Marttila)",53,40,43,42,48
"21500  Piikkiö (Kaarina)",383,227,208,242,284
"21510  Hevonpää (Paimio)",19,12,11,16,16
"21530  Paimio Keskus (Paimio)",394,220,207,246,282
"21540  Preitilä (Paimio)",46,27,29,36,43
"21555  Taatila (Paimio)",11,7,5,7,10
"21560  Ollila (Marttila)",18,11,9,17,19
"21570  Sauvo Keskus (Sauvo)",89,38,51,86,85
"21590  Karuna (Sauvo)",16,10,9,12,15
"21600  Parainen Keskus (Pargas)",441,277,299,302,322
"21610  Kirjala (Pargas)",44,23,14,26,23
"21620  Kuusisto (Kaarina)",69,57,55,44,52
"21630  Lielahti (Pargas)",18,18,16,14,10
"21650  Lillandet (Pargas)",9,5,7,8,10
"21660  Nauvo Keskus (Pargas)",25,22,20,17,14
"21670  Mattnäs-Nötö (Pargas)",5,1,2,2,2
"21680  Nötö (Pargas)",...,...,...,...,...
"21710  Korppoo Keskus-Utö (Pargas)",24,27,17,13,9
"21720  Korpoström (Pargas)",...,...,...,...,...
"21740  Utö (Pargas)",1,1,1,2,1
"21750  Norrskata (Pargas)",2,3,2,1,2
"21760  Houtskär Keskus (Pargas)",16,11,6,8,3
"21770  Mossala (Pargas)",6,1,3,3,2
"21800  Kyrö (Pöytyä)",126,103,94,114,123
"21820  Kumila (Pöytyä)",14,12,12,10,12
"21840  Karinainen (Pöytyä)",16,12,8,13,9
"21860  Auvainen (Pöytyä)",11,10,11,17,18
"21870  Riihikoski (Pöytyä)",106,68,69,85,71
"21880  Pöytyä (Pöytyä)",12,15,15,12,12
"21890  Haveri (Pöytyä)",9,6,3,6,6
"21900  Yläne Keskus (Pöytyä)",94,69,69,72,70
"21930  Uusikartano (Pöytyä)",17,21,12,17,17
"22100  Maarianhamina (Mariehamn)",667,407,332,344,391
"22120  Möckelö (Jomala)",34,19,10,12,15
"22130  Gottby (Jomala)",31,17,16,10,19
"22140  Önningby (Jomala)",51,20,16,21,17
"22150  Jomala Centrum (Jomala)",82,51,35,33,57
"22160  Järsö (Lemland)",22,6,6,6,7
"22220  Emkarby (Finström)",11,3,6,6,9
"22240  Hammarland (Hammarland)",62,42,38,39,41
"22270  Storby (Eckerö)",56,22,17,23,23
"22310  Pålsböle (Finström)",18,19,11,14,9
"22320  Ödkarby (Saltvik)",32,12,14,15,21
"22330  Tjudö (Finström)",14,9,5,7,2
"22340  Geta (Geta)",25,15,12,10,11
"22410  Godby (Finström)",72,41,35,31,32
"22430  Saltvik (Saltvik)",17,12,12,10,5
"22520  Tosarby (Sund)",25,17,10,7,11
"22530  Sund (Sund)",19,12,12,9,12
"22550  Vårdö (Vårdö)",18,8,8,10,13
"22610  Lemland (Lemland)",55,21,15,20,29
"22630  Lumparland (Lumparland)",12,4,4,3,2
"22710  Ålands Degerby (Föglö)",9,2,5,5,6
"22720  Sottunga (Sottunga)",2,2,0,0,1
"22730  Kökar (Kökar)",15,9,6,4,4
"22810  Seglinge (Kumlinge)",0,3,1,1,2
"22820  Kumlinge (Kumlinge)",7,3,1,2,2
"22830  Enklinge (Kumlinge)",2,1,0,0,0
"22840  Lappo (Brändö)",6,3,2,1,0
"22910  Torsholma (Brändö)",0,0,0,0,0
"22920  Brändö-Åland (Brändö)",6,2,4,3,2
"22930  Fiskö (Brändö)",...,...,...,...,...
"22940  Åva (Brändö)",1,0,0,3,2
"22950  Jurmo (Brändö)",1,0,0,0,1
"23100  Mynämäki Keskus (Mynämäki)",292,181,185,217,242
"23120  Mietoinen Keskus (Mynämäki)",46,25,33,29,43
"23140  Hietamäki (Mynämäki)",25,18,13,19,16
"23200  Vinkkilä (Vehmaa)",57,33,58,62,56
"23210  Vehmaa (Vehmaa)",23,14,15,22,22
"23260  Rautila (Vehmaa)",9,5,5,11,11
"23310  Taivassalo (Taivassalo)",68,57,59,70,79
"23360  Kustavi (Kustavi)",46,27,29,32,44
"23390  Iniö (Pargas)",4,10,6,3,1
"23450  Lokalahti (Uusikaupunki)",34,29,28,32,35
"23500  Uusikaupunki Keskus (Uusikaupunki)",566,422,518,535,573
"23600  Kalanti Keskus (Uusikaupunki)",82,52,60,65,80
"23660  Kalanti Asemanseutu (Uusikaupunki)",13,8,8,9,6
"23800  Laitila Keskus (Laitila)",353,322,262,275,355
"23930  Pyhämaa (Uusikaupunki)",15,7,9,17,20
"23950  Pyhäranta (Pyhäranta)",15,12,24,16,19
"23960  Santtio (Pyhäranta)",12,4,6,7,7
"24100  Salo Keskus (Salo)",619,485,464,473,506
"24130  Ylhäisi (Salo)",220,147,133,136,157
"24240  Rappula (Salo)",256,210,180,203,245
"24260  Ollikkala (Salo)",413,332,301,337,374
"24280  Tupuri-Hähkänä (Salo)",280,160,141,165,176
"24800  Halikko Keskus (Salo)",312,191,193,229,225
"24910  Halikko Asemanseutu (Salo)",34,27,22,29,34
"25110  Kruusila (Salo)",22,18,12,15,16
"25130  Muurla (Salo)",84,73,63,62,79
"25160  Tuohittu (Salo)",1,1,2,4,4
"25170  Kotalato (Salo)",2,2,3,2,4
"25180  Romsila (Salo)",15,11,10,11,9
"25190  Inkere (Salo)",74,59,44,49,43
"25210  Vartsala (Salo)",23,16,7,12,20
"25230  Angelniemi (Salo)",21,17,18,16,16
"25240  Hajala (Salo)",29,17,26,22,21
"25250  Märynummi (Salo)",57,30,28,37,32
"25260  Vaskio (Salo)",48,43,44,46,41
"25320  Raatala (Salo)",24,9,11,14,14
"25330  Kuusjoki Keskus (Salo)",57,41,28,40,32
"25340  Kanunki (Salo)",19,18,14,25,11
"25360  Pertteli Keskus (Salo)",68,35,34,58,50
"25370  Hiisi (Salo)",33,25,28,19,32
"25380  Rekijoki (Salo)",18,17,14,17,18
"25390  Kiikala Keskus (Salo)",47,40,39,45,49
"25410  Suomusjärvi Keskus (Salo)",77,44,50,46,54
"25420  Lahnajärvi (Salo)",5,2,4,3,9
"25430  Kettula (Salo)",5,3,2,1,0
"25460  Toija (Salo)",59,45,41,49,43
"25470  Kisko kk (Salo)",13,16,13,10,23
"25500  Perniö Keskus (Salo)",210,122,95,131,140
"25520  Perniö Asemanseutu (Salo)",30,22,25,24,28
"25540  Knaapila (Salo)",15,10,14,13,10
"25550  Aijala (Salo)",5,7,6,8,10
"25560  Koski Asemanseutu (Salo)",18,13,13,11,5
"25570  Teijo-Mathildedal (Salo)",52,44,30,30,40
"25610  Ylönkylä (Salo)",27,17,18,18,19
"25630  Finby (Salo)",17,11,3,5,5
"25640  Förby (Salo)",15,9,7,10,12
"25650  Strömma (Kimitoön)",5,2,3,7,3
"25660  Mathildedal (Salo)",9,6,7,7,7
"25700  Kemiö Keskus (Kimitoön)",75,58,54,46,65
"25710  Vreta-Vestlax (Kimitoön)",10,8,6,4,7
"25730  Mjösund (Kimitoön)",5,3,3,5,4
"25760  Kiila (Kimitoön)",7,4,5,6,4
"25810  Mark (Kimitoön)",4,3,3,2,2
"25820  Vestlax (Kimitoön)",5,4,1,2,1
"25830  Västanfjärd Keskus (Kimitoön)",17,19,13,10,8
"25840  Nivelax (Kimitoön)",13,10,4,8,10
"25860  Björkboda (Kimitoön)",32,18,20,12,13
"25870  Dragsfjärd (Kimitoön)",39,26,19,22,19
"25900  Taalintehdas (Kimitoön)",70,71,55,53,54
"25910  Vänoxa (Kimitoön)",...,...,...,...,...
"25930  Kasnäs (Kimitoön)",1,1,1,1,0
"25940  Hiittinen (Kimitoön)",3,1,0,3,3
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",3,1,2,0,1
"25960  Högsåra (Kimitoön)",2,1,1,1,1
"26100  Rauma Keskus (Rauma)",828,710,681,743,835
"26200  Merirauma-Kappelinluhta (Rauma)",276,189,209,194,211
"26410  Kaaro (Rauma)",63,41,46,48,40
"26510  Uotila (Rauma)",152,114,114,99,108
"26560  Kolla (Rauma)",21,18,20,16,12
"26660  Paroalho (Rauma)",295,228,216,232,263
"26720  Monnanummi (Rauma)",19,17,11,14,17
"26740  Vasarainen (Rauma)",37,28,21,24,22
"26820  Sampaanala (Rauma)",134,103,75,90,103
"26840  Kortela (Rauma)",47,35,33,38,38
"26910  Unaja (Rauma)",36,22,25,24,26
"26930  Vermuntila (Rauma)",34,19,20,30,36
"26950  Voiluoto (Rauma)",25,20,20,18,14
"27100  Eurajoki Keskus (Eurajoki)",123,91,84,85,81
"27110  Irjanne (Eurajoki)",27,29,27,25,26
"27130  Eurajoki asemanseutu (Eurajoki)",22,15,9,14,13
"27150  Lapijoki (Eurajoki)",63,37,42,41,47
"27160  Olkiluoto (Eurajoki)",0,0,0,0,0
"27170  Kuivalahti (Eurajoki)",18,11,10,13,12
"27220  Ala-Kieri (Rauma)",25,23,14,16,18
"27230  Lappi (Rauma)",97,72,75,77,69
"27250  Kodiksami (Rauma)",9,5,3,2,8
"27260  Kuolimaa (Rauma)",6,5,6,6,6
"27310  Kodisjoki (Rauma)",21,14,9,13,19
"27320  Ihode (Pyhäranta)",51,36,33,27,26
"27340  Reila (Pyhäranta)",31,25,19,15,15
"27400  Kiukainen Keskus (Eura)",66,58,50,45,43
"27420  Panelia Asemanseutu (Eura)",12,5,9,9,7
"27430  Panelia (Eura)",41,25,37,50,52
"27450  Harola (Eura)",6,7,5,4,4
"27500  Kauttua (Eura)",197,122,132,101,108
"27510  Eura Keskus (Eura)",168,103,113,108,114
"27600  Hinnerjoki (Eura)",38,20,19,18,26
"27640  Honkilahti kk (Eura)",16,9,8,8,7
"27650  Honkilahti (Eura)",23,14,8,9,9
"27670  Mannila (Eura)",6,3,4,5,3
"27710  Köyliö Keskus (Säkylä)",44,34,33,34,38
"27730  Tuiskula (Säkylä)",7,6,2,5,4
"27740  Voitoinen (Säkylä)",5,7,12,8,9
"27750  Yttilä (Säkylä)",18,14,16,10,16
"27800  Säkylä Keskus (Säkylä)",106,86,78,81,93
"27820  Iso-Vimma (Säkylä)",37,26,21,21,23
"27840  Kakkuri (Säkylä)",18,12,8,3,7
"27860  Vuori (Säkylä)",10,7,4,3,10
"27910  Huovinrinne (Säkylä)",9,10,8,7,6
"27920  Otajoki (Säkylä)",7,9,7,8,10
"28100  Pori Keskus (Pori)",941,701,751,882,977
"28120  Käppärä-Isomäki (Pori)",303,256,250,314,288
"28130  Impola (Pori)",568,450,451,488,550
"28190  Pormestarinluoto (Pori)",316,263,287,313,344
"28200  Toejoki (Pori)",287,181,182,178,188
"28220  Ruosniemi (Pori)",309,222,219,233,264
"28240  Isojoenranta (Pori)",38,27,25,23,27
"28260  Harjunpää (Ulvila)",58,37,39,31,32
"28300  Kalaholma-Väinölä (Pori)",132,91,82,86,81
"28330  Koivistonluoto (Pori)",222,179,180,205,227
"28360  Vanhakoivisto (Pori)",288,218,213,213,255
"28370  Sampola (Pori)",274,247,259,298,306
"28400  Ulvila Keskus (Ulvila)",320,194,195,179,234
"28430  Kartano-Harmaalinna (Pori)",122,67,67,66,75
"28450  Vanha-Ulvila (Ulvila)",226,151,156,138,152
"28500  Keskussairaala-alue-Tiilimäki (Pori)",59,47,53,51,57
"28540  Pinomäki (Pori)",35,21,20,14,23
"28560  Lattomeri (Pori)",25,22,25,30,26
"28580  Niittymaa (Pori)",42,22,18,28,31
"28600  Vähärauma (Pori)",298,198,161,210,234
"28610  Musa-Tiiliruukki (Pori)",283,184,171,248,247
"28660  Pietniemi-Leppäkorpi (Pori)",209,157,154,157,144
"28760  Kyläsaari (Pori)",150,95,117,110,117
"28800  Pihlava (Pori)",346,240,273,286,280
"28840  Yyteri-Kaanaa (Pori)",74,44,54,55,54
"28880  Mäntyluoto (Pori)",50,30,29,41,40
"28900  Tahkoluoto-Reposaari (Pori)",66,56,64,52,54
"29100  Luvia Keskus (Eurajoki)",128,81,97,112,117
"29180  Peränkylä (Eurajoki)",12,6,13,14,14
"29200  Harjavalta Keskus (Harjavalta)",381,287,269,339,339
"29250  Nakkila Keskus (Nakkila)",211,136,141,159,190
"29270  Hormisto (Nakkila)",17,12,12,14,14
"29280  Järvimaa (Nakkila)",19,11,12,12,9
"29310  Kaasmarkku (Ulvila)",29,20,19,19,20
"29320  Leineperi (Ulvila)",15,10,7,8,8
"29340  Kullaa Keskus (Ulvila)",58,36,41,39,38
"29350  Palus (Ulvila)",21,8,17,13,17
"29570  Söörmarkku (Pori)",56,43,43,42,36
"29600  Noormarkku Keskus (Pori)",280,204,188,213,234
"29630  Pomarkku Keskus (Pomarkku)",100,64,56,67,94
"29640  Honkakoski (Pomarkku)",11,7,6,8,6
"29680  Kairila (Pori)",18,14,11,10,8
"29700  Ahlainen (Pori)",48,38,31,34,34
"29720  Lamppi (Pori)",17,14,11,10,12
"29740  Etelämaa (Merikarvia)",0,0,5,4,3
"29750  Pohjansaha (Merikarvia)",5,4,2,2,3
"29760  Köörtilä (Merikarvia)",2,0,2,2,2
"29790  Tuorila (Merikarvia)",17,5,10,14,20
"29810  Siikainen Keskus (Siikainen)",43,31,41,33,35
"29830  Sammi (Siikainen)",12,10,7,10,8
"29860  Otamo (Siikainen)",4,3,4,6,8
"29880  Leväsjoki-Saarineva (Siikainen)",13,11,7,6,11
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",112,92,91,96,115
"29940  Kuvaskangas (Merikarvia)",16,11,12,10,9
"30100  Forssa Keskus (Forssa)",489,383,361,457,489
"30300  Viksberg (Forssa)",208,180,157,204,217
"30420  Tölö (Forssa)",231,182,187,250,243
"31110  Matku (Forssa)",31,29,29,29,22
"31130  Koijärvi (Forssa)",8,10,8,21,9
"31140  Menonen (Urjala)",5,3,4,4,4
"31160  Nuutajärvi (Urjala)",22,13,12,22,23
"31170  Savijoki (Forssa)",6,5,4,9,7
"31230  Susikas (Tammela)",16,10,10,10,8
"31250  Teuro (Tammela)",4,4,4,4,9
"31300  Tammela Keskus (Tammela)",118,105,103,118,116
"31310  Mustiala (Tammela)",4,4,0,3,3
"31340  Porras (Tammela)",27,19,17,16,13
"31350  Vistinkoski (Tammela)",9,5,10,8,10
"31370  Eerikkilän Urheiluopisto (Tammela)",0,0,0,0,0
"31380  Letku-Torro (Tammela)",18,14,14,13,15
"31400  Somero Keskus (Somero)",211,167,177,210,276
"31410  Ylöpirtti (Somero)",12,15,12,12,9
"31450  Häntälä (Somero)",14,12,8,10,13
"31460  Hirsjärvi (Somero)",20,11,6,12,15
"31470  Somerniemi (Somero)",30,26,19,24,28
"31490  Terttilä (Somero)",9,3,8,11,9
"31500  Koski Tl (Koski Tl)",104,75,65,65,89
"31520  Pitkäjärvi (Somero)",22,22,18,20,17
"31530  Pyöli (Somero)",19,16,19,15,13
"31600  Jokioinen Keskus (Jokioinen)",145,121,133,132,146
"31610  Vaulammi (Jokioinen)",27,13,16,22,18
"31620  Latovainio (Jokioinen)",23,13,13,17,12
"31630  Minkiö (Jokioinen)",18,13,18,28,27
"31640  Humppila Keskus (Humppila)",97,92,87,101,85
"31650  Venäjänkangas (Humppila)",12,12,9,16,10
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",80,67,50,58,62
"31720  Urjalankylä-Kehro (Urjala)",25,19,22,21,17
"31730  Honkola (Urjala)",3,3,4,5,1
"31750  Kehro (Urjala)",4,6,2,2,1
"31760  Urjala Keskus (Urjala)",89,77,56,68,68
"31810  Oriniemi (Punkalaidun)",18,10,7,9,10
"31830  Halkivaha (Urjala)",12,11,12,14,11
"31850  Koskioinen (Punkalaidun)",4,3,2,2,4
"31860  Tursa (Urjala)",16,13,10,10,19
"31900  Punkalaidun Keskus (Punkalaidun)",69,53,42,54,58
"31930  Vanttila (Punkalaidun)",3,3,2,0,6
"31950  Sadonmaa (Punkalaidun)",5,4,5,12,5
"31960  Orisuo (Loimaa)",5,5,3,4,4
"31970  Kanteenmaa (Punkalaidun)",5,4,3,2,3
"32100  Ypäjä Keskus (Ypäjä)",85,75,58,76,82
"32140  Ypäjä Asemanseutu (Ypäjä)",18,21,17,15,14
"32200  Loimaa Keskus (Loimaa)",421,300,311,404,409
"32210  Loimaa kk (Loimaa)",119,96,67,117,133
"32250  Kojonkulma (Loimaa)",9,6,4,11,14
"32260  Kojonperä (Loimaa)",13,4,3,2,4
"32270  Metsämaa-Murto (Loimaa)",26,15,13,21,17
"32280  Metsäkorpi (Loimaa)",10,6,9,8,5
"32300  Mellilä (Loimaa)",66,51,54,67,52
"32410  Niinijoki (Loimaa)",26,15,9,11,14
"32430  Ylhäinen (Loimaa)",3,2,6,3,1
"32440  Alastaro Keskus (Loimaa)",75,63,54,67,76
"32450  Tammiainen (Loimaa)",7,12,11,7,14
"32500  Oripää Keskus (Oripää)",40,36,43,45,43
"32520  Latva (Oripää)",6,4,7,3,4
"32560  Virttaa (Loimaa)",20,12,16,19,24
"32610  Vampula Keskus (Huittinen)",30,29,22,38,31
"32620  Rutava (Huittinen)",18,14,14,19,14
