"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"13220  Sairio (Hämeenlinna)",152,165,170,169,163
"13250  Katuma (Hämeenlinna)",395,382,373,382,390
"13270  Ruununmylly (Hämeenlinna)",66,64,64,65,65
"13300  Käikälä (Hämeenlinna)",101,99,91,79,78
"13330  Harviala (Janakkala)",11,12,9,7,9
"13430  Hattelmala (Hämeenlinna)",37,30,30,31,32
"13500  Jukola (Hämeenlinna)",1775,1887,1873,1867,1854
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",0,0,0,0,0
"13600  Ojoinen (Hämeenlinna)",799,839,851,819,834
"13700  Parolannummi (Hattula)",18,18,23,25,28
"13720  Parola (Hattula)",471,498,482,491,492
"13800  Katinala (Hattula)",102,110,106,103,107
"13880  Rahkoila (Hattula)",36,41,40,36,33
"13900  Pekola (Hattula)",13,14,14,11,10
"14140  Jokimaa (Janakkala)",4,10,8,7,8
"14200  Turenki (Janakkala)",1163,1177,1177,1175,1182
"14240  Väli-Janakkala (Janakkala)",31,27,27,31,28
"14300  Renko kk (Hämeenlinna)",145,157,147,157,146
"14430  Vuohiniemi (Hattula)",4,4,3,4,3
"14450  Rimmilä (Hämeenlinna)",4,5,3,3,3
"14500  Iittala (Hämeenlinna)",282,298,298,295,310
"14530  Leteensuo (Hattula)",4,2,4,3,4
"14610  Lepaa (Hattula)",44,43,50,45,47
"14620  Tyrväntö (Hattula)",7,9,9,8,8
"14680  Alvettula (Hämeenlinna)",21,21,19,20,19
"14690  Torvoila (Hämeenlinna)",4,4,4,5,5
"14700  Hauho kk (Hämeenlinna)",246,252,252,236,239
"14770  Eteläinen (Hämeenlinna)",36,35,36,38,37
"14810  Pohjoinen (Hämeenlinna)",24,21,20,20,16
"14820  Syrjäntaka (Hämeenlinna)",77,93,96,88,87
"14840  Sairiala (Hämeenlinna)",13,17,15,12,11
"14870  Juttila (Hämeenlinna)",17,16,19,17,16
"14930  Sappee (Hämeenlinna)",0,0,0,0,0
"14960  Puutikkala (Pälkäne)",1,2,3,1,1
"14980  Kuohijoki (Pälkäne)",...,...,...,...,...
"15100  Lahti Asemanseutu (Lahti)",2677,2678,2806,2900,2949
"15110  Keski-Lahti (Lahti)",2534,2537,2694,2828,2831
"15140  Kartano-Paavola (Lahti)",6004,6168,6196,6196,6161
"15150  Möysä (Lahti)",1270,1329,1334,1340,1353
"15160  Kolava (Lahti)",110,97,99,81,87
"15170  Tenava-Tonttila (Lahti)",861,895,901,915,911
"15200  Kiveriö (Lahti)",1145,1128,1198,1217,1198
"15210  Kivistönmäki (Lahti)",1602,1619,1628,1615,1657
"15230  Kytölä (Lahti)",116,118,108,114,111
"15240  Mukkula (Lahti)",1774,1860,1884,1864,1944
"15270  Kukkila (Hollola)",17,21,19,16,21
"15300  Myllypohja-Koiskala (Lahti)",702,700,690,690,677
"15320  Ahtiala (Lahti)",312,328,315,313,304
"15340  Kunnas-Hiekkanummi (Lahti)",58,58,62,63,67
"15460  Mäkelä (Lahti)",10,7,9,9,10
"15500  Liipola (Lahti)",1813,1912,1909,1913,1889
"15520  Saksala (Lahti)",395,410,415,413,418
"15540  Villähde (Lahti)",113,121,112,115,116
"15550  Rakokivi (Lahti)",610,643,638,647,648
"15560  Nastola kk (Lahti)",810,815,792,780,806
"15580  Ruuhijärvi (Lahti)",4,4,2,4,5
"15610  Laune-Nikkilä (Lahti)",551,553,540,541,547
"15680  Renkomäki-Ämmälä (Lahti)",53,53,51,54,51
"15700  Hennala-Jokimaa (Lahti)",1784,1877,1890,1997,2028
"15800  Kärpänen (Lahti)",1033,1036,1035,1040,1041
"15810  Kasakkamäki (Lahti)",173,189,179,181,179
"15820  Okeroinen (Hollola)",12,14,11,11,14
"15830  Metsäkangas (Lahti)",806,849,841,844,857
"15840  Riihelä (Lahti)",356,364,343,339,334
"15850  Likolampi (Lahti)",152,155,150,151,151
"15860  Kartano (Hollola)",541,550,556,555,550
"15870  Salpakangas (Hollola)",894,898,901,884,914
"15880  Soramäki (Hollola)",437,434,437,429,441
"15900  Jalkaranta (Lahti)",84,75,67,72,67
"15950  Kiikkula (Lahti)",612,641,622,630,614
"15980  Messilä (Hollola)",0,0,0,0,0
"16100  Uusikylä (Lahti)",88,83,83,91,81
"16160  Okkeri (Lahti)",2,2,2,3,0
"16200  Artjärvi Keskus (Orimattila)",69,77,78,79,86
"16230  Artjärvi Kirkonkylä (Orimattila)",18,18,18,17,18
"16260  Hietana (Orimattila)",1,3,0,1,0
"16270  Villikkala (Orimattila)",5,5,5,4,2
"16280  Kuivanto (Orimattila)",20,19,20,20,20
"16300  Orimattila Keskus (Orimattila)",1521,1560,1517,1545,1519
"16310  Virenoja (Orimattila)",9,8,7,8,7
"16320  Pennala (Orimattila)",11,12,11,27,26
"16330  Heinämaa (Orimattila)",3,3,3,1,2
"16350  Niinikoski (Orimattila)",6,6,9,8,7
"16390  Pakaa (Orimattila)",4,10,7,4,5
"16450  Mallusjoki (Orimattila)",10,12,11,12,9
"16500  Herrala (Hollola)",27,25,22,26,21
"16510  Luhtikylä (Orimattila)",13,13,13,11,11
"16540  Mertie (Kärkölä)",6,5,5,5,3
"16600  Järvelä (Kärkölä)",402,419,407,411,411
"16610  Kärkölä kk (Kärkölä)",26,29,21,22,18
"16630  Tennilä (Hollola)",7,7,6,6,5
"16670  Lappila (Kärkölä)",40,44,39,32,30
"16710  Hollola kk (Hollola)",23,27,23,21,20
"16730  Kutajärvi (Hollola)",37,38,34,36,34
"16790  Manskivi (Hollola)",5,3,1,1,2
"16800  Hämeenkoski (Hollola)",151,151,149,139,154
"16900  Lammi kk (Hämeenlinna)",473,493,497,484,481
"16960  Iso-Evo (Hämeenlinna)",6,6,7,5,7
"16970  Evo (Hämeenlinna)",29,33,33,35,33
"17110  Kalliola (Hollola)",49,42,42,41,37
"17120  Paimela (Hollola)",9,6,7,7,7
"17130  Vesivehmaa (Asikkala)",18,19,20,17,16
"17150  Urajärvi (Asikkala)",10,9,9,9,9
"17200  Vääksy Keskus (Asikkala)",753,743,750,749,738
"17220  Pietilä (Asikkala)",1,1,1,2,2
"17240  Kalkkinen (Asikkala)",22,22,24,22,24
"17320  Asikkala (Asikkala)",11,7,12,12,11
"17410  Viitaila (Asikkala)",6,7,3,8,6
"17430  Kurhila (Asikkala)",4,4,3,6,8
"17440  Vähimaa (Asikkala)",2,...,...,...,...
"17450  Iso-Äiniö-Vähimaa (Asikkala)",5,5,4,2,4
"17470  Maakeski (Padasjoki)",5,5,5,4,3
"17500  Padasjoki Keskus (Padasjoki)",317,320,306,288,276
"17510  Nyystölä (Padasjoki)",3,1,2,3,5
"17530  Arrakoski (Padasjoki)",9,7,6,3,8
"17610  Auttoinen (Padasjoki)",8,5,6,7,7
"17630  Vesijako (Padasjoki)",0,1,0,0,1
"17710  Torittu (Padasjoki)",2,...,...,...,...
"17740  Kasiniemi-Torittu (Padasjoki)",...,1,0,...,...
"17780  Harmoinen (Kuhmoinen)",1,1,1,1,0
"17800  Kuhmoinen Keskus (Kuhmoinen)",229,220,228,226,209
"17840  Harjunsalmi (Kuhmoinen)",1,1,1,1,1
"17850  Pihlajakoski (Kuhmoinen)",2,1,1,2,3
"17870  Ruolahti (Kuhmoinen)",6,3,4,5,5
"17930  Päijälä (Kuhmoinen)",4,5,4,4,4
"17950  Kylämä (Kuhmoinen)",...,...,...,...,...
"17970  Puukkoinen (Kuhmoinen)",...,...,...,...,...
"18100  Heinola Keskus (Heinola)",1363,1419,1442,1444,1398
"18120  Reumasairaala-alue (Heinola)",122,120,113,95,87
"18130  Tommola-Sahanniemi (Heinola)",531,544,555,537,533
"18150  Jyränkö (Heinola)",312,339,348,348,354
"18200  Kaakonlampi-Pyhätön (Heinola)",452,474,473,472,478
"18300  Heinola kk (Heinola)",242,242,238,233,239
"18600  Myllyoja (Heinola)",31,38,33,33,27
"19110  Vierumäki taajama (Heinola)",85,83,82,85,85
"19120  Vierumäki urheiluopisto (Heinola)",43,37,36,38,37
"19160  Huutotöyry (Iitti)",21,19,15,14,15
"19210  Lusi (Heinola)",19,16,16,12,11
"19230  Onkiniemi (Sysmä)",8,9,9,8,7
"19250  Syrjäkoski (Heinola)",...,...,...,...,...
"19260  Paaso-Syrjäkoski (Heinola)",1,1,1,2,2
"19310  Karilanmaa (Sysmä)",1,0,1,2,1
"19320  Nikkaroinen (Sysmä)",2,2,1,2,2
"19370  Nuoramoinen (Sysmä)",18,14,16,12,11
"19410  Kuortti (Mäntyharju)",59,60,56,58,57
"19420  Mansikkamäki (Mäntyharju)",10,8,10,10,8
"19430  Pertunmaa Keskus (Mäntyharju)",105,119,108,115,105
"19460  Ruorasmäki (Mäntyharju)",4,5,4,3,3
"19470  Lihavanpää-Hartosenpää (Mäntyharju)",11,11,13,13,11
"19480  Hartosenpää (Mäntyharju)",2,2,2,1,1
"19510  Lepsala (Hartola)",...,...,...,...,...
"19540  Koitti-Lepsala (Hartola)",10,10,10,10,10
"19600  Hartola Keskus (Hartola)",294,289,292,286,261
"19610  Murakka (Hartola)",2,3,2,1,1
"19620  Pohela (Hartola)",2,3,4,5,6
"19630  Kalhonkylä (Hartola)",2,1,2,3,3
"19650  Joutsa Keskus (Joutsa)",430,433,408,407,417
"19670  Mieskonmäki (Joutsa)",7,5,5,3,3
"19700  Sysmä Keskus (Sysmä)",393,400,374,369,353
"19730  Särkilampi (Sysmä)",...,...,...,...,...
"19740  Liikola (Sysmä)",6,6,6,6,7
"19770  Valittula (Sysmä)",6,5,6,3,3
"19850  Putkijärvi-Siltasuo (Hartola)",3,3,3,2,3
"19910  Tammijärvi (Luhanka)",27,24,25,20,23
"19920  Pappinen (Joutsa)",3,3,2,1,1
"19950  Luhanka (Luhanka)",32,34,39,36,33
"20100  Turku Keskus (Turku)",11290,11705,12366,12979,13367
"20200  Iso-Heikkilä (Turku)",1299,1557,2150,3130,3441
"20210  Pahaniemi (Turku)",1216,1260,1254,1247,1221
"20240  Pansio-Perno (Turku)",1802,1852,1867,1889,1881
"20250  Pitkämäki-Muhkuri (Turku)",31,33,30,85,424
"20300  Pohjola-Kastu (Turku)",1686,1742,1784,1822,2026
"20320  Kuninkoja-Mälikkälä (Turku)",3722,3844,3957,3988,3968
"20360  Runosmäki-Kärsämäki (Turku)",3104,3203,3216,3150,3252
"20380  Räntämäki-Saramäki (Turku)",495,568,561,558,535
"20400  Moisio (Turku)",255,267,272,277,280
"20460  Jäkärlä (Turku)",497,508,514,514,505
"20500  Vesilinna (Turku)",3325,3416,3410,3500,3519
"20520  Kupittaa (Turku)",1946,1951,1917,2004,2059
"20540  Nummi-Ylioppilaskylä (Turku)",7066,7335,7572,7734,7847
"20610  Varissuo (Turku)",3394,3590,3625,3833,3842
"20660  Littoinen (Kaarina)",320,306,291,291,295
"20700  Vartiovuori-Samppalinna (Turku)",2530,2607,2688,2692,2684
"20720  Vasaramäki (Turku)",1956,1981,1963,1985,1938
"20730  Skanssi (Turku)",473,458,629,691,799
"20740  Ilpoinen-Harittu (Turku)",2466,2487,2458,2399,2408
"20750  Huhkola-Lauste-Vaala (Turku)",1093,1110,1137,1109,1077
"20760  Piispanristi (Kaarina)",693,751,743,746,736
"20780  Kaarina Keskus (Kaarina)",2068,2185,2229,2297,2289
"20800  Ammattikorkeakoulu (Turku)",0,0,0,0,0
"20810  Martti-Korppolaismäki (Turku)",5396,5469,5466,5567,5472
"20880  Uittamo (Turku)",456,496,477,510,528
"20900  Moikoinen-Pikisaari (Turku)",1047,1080,1175,1093,1123
"20960  Kakskerta (Turku)",15,19,24,26,23
"21100  Naantali Keskus (Naantali)",1524,1579,1611,1603,1583
"21110  Taimo-Nuhjala-Lietsala (Naantali)",920,931,883,977,989
"21120  Kaanaa (Raisio)",117,123,130,130,122
"21130  Poikko (Naantali)",11,8,10,9,9
"21140  Rymättylä Keskus (Naantali)",108,111,107,100,104
"21150  Röölä (Naantali)",12,12,11,9,8
"21160  Merimasku (Naantali)",26,25,23,21,23
"21180  Livonsaari (Naantali)",9,13,12,13,12
"21195  Velkua (Naantali)",15,14,15,13,13
"21200  Raisio Keskus (Raisio)",2480,2670,2653,2805,2856
"21210  Hakinmäki (Raisio)",181,187,188,192,196
"21220  Somersoja (Raisio)",154,154,154,151,165
"21230  Lemu (Masku)",55,45,43,41,40
"21240  Askainen (Masku)",46,43,41,35,28
"21250  Masku (Masku)",225,242,221,218,233
"21260  Ihala (Raisio)",202,201,214,214,231
"21270  Nousiainen (Nousiainen)",198,206,205,212,200
"21280  Kuloinen (Raisio)",95,96,95,91,92
"21290  Rusko (Rusko)",130,140,142,140,136
"21310  Vahto (Rusko)",49,60,56,59,52
"21330  Paattinen (Turku)",82,86,84,82,84
"21340  Tortinmäki (Turku)",13,12,7,6,5
"21350  Ilmarinen (Lieto)",19,20,20,26,33
"21360  Lieto Asemanseutu (Lieto)",42,40,43,43,37
"21370  Aura kk. (Aura)",7,9,9,12,13
"21380  Aura Keskus (Aura)",245,256,244,261,267
"21410  Vanhalinna (Lieto)",76,70,72,71,74
"21420  Lieto Keskus (Lieto)",1056,1138,1140,1197,1172
"21430  Yliskulma (Lieto)",13,13,16,18,17
"21450  Tarvasjoki Keskus (Lieto)",93,96,91,87,81
"21480  Prunkila (Marttila)",8,9,8,8,11
"21490  Marttila (Marttila)",125,135,136,127,127
"21500  Piikkiö (Kaarina)",536,544,536,509,499
"21510  Hevonpää (Paimio)",23,21,20,23,24
"21530  Paimio Keskus (Paimio)",1060,1109,1076,1088,1078
"21540  Preitilä (Paimio)",15,20,20,19,22
"21555  Taatila (Paimio)",9,6,8,9,6
"21560  Ollila (Marttila)",17,16,18,18,16
"21570  Sauvo Keskus (Sauvo)",179,187,179,191,189
"21590  Karuna (Sauvo)",18,13,15,14,14
"21600  Parainen Keskus (Pargas)",1027,1061,1045,1020,1001
"21610  Kirjala (Pargas)",25,24,22,24,23
"21620  Kuusisto (Kaarina)",34,41,40,33,29
"21630  Lielahti (Pargas)",14,13,17,15,14
"21650  Lillandet (Pargas)",21,19,17,21,17
"21660  Nauvo Keskus (Pargas)",96,96,83,76,69
"21670  Mattnäs-Nötö (Pargas)",12,13,12,9,8
"21680  Nötö (Pargas)",...,...,...,...,...
"21710  Korppoo Keskus-Utö (Pargas)",61,70,62,52,54
"21720  Korpoström (Pargas)",...,...,...,...,...
"21740  Utö (Pargas)",...,...,...,...,...
"21750  Norrskata (Pargas)",5,5,6,5,4
"21760  Houtskär Keskus (Pargas)",30,35,37,34,36
"21770  Mossala (Pargas)",6,5,5,6,7
"21800  Kyrö (Pöytyä)",201,222,213,230,219
"21820  Kumila (Pöytyä)",17,15,15,12,14
"21840  Karinainen (Pöytyä)",2,4,3,5,6
"21860  Auvainen (Pöytyä)",8,9,8,7,7
"21870  Riihikoski (Pöytyä)",198,211,210,218,199
"21880  Pöytyä (Pöytyä)",13,19,12,13,14
"21890  Haveri (Pöytyä)",4,5,1,4,3
"21900  Yläne Keskus (Pöytyä)",133,144,129,128,126
"21930  Uusikartano (Pöytyä)",6,5,6,7,8
"22100  Maarianhamina (Mariehamn)",2744,2738,2743,2708,2602
"22120  Möckelö (Jomala)",49,51,60,63,64
"22130  Gottby (Jomala)",24,29,29,29,29
"22140  Önningby (Jomala)",43,43,51,50,49
"22150  Jomala Centrum (Jomala)",144,148,157,154,148
"22160  Järsö (Lemland)",7,11,8,3,4
"22220  Emkarby (Finström)",26,24,26,24,26
"22240  Hammarland (Hammarland)",143,139,146,153,142
"22270  Storby (Eckerö)",63,54,58,54,54
"22310  Pålsböle (Finström)",21,19,21,18,18
"22320  Ödkarby (Saltvik)",57,51,58,56,52
"22330  Tjudö (Finström)",8,9,9,9,11
"22340  Geta (Geta)",31,30,29,29,23
"22410  Godby (Finström)",169,172,165,166,155
"22430  Saltvik (Saltvik)",53,56,49,47,42
"22520  Tosarby (Sund)",38,38,37,35,32
"22530  Sund (Sund)",39,39,41,32,36
"22550  Vårdö (Vårdö)",28,29,26,25,26
"22610  Lemland (Lemland)",77,84,73,68,66
"22630  Lumparland (Lumparland)",18,21,20,19,23
"22710  Ålands Degerby (Föglö)",51,43,42,41,36
"22720  Sottunga (Sottunga)",8,13,13,13,11
"22730  Kökar (Kökar)",25,26,24,21,15
"22810  Seglinge (Kumlinge)",...,...,...,...,...
"22820  Kumlinge (Kumlinge)",21,23,20,18,13
"22830  Enklinge (Kumlinge)",4,4,4,2,2
"22840  Lappo (Brändö)",6,7,8,7,5
"22910  Torsholma (Brändö)",4,4,6,6,7
"22920  Brändö-Åland (Brändö)",18,16,16,17,18
"22930  Fiskö (Brändö)",...,...,...,...,...
"22940  Åva (Brändö)",4,4,3,3,1
"22950  Jurmo (Brändö)",...,...,...,...,...
"23100  Mynämäki Keskus (Mynämäki)",473,487,471,476,481
"23120  Mietoinen Keskus (Mynämäki)",52,53,54,51,47
"23140  Hietamäki (Mynämäki)",21,21,17,17,16
"23200  Vinkkilä (Vehmaa)",156,165,159,164,165
"23210  Vehmaa (Vehmaa)",32,31,32,30,31
"23260  Rautila (Vehmaa)",12,13,9,14,9
"23310  Taivassalo (Taivassalo)",133,137,140,139,128
"23360  Kustavi (Kustavi)",100,99,98,98,97
"23390  Iniö (Pargas)",18,17,17,15,18
"23450  Lokalahti (Uusikaupunki)",59,56,57,54,58
"23500  Uusikaupunki Keskus (Uusikaupunki)",2033,2159,2036,1956,1931
"23600  Kalanti Keskus (Uusikaupunki)",133,133,118,125,131
"23660  Kalanti Asemanseutu (Uusikaupunki)",1,1,2,3,2
"23800  Laitila Keskus (Laitila)",965,991,967,1013,1024
"23930  Pyhämaa (Uusikaupunki)",16,14,15,13,13
"23950  Pyhäranta (Pyhäranta)",43,46,40,43,40
"23960  Santtio (Pyhäranta)",0,0,0,1,2
"24100  Salo Keskus (Salo)",2175,2258,2272,2330,2321
"24130  Ylhäisi (Salo)",372,374,371,378,357
"24240  Rappula (Salo)",738,823,827,835,855
"24260  Ollikkala (Salo)",913,988,989,998,987
"24280  Tupuri-Hähkänä (Salo)",195,217,198,205,221
"24800  Halikko Keskus (Salo)",698,717,738,743,730
"24910  Halikko Asemanseutu (Salo)",26,28,23,25,25
"25110  Kruusila (Salo)",20,16,16,17,12
"25130  Muurla (Salo)",74,78,75,77,82
"25160  Tuohittu (Salo)",7,5,6,7,7
"25170  Kotalato (Salo)",2,2,2,2,2
"25180  Romsila (Salo)",2,3,5,3,3
"25190  Inkere (Salo)",110,118,116,111,112
"25210  Vartsala (Salo)",5,4,4,5,5
"25230  Angelniemi (Salo)",14,11,13,11,8
"25240  Hajala (Salo)",17,12,15,14,12
"25250  Märynummi (Salo)",112,121,113,118,126
"25260  Vaskio (Salo)",31,35,35,30,31
"25320  Raatala (Salo)",11,12,11,9,9
"25330  Kuusjoki Keskus (Salo)",62,67,59,66,55
"25340  Kanunki (Salo)",23,23,21,17,16
"25360  Pertteli Keskus (Salo)",79,79,77,83,76
"25370  Hiisi (Salo)",17,19,17,15,14
"25380  Rekijoki (Salo)",17,23,19,18,14
"25390  Kiikala Keskus (Salo)",84,95,88,89,85
"25410  Suomusjärvi Keskus (Salo)",129,119,118,113,113
"25420  Lahnajärvi (Salo)",6,5,4,4,4
"25430  Kettula (Salo)",2,1,1,1,1
"25460  Toija (Salo)",115,109,116,113,104
"25470  Kisko kk (Salo)",8,10,9,11,10
"25500  Perniö Keskus (Salo)",422,431,437,440,422
"25520  Perniö Asemanseutu (Salo)",19,20,24,22,21
"25540  Knaapila (Salo)",4,3,4,3,5
"25550  Aijala (Salo)",5,7,6,4,5
"25560  Koski Asemanseutu (Salo)",6,7,6,6,4
"25570  Teijo-Mathildedal (Salo)",51,58,57,54,53
"25610  Ylönkylä (Salo)",16,16,13,8,11
"25630  Finby (Salo)",33,30,27,26,24
"25640  Förby (Salo)",33,31,31,29,24
"25650  Strömma (Kimitoön)",9,8,8,11,9
"25660  Mathildedal (Salo)",3,4,3,3,1
"25700  Kemiö Keskus (Kimitoön)",264,268,283,283,274
"25710  Vreta-Vestlax (Kimitoön)",11,16,12,13,9
"25730  Mjösund (Kimitoön)",7,7,8,6,6
"25760  Kiila (Kimitoön)",1,0,0,1,2
"25810  Mark (Kimitoön)",3,2,3,5,4
"25820  Vestlax (Kimitoön)",9,5,9,6,5
"25830  Västanfjärd Keskus (Kimitoön)",31,30,31,37,29
"25840  Nivelax (Kimitoön)",5,6,5,2,2
"25860  Björkboda (Kimitoön)",38,37,37,35,40
"25870  Dragsfjärd (Kimitoön)",59,58,53,51,49
"25900  Taalintehdas (Kimitoön)",234,222,214,225,228
"25910  Vänoxa (Kimitoön)",...,...,...,...,...
"25930  Kasnäs (Kimitoön)",8,6,5,...,...
"25940  Hiittinen (Kimitoön)",9,8,6,9,11
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",4,7,5,5,3
"25960  Högsåra (Kimitoön)",...,...,...,...,...
"26100  Rauma Keskus (Rauma)",4099,4319,4289,4437,4406
"26200  Merirauma-Kappelinluhta (Rauma)",390,386,392,401,405
"26410  Kaaro (Rauma)",18,21,13,12,10
"26510  Uotila (Rauma)",187,185,184,175,182
"26560  Kolla (Rauma)",6,13,8,6,7
"26660  Paroalho (Rauma)",726,759,751,774,788
"26720  Monnanummi (Rauma)",22,18,16,17,18
"26740  Vasarainen (Rauma)",5,4,4,5,6
"26820  Sampaanala (Rauma)",231,238,233,234,243
"26840  Kortela (Rauma)",42,39,35,42,42
"26910  Unaja (Rauma)",7,10,9,4,7
"26930  Vermuntila (Rauma)",12,12,10,9,9
"26950  Voiluoto (Rauma)",7,5,6,4,4
"27100  Eurajoki Keskus (Eurajoki)",267,276,274,299,285
"27110  Irjanne (Eurajoki)",19,24,20,20,13
"27130  Eurajoki asemanseutu (Eurajoki)",4,3,3,3,2
"27150  Lapijoki (Eurajoki)",67,33,38,38,34
"27160  Olkiluoto (Eurajoki)",0,0,0,0,0
"27170  Kuivalahti (Eurajoki)",8,10,6,5,5
"27220  Ala-Kieri (Rauma)",4,7,9,8,8
"27230  Lappi (Rauma)",155,161,153,152,149
"27250  Kodiksami (Rauma)",1,4,3,3,3
"27260  Kuolimaa (Rauma)",1,2,2,1,1
"27310  Kodisjoki (Rauma)",22,24,25,22,23
"27320  Ihode (Pyhäranta)",25,34,35,33,33
"27340  Reila (Pyhäranta)",6,3,3,3,4
"27400  Kiukainen Keskus (Eura)",106,111,112,103,95
"27420  Panelia Asemanseutu (Eura)",9,7,8,7,4
"27430  Panelia (Eura)",91,90,104,105,105
"27450  Harola (Eura)",6,9,7,7,7
"27500  Kauttua (Eura)",339,347,348,352,351
"27510  Eura Keskus (Eura)",402,418,421,432,416
"27600  Hinnerjoki (Eura)",31,36,33,35,36
"27640  Honkilahti kk (Eura)",5,7,4,6,4
"27650  Honkilahti (Eura)",24,24,19,18,17
"27670  Mannila (Eura)",3,2,3,3,2
"27710  Köyliö Keskus (Säkylä)",105,95,84,90,91
"27730  Tuiskula (Säkylä)",5,5,3,4,3
"27740  Voitoinen (Säkylä)",7,7,6,7,7
"27750  Yttilä (Säkylä)",7,8,8,9,6
"27800  Säkylä Keskus (Säkylä)",323,306,303,306,300
"27820  Iso-Vimma (Säkylä)",35,40,37,37,37
"27840  Kakkuri (Säkylä)",24,26,25,21,21
"27860  Vuori (Säkylä)",4,7,3,3,4
"27910  Huovinrinne (Säkylä)",64,73,77,83,82
"27920  Otajoki (Säkylä)",4,2,4,3,4
"28100  Pori Keskus (Pori)",4883,5063,5220,5296,5299
"28120  Käppärä-Isomäki (Pori)",912,912,907,924,914
"28130  Impola (Pori)",2353,2417,2454,2466,2467
"28190  Pormestarinluoto (Pori)",1004,1036,1029,1051,1077
"28200  Toejoki (Pori)",309,314,304,322,315
"28220  Ruosniemi (Pori)",264,303,304,332,346
"28240  Isojoenranta (Pori)",14,15,11,13,11
"28260  Harjunpää (Ulvila)",27,31,29,27,27
"28300  Kalaholma-Väinölä (Pori)",90,92,89,91,98
"28330  Koivistonluoto (Pori)",540,569,589,583,578
"28360  Vanhakoivisto (Pori)",562,613,595,590,636
"28370  Sampola (Pori)",933,952,942,942,937
"28400  Ulvila Keskus (Ulvila)",517,526,520,539,547
"28430  Kartano-Harmaalinna (Pori)",87,101,90,101,97
"28450  Vanha-Ulvila (Ulvila)",396,414,380,369,348
"28500  Keskussairaala-alue-Tiilimäki (Pori)",333,362,360,427,450
"28540  Pinomäki (Pori)",27,25,24,29,26
"28560  Lattomeri (Pori)",6,5,4,6,5
"28580  Niittymaa (Pori)",11,15,16,17,15
"28600  Vähärauma (Pori)",541,547,536,542,534
"28610  Musa-Tiiliruukki (Pori)",474,515,542,552,535
"28660  Pietniemi-Leppäkorpi (Pori)",275,286,257,280,280
"28760  Kyläsaari (Pori)",66,72,64,72,71
"28800  Pihlava (Pori)",443,462,450,451,450
"28840  Yyteri-Kaanaa (Pori)",69,75,80,77,68
"28880  Mäntyluoto (Pori)",66,61,61,53,58
"28900  Tahkoluoto-Reposaari (Pori)",127,128,133,118,117
"29100  Luvia Keskus (Eurajoki)",152,154,152,153,150
"29180  Peränkylä (Eurajoki)",8,4,5,6,6
"29200  Harjavalta Keskus (Harjavalta)",897,918,926,943,925
"29250  Nakkila Keskus (Nakkila)",397,401,382,375,377
"29270  Hormisto (Nakkila)",8,10,9,8,11
"29280  Järvimaa (Nakkila)",4,6,5,5,4
"29310  Kaasmarkku (Ulvila)",24,20,22,20,17
"29320  Leineperi (Ulvila)",7,7,10,9,9
"29340  Kullaa Keskus (Ulvila)",66,68,68,66,57
"29350  Palus (Ulvila)",5,5,5,6,6
"29570  Söörmarkku (Pori)",24,22,23,23,22
"29600  Noormarkku Keskus (Pori)",370,372,378,384,380
"29630  Pomarkku Keskus (Pomarkku)",179,183,170,163,157
"29640  Honkakoski (Pomarkku)",7,8,8,8,7
"29680  Kairila (Pori)",13,13,8,6,7
"29700  Ahlainen (Pori)",41,42,39,34,32
"29720  Lamppi (Pori)",7,7,6,8,7
"29740  Etelämaa (Merikarvia)",0,0,1,2,2
"29750  Pohjansaha (Merikarvia)",0,1,1,0,0
"29760  Köörtilä (Merikarvia)",1,1,1,1,0
"29790  Tuorila (Merikarvia)",5,7,5,6,6
"29810  Siikainen Keskus (Siikainen)",90,84,82,86,83
"29830  Sammi (Siikainen)",4,2,1,2,1
"29860  Otamo (Siikainen)",4,3,3,4,5
"29880  Leväsjoki-Saarineva (Siikainen)",6,11,12,11,15
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",282,277,254,277,256
"29940  Kuvaskangas (Merikarvia)",5,6,5,5,4
"30100  Forssa Keskus (Forssa)",1465,1505,1517,1551,1503
"30300  Viksberg (Forssa)",835,809,795,814,808
"30420  Tölö (Forssa)",733,748,746,743,751
"31110  Matku (Forssa)",25,26,21,27,22
"31130  Koijärvi (Forssa)",13,14,11,15,13
"31140  Menonen (Urjala)",6,5,4,4,5
"31160  Nuutajärvi (Urjala)",30,35,35,38,34
"31170  Savijoki (Forssa)",9,6,8,5,5
"31230  Susikas (Tammela)",7,7,8,7,8
"31250  Teuro (Tammela)",9,8,9,8,6
"31300  Tammela Keskus (Tammela)",362,376,361,378,378
"31310  Mustiala (Tammela)",7,8,8,7,11
"31340  Porras (Tammela)",12,9,9,10,12
"31350  Vistinkoski (Tammela)",15,12,10,11,11
"31370  Eerikkilän Urheiluopisto (Tammela)",0,0,0,0,0
"31380  Letku-Torro (Tammela)",6,7,7,5,5
"31400  Somero Keskus (Somero)",713,732,720,736,773
"31410  Ylöpirtti (Somero)",6,7,7,8,5
