"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"01200  Hakunila (Vantaa)",3829,3873,3861,4106,4104
"01230  Vaarala (Vantaa)",312,323,351,335,343
"01260  Itä-Hakkila (Vantaa)",276,281,292,293,286
"01280  Länsimäki (Vantaa)",2036,2053,2085,2046,2018
"01300  Tikkurila (Vantaa)",6432,6904,7409,7745,8013
"01340  Leinelä (Vantaa)",1104,1132,1202,1178,1158
"01350  Hiekkaharju (Vantaa)",2492,2505,2470,2493,2510
"01360  Koivukylä-Havukoski (Vantaa)",3398,3499,3589,3601,3579
"01370  Jokiniemi (Vantaa)",2511,2667,2676,2671,2629
"01380  Kuusikko-Hakkila (Vantaa)",179,188,188,191,189
"01390  Ruskeasanta-Ilola (Vantaa)",953,953,974,954,928
"01400  Rekola (Vantaa)",2180,2322,2447,2497,2482
"01420  Päiväkumpu (Vantaa)",126,122,121,124,124
"01450  Korso (Vantaa)",3406,3503,3513,3446,3481
"01480  Mikkola (Vantaa)",1252,1275,1249,1231,1265
"01490  Nikinmäki (Vantaa)",159,168,162,161,157
"01510  Kirkonkylä-Veromäki (Vantaa)",2041,2252,2588,2582,2640
"01520  Tammisto (Vantaa)",1791,1833,1802,1812,1819
"01530  Veromiehenkylä (Vantaa)",374,356,398,389,486
"01600  Myyrmäki (Vantaa)",4763,4893,5178,5610,5861
"01610  Kaivoksela (Vantaa)",1804,1765,1786,1842,1820
"01620  Martinlaakso (Vantaa)",3354,3387,3511,3725,3754
"01630  Hämeenkylä (Vantaa)",155,152,149,147,149
"01640  Hämevaara (Vantaa)",727,719,727,726,725
"01650  Vapaala (Vantaa)",458,484,485,498,487
"01660  Varisto (Vantaa)",400,382,377,374,368
"01670  Vantaanlaakso (Vantaa)",201,196,198,192,192
"01680  Askisto (Vantaa)",219,220,213,212,222
"01690  Ylästö (Vantaa)",295,270,266,289,296
"01700  Kivistö (Vantaa)",4376,4606,4613,5006,5252
"01710  Pähkinärinne (Vantaa)",1190,1206,1202,1255,1362
"01720  Petikko (Vantaa)",17,16,19,18,...
"01730  Vantaanpuisto (Vantaa)",131,139,139,140,138
"01740  Tuupakan teollisuusalue (Vantaa)",13,11,11,11,12
"01750  Keimola (Vantaa)",14,13,12,13,15
"01760  Seutula (Vantaa)",112,110,102,95,97
"01770  Martinlaakson teollisuusalue (Vantaa)",0,0,0,0,0
"01800  Klaukkala Keskus (Nurmijärvi)",1902,2023,2157,2239,2412
"01810  Luhtajoki (Nurmijärvi)",19,20,21,23,20
"01820  Haikala (Nurmijärvi)",208,209,208,219,212
