"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2021 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, three-room flat+"
"00990  Aurinkolahti (Helsinki)",6298,5256,4952,13,77,81
"01120  Västerskog (Sipoo)",.,...,...,.,1,4
"01150  Söderkulla (Sipoo)",3105,3114,2666,12,26,11
"01180  Kalkkiranta (Sipoo)",.,.,.,.,.,.
"01190  Box (Sipoo)",.,.,.,.,.,.
"01200  Hakunila (Vantaa)",3038,2344,1956,18,61,51
"01230  Vaarala (Vantaa)",3384,2799,.,11,11,.
"01260  Itä-Hakkila (Vantaa)",.,.,.,.,.,.
"01280  Länsimäki (Vantaa)",2775,2351,2078,14,60,32
"01300  Tikkurila (Vantaa)",5160,3936,3458,96,158,133
"01340  Leinelä (Vantaa)",...,4107,3989,2,12,9
"01350  Hiekkaharju (Vantaa)",4092,3253,2649,26,64,46
"01360  Koivukylä-Havukoski (Vantaa)",2648,1935,1719,35,97,63
"01370  Jokiniemi (Vantaa)",...,3682,3113,4,28,27
"01380  Kuusikko-Hakkila (Vantaa)",.,.,.,.,.,.
"01390  Ruskeasanta-Ilola (Vantaa)",...,...,...,3,4,5
"01400  Rekola (Vantaa)",4457,...,3431,25,4,8
"01420  Päiväkumpu (Vantaa)",.,.,.,.,.,.
"01450  Korso (Vantaa)",3452,2685,2082,41,72,79
"01480  Mikkola (Vantaa)",3115,2086,1925,21,39,45
"01490  Nikinmäki (Vantaa)",...,.,...,1,.,3
"01510  Kirkonkylä-Veromäki (Vantaa)",4632,4614,3873,11,43,33
"01520  Tammisto (Vantaa)",...,4400,3902,1,43,61
"01530  Veromiehenkylä (Vantaa)",.,.,.,.,.,.
"01600  Myyrmäki (Vantaa)",4108,2974,2412,60,143,169
"01610  Kaivoksela (Vantaa)",3949,3240,3222,26,79,58
"01620  Martinlaakso (Vantaa)",3516,2769,2074,22,97,89
"01630  Hämeenkylä (Vantaa)",...,...,...,1,3,3
"01640  Hämevaara (Vantaa)",...,...,3551,4,2,9
"01650  Vapaala (Vantaa)",2784,1705,1575,12,26,14
"01660  Varisto (Vantaa)",...,...,...,2,3,5
"01670  Vantaanlaakso (Vantaa)",...,...,2609,3,4,6
"01680  Askisto (Vantaa)",.,.,.,.,.,.
"01690  Ylästö (Vantaa)",.,.,.,.,.,.
"01700  Kivistö (Vantaa)",4941,4287,3867,75,50,36
"01710  Pähkinärinne (Vantaa)",3620,2713,2179,12,54,52
"01720  Petikko (Vantaa)",.,.,...,.,.,1
"01730  Vantaanpuisto (Vantaa)",...,2436,1809,4,11,11
"01740  Tuupakan teollisuusalue (Vantaa)",.,.,.,.,.,.
"01750  Keimola (Vantaa)",.,.,.,.,.,.
"01760  Seutula (Vantaa)",.,.,.,.,.,.
"01800  Klaukkala Keskus (Nurmijärvi)",3269,2481,2237,67,59,62
"01820  Haikala (Nurmijärvi)",.,.,...,.,.,3
"01830  Lepsämä (Nurmijärvi)",.,.,.,.,.,.
"01840  Klaukkala (Nurmijärvi)",.,...,.,.,4,.
"01860  Perttula (Nurmijärvi)",.,.,.,.,.,.
"01900  Nurmijärvi Keskus (Nurmijärvi)",2046,1878,1563,32,71,37
"01940  Palojoki (Nurmijärvi)",.,.,.,.,.,.
"02100  Tapiola (Espoo)",6598,6145,5934,23,60,61
