"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2021 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, three-room flat+"
"15110  Keski-Lahti (Lahti)",2888,2502,2446,41,43,56
"15140  Kartano-Paavola (Lahti)",2653,2445,2539,108,204,146
"15150  Möysä (Lahti)",1921,1588,1509,27,58,27
"15160  Kolava (Lahti)",.,.,...,.,.,1
"15170  Tenava-Tonttila (Lahti)",1308,1034,1076,18,35,43
"15200  Kiveriö (Lahti)",1534,1223,1124,35,41,13
"15210  Kivistönmäki (Lahti)",2486,1430,1421,26,56,43
"15230  Kytölä (Lahti)",...,1212,...,1,6,5
"15240  Mukkula (Lahti)",1441,1108,1079,59,56,45
"15270  Kukkila (Hollola)",.,.,.,.,.,.
"15300  Myllypohja-Koiskala (Lahti)",.,...,...,.,5,4
"15320  Ahtiala (Lahti)",1299,1427,...,35,12,2
"15340  Kunnas-Hiekkanummi (Lahti)",.,.,.,.,.,.
"15500  Liipola (Lahti)",1206,924,871,8,52,34
"15520  Saksala (Lahti)",1557,1276,1364,10,29,8
"15540  Villähde (Lahti)",...,...,.,1,3,.
"15550  Rakokivi (Lahti)",...,855,...,5,11,3
"15560  Nastola kk (Lahti)",1385,789,990,18,28,14
"15610  Laune-Nikkilä (Lahti)",...,2340,...,3,9,3
"15680  Renkomäki-Ämmälä (Lahti)",.,.,.,.,.,.
"15700  Hennala-Jokimaa (Lahti)",2047,1848,1869,9,46,34
"15800  Kärpänen (Lahti)",1724,1514,1324,18,14,22
"15810  Kasakkamäki (Lahti)",...,.,...,1,.,1
"15830  Metsäkangas (Lahti)",972,830,1012,8,33,29
"15840  Riihelä (Lahti)",...,...,...,1,2,1
"15850  Likolampi (Lahti)",.,.,.,.,.,.
"15860  Kartano (Hollola)",...,1087,949,6,15,23
"15870  Salpakangas (Hollola)",...,1418,1650,1,14,12
"15880  Soramäki (Hollola)",...,1383,...,2,8,6
"15900  Jalkaranta (Lahti)",.,...,...,.,3,6
"15950  Kiikkula (Lahti)",1661,1385,1523,7,28,28
"15980  Messilä (Hollola)",.,.,.,.,.,.
"16100  Uusikylä (Lahti)",.,...,...,.,1,3
"16200  Artjärvi Keskus (Orimattila)",.,.,.,.,.,.
"16260  Hietana (Orimattila)",.,.,.,.,.,.
"16300  Orimattila Keskus (Orimattila)",1130,1091,1129,7,15,20
"16320  Pennala (Orimattila)",.,.,.,.,.,.
"16500  Herrala (Hollola)",...,...,.,1,1,.
"16600  Järvelä (Kärkölä)",...,.,...,1,.,1
"16610  Kärkölä kk (Kärkölä)",.,.,.,.,.,.
"16670  Lappila (Kärkölä)",.,.,.,.,.,.
"16710  Hollola kk (Hollola)",.,.,.,.,.,.
"16800  Hämeenkoski (Hollola)",.,.,.,.,.,.
"16900  Lammi kk (Hämeenlinna)",...,...,...,3,2,3
"17110  Sipilä (Hollola)",.,.,.,.,.,.
"17130  Vesivehmaa (Asikkala)",.,.,.,.,.,.
"17200  Vääksy Keskus (Asikkala)",1359,1113,...,11,15,3
"17240  Kalkkinen (Asikkala)",.,.,.,.,.,.
"17500  Padasjoki Keskus (Padasjoki)",...,...,...,3,3,1
"17610  Auttoinen (Padasjoki)",.,.,.,.,.,.
"17800  Kuhmoinen Keskus (Kuhmoinen)",...,746,...,5,6,2
"18100  Heinola Keskus (Heinola)",1143,1265,1515,24,42,41
"18120  Reumasairaala-alue (Heinola)",.,.,.,.,.,.
"18130  Tommola-Sahanniemi (Heinola)",...,751,606,10,17,8
"18150  Jyränkö (Heinola)",...,468,...,4,10,5
"18200  Kaakonlampi-Pyhätön (Heinola)",...,529,567,6,14,8
"18300  Heinola kk (Heinola)",...,...,...,4,3,4
"18600  Myllyoja (Heinola)",.,.,.,.,.,.
"19110  Vierumäki taajama (Heinola)",.,.,.,.,.,.
"19120  Vierumäki urheiluopisto (Heinola)",.,.,.,.,.,.
"19160  Huutotöyry (Iitti)",.,.,.,.,.,.
"19210  Lusi (Heinola)",.,.,.,.,.,.
"19260  Paaso-Syrjäkoski (Heinola)",.,.,.,.,.,.
"19410  Kuortti (Pertunmaa)",.,.,.,.,.,.
"19420  Mansikkamäki (Pertunmaa)",.,.,.,.,.,.
"19430  Pertunmaa Keskus (Pertunmaa)",.,.,.,.,.,.
"19470  Lihavanpää-Hartosenpää (Pertunmaa)",.,.,.,.,.,.
"19540  Koitti-Lepsala (Hartola)",.,.,.,.,.,.
"19600  Hartola Keskus (Hartola)",...,...,...,3,2,1
"19650  Joutsa Keskus (Joutsa)",748,637,...,7,9,4
"19670  Mieskonmäki (Joutsa)",.,.,.,.,.,.
"19700  Sysmä Keskus (Sysmä)",...,...,...,3,8,1
"19910  Tammijärvi (Luhanka)",.,.,.,.,.,.
"19950  Luhanka (Luhanka)",.,.,.,.,.,.
"20100  Turku Keskus (Turku)",4541,3737,3582,225,350,235
"20200  Iso-Heikkilä (Turku)",3231,2800,2824,29,47,23
"20210  Pahaniemi (Turku)",1946,1220,1152,9,27,38
"20240  Pansio-Perno (Turku)",1573,1151,1075,40,64,29
"20250  Pitkämäki-Muhkuri (Turku)",...,...,.,1,1,.
"20300  Pohjola-Kastu (Turku)",4091,3136,2745,31,51,38
"20320  Kuninkoja-Mälikkälä (Turku)",2541,2056,1889,35,124,128
"20360  Runosmäki-Kärsämäki (Turku)",2231,1431,1351,20,98,70
"20380  Räntämäki-Saramäki (Turku)",.,.,.,.,.,.
"20400  Moisio (Turku)",.,.,.,.,.,.
"20460  Jäkärlä (Turku)",...,1016,944,2,7,12
"20500  Vesilinna (Turku)",4661,3656,3330,51,73,58
"20520  Kupittaa (Turku)",5307,4420,3970,31,40,21
"20540  Nummi-Ylioppilaskylä (Turku)",4069,2703,2011,35,87,79
"20610  Varissuo (Turku)",2068,1361,1266,24,94,72
"20660  Littoinen (Kaarina)",...,...,...,3,2,3
"20700  Vartiovuori-Samppalinna (Turku)",4160,3625,3492,41,48,49
"20720  Vasaramäki (Turku)",3308,2734,2256,27,67,56
"20730  Skanssi (Turku)",...,...,3324,4,9,6
"20740  Ilpoinen-Harittu (Turku)",...,1955,1784,10,58,59
"20750  Huhkola-Lauste-Vaala (Turku)",1441,1103,960,9,20,33
"20760  Piispanristi (Kaarina)",2712,2480,1736,19,43,28
"20780  Kaarina Keskus (Kaarina)",2339,1908,2187,15,76,38
"20810  Martti-Korppolaismäki (Turku)",4726,3909,3371,61,180,108
"20880  Uittamo (Turku)",2962,2090,1965,15,29,49
"20900  Moikoinen-Pikisaari (Turku)",.,...,...,.,2,2
"20960  Kakskerta (Turku)",.,.,.,.,.,.
"21100  Naantali Keskus (Naantali)",2717,2349,2353,12,72,41
"21110  Taimo-Nuhjala-Lietsala (Naantali)",...,1491,1442,3,19,14
"21120  Viherjäinen (Raisio)",...,.,...,1,.,3
"21130  Poikko (Naantali)",.,.,.,.,.,.
"21140  Rymättylä Keskus (Naantali)",.,...,...,.,4,4
"21150  Röölä (Naantali)",.,.,.,.,.,.
"21160  Merimasku (Naantali)",.,.,.,.,.,.
"21195  Velkua (Naantali)",.,.,.,.,.,.
"21200  Raisio Keskus (Raisio)",2197,1786,1732,53,137,96
"21210  Hakinmäki (Raisio)",...,1222,1051,1,11,9
"21220  Somersoja (Raisio)",.,...,...,.,3,2
"21230  Lemu (Masku)",.,.,.,.,.,.
"21240  Askainen Keskus (Masku)",.,.,.,.,.,.
"21250  Masku (Masku)",...,...,...,2,5,2
"21260  Ihala (Raisio)",...,1154,...,2,6,5
"21270  Nousiainen (Nousiainen)",...,...,1192,4,2,6
"21280  Kuloinen (Raisio)",.,...,...,.,4,3
"21290  Rusko (Rusko)",...,.,...,1,.,1
"21310  Vahto (Rusko)",.,.,.,.,.,.
"21330  Paattinen (Turku)",.,.,.,.,.,.
"21350  Ilmarinen (Lieto)",.,.,.,.,.,.
"21360  Lieto Asemanseutu (Lieto)",...,.,.,1,.,.
"21370  Aura kk. (Aura)",.,.,.,.,.,.
"21380  Aura Keskus (Aura)",.,...,...,.,2,3
"21410  Vanhalinna (Lieto)",.,.,.,.,.,.
"21420  Lieto Keskus (Lieto)",2520,2212,1965,14,28,27
"21430  Yliskulma (Lieto)",...,.,.,1,.,.
"21450  Tarvasjoki Keskus (Lieto)",.,...,.,.,2,.
"21490  Marttila (Marttila)",...,...,...,1,1,1
"21500  Piikkiö (Kaarina)",1858,1586,1622,12,14,13
"21530  Paimio Keskus (Paimio)",1339,1337,1449,20,35,25
"21540  Preitilä (Paimio)",.,.,.,.,.,.
"21560  Ollila (Marttila)",.,.,.,.,.,.
"21570  Sauvo Keskus (Sauvo)",...,.,.,1,.,.
"21590  Karuna (Sauvo)",.,.,.,.,.,.
"21600  Parainen Keskus (Pargas)",1412,1448,1514,15,35,38
"21610  Kirjala (Pargas)",.,.,.,.,.,.
"21620  Kuusisto (Kaarina)",.,.,.,.,.,.
"21630  Lielahti (Pargas)",.,.,.,.,.,.
"21650  Lillandet (Pargas)",.,.,.,.,.,.
"21660  Nauvo Keskus (Pargas)",...,...,...,1,2,1
"21710  Korppoo Keskus-Utö (Pargas)",.,...,.,.,1,.
"21740  Utö (Pargas)",.,.,.,.,.,.
"21750  Norrskata (Pargas)",.,.,.,.,.,.
"21760  Houtskär Keskus (Pargas)",.,.,.,.,.,.
"21770  Mossala (Pargas)",.,.,.,.,.,.
"21800  Kyrö (Pöytyä)",.,...,.,.,3,.
"21820  Kumila (Pöytyä)",.,.,.,.,.,.
"21860  Auvainen (Pöytyä)",.,.,.,.,.,.
"21870  Riihikoski (Pöytyä)",...,...,.,3,3,.
"21880  Pöytyä (Pöytyä)",.,.,.,.,.,.
"21900  Yläne Keskus (Pöytyä)",.,.,.,.,.,.
"21930  Uusikartano (Pöytyä)",.,.,.,.,.,.
"23100  Mynämäki Keskus (Mynämäki)",...,1165,...,4,10,3
"23120  Mietoinen Keskus (Mynämäki)",.,.,.,.,.,.
"23140  Hietamäki (Mynämäki)",.,.,.,.,.,.
"23200  Vinkkilä (Vehmaa)",...,...,.,1,1,.
"23260  Rautila (Vehmaa)",.,...,...,.,1,2
"23310  Taivassalo (Taivassalo)",...,...,.,1,4,.
"23360  Kustavi (Kustavi)",.,.,...,.,.,1
"23450  Lokalahti (Uusikaupunki)",.,.,.,.,.,.
"23500  Uusikaupunki Keskus (Uusikaupunki)",1209,1257,1140,32,68,62
"23600  Kalanti Keskus (Uusikaupunki)",...,.,...,1,.,1
"23800  Laitila Keskus (Laitila)",1315,1188,966,10,34,8
"23930  Pyhämaa (Uusikaupunki)",.,.,.,.,.,.
"23950  Pyhäranta (Pyhäranta)",.,...,.,.,3,.
"24100  Salo Keskus (Salo)",1520,1526,1533,54,90,64
"24130  Ylhäisi (Salo)",...,1023,...,4,6,4
"24240  Rappula (Salo)",1412,1315,1293,24,31,12
"24260  Ollikkala (Salo)",1127,705,702,7,9,10
"24280  Tupuri-Hähkänä (Salo)",.,.,.,.,.,.
"24800  Halikko Keskus (Salo)",...,1160,971,5,23,16
"24910  Halikko Asemanseutu (Salo)",.,.,.,.,.,.
"25110  Kruusila (Salo)",.,.,.,.,.,.
"25130  Muurla (Salo)",.,.,.,.,.,.
"25160  Tuohittu (Salo)",.,.,.,.,.,.
"25190  Inkere (Salo)",.,...,.,.,1,.
"25210  Vartsala (Salo)",.,.,...,.,.,1
"25230  Angelniemi (Salo)",.,.,.,.,.,.
"25240  Hajala (Salo)",.,.,.,.,.,.
"25250  Märynummi (Salo)",...,...,...,1,1,4
"25260  Vaskio (Salo)",.,.,.,.,.,.
"25320  Raatala (Salo)",.,.,.,.,.,.
"25330  Kuusjoki Keskus (Salo)",.,.,.,.,.,.
"25340  Kanunki (Salo)",.,.,.,.,.,.
"25360  Pertteli Keskus (Salo)",.,...,.,.,1,.
"25370  Hiisi (Salo)",.,.,.,.,.,.
"25380  Rekijoki (Salo)",.,.,.,.,.,.
"25390  Kiikala Keskus (Salo)",.,.,.,.,.,.
"25410  Suomusjärvi Keskus (Salo)",.,.,.,.,.,.
"25460  Toija (Salo)",.,.,...,.,.,1
"25470  Kisko kk (Salo)",.,.,.,.,.,.
"25500  Perniö Keskus (Salo)",...,...,...,6,5,3
"25520  Perniö Asemanseutu (Salo)",.,.,.,.,.,.
"25550  Aijala (Salo)",...,...,.,1,4,.
"25570  Teijo-Mathildedal (Salo)",.,...,.,.,5,.
"25630  Finby (Salo)",.,.,.,.,.,.
"25640  Förby (Salo)",.,.,.,.,.,.
"25650  Strömma (Kimitoön)",.,.,.,.,.,.
"25660  Mathildedal (Salo)",2481,...,.,6,1,.
"25700  Kemiö Keskus (Kimitoön)",.,...,...,.,4,3
"25830  Västanfjärd Keskus (Kimitoön)",...,.,...,2,.,1
"25860  Björkboda (Kimitoön)",.,.,.,.,.,.
"25870  Dragsfjärd (Kimitoön)",.,...,.,.,4,.
"25900  Taalintehdas (Kimitoön)",1061,...,...,10,8,4
"25960  Högsåra (Kimitoön)",.,.,.,.,.,.
"26100  Rauma Keskus (Rauma)",1845,1553,1417,64,128,101
"26200  Merirauma-Kappelinluhta (Rauma)",1340,933,1002,6,14,10
"26410  Kaaro (Rauma)",.,.,.,.,.,.
"26510  Uotila (Rauma)",...,...,...,1,1,2
"26660  Paroalho (Rauma)",1050,1012,885,10,19,14
"26720  Monnanummi (Rauma)",.,.,.,.,.,.
"26820  Sampaanala (Rauma)",...,...,...,2,9,2
"26840  Kortela (Rauma)",.,.,.,.,.,.
"27100  Eurajoki Keskus (Eurajoki)",.,...,...,.,2,1
"27150  Lapijoki (Eurajoki)",.,.,.,.,.,.
"27230  Lappi (Rauma)",...,.,.,1,.,.
"27310  Kodisjoki (Rauma)",.,.,.,.,.,.
"27320  Ihode (Pyhäranta)",.,.,.,.,.,.
"27400  Kiukainen Keskus (Eura)",.,.,.,.,.,.
"27430  Panelia (Eura)",...,...,.,1,1,.
"27450  Harola (Eura)",.,.,.,.,.,.
"27500  Kauttua (Eura)",.,...,...,.,2,2
"27510  Eura Keskus (Eura)",...,1182,...,2,11,4
"27600  Hinnerjoki (Eura)",.,.,.,.,.,.
"27640  Honkilahti kk (Eura)",.,.,.,.,.,.
"27650  Honkilahti (Eura)",.,.,.,.,.,.
"27670  Mannila (Eura)",.,.,.,.,.,.
"27710  Köyliö Keskus (Säkylä)",...,...,.,1,3,.
"27730  Tuiskula (Säkylä)",.,.,.,.,.,.
"27750  Yttilä (Säkylä)",.,.,.,.,.,.
"27800  Säkylä Keskus (Säkylä)",.,877,...,.,8,2
"27820  Iso-Vimma (Säkylä)",.,...,.,.,2,.
"27840  Kakkuri (Säkylä)",...,.,...,1,.,1
"27860  Vuori (Säkylä)",.,.,.,.,.,.
"27910  Huovinrinne (Säkylä)",.,...,...,.,6,2
"27920  Otajoki (Säkylä)",.,.,.,.,.,.
"28100  Pori Keskus (Pori)",2006,1902,1956,93,136,110
"28120  Käppärä-Isomäki (Pori)",1099,1123,...,8,22,5
"28130  Impola (Pori)",2477,1498,1603,63,37,48
"28190  Pormestarinluoto (Pori)",976,687,631,7,18,18
"28200  Toejoki (Pori)",.,.,.,.,.,.
"28220  Ruosniemi (Pori)",.,.,.,.,.,.
"28240  Isojoenranta (Pori)",.,.,.,.,.,.
"28260  Harjunpää (Ulvila)",.,.,.,.,.,.
"28300  Kalaholma-Väinölä (Pori)",.,.,.,.,.,.
"28330  Koivistonluoto (Pori)",625,578,...,6,14,2
"28360  Vanhakoivisto (Pori)",834,898,889,14,43,40
"28370  Sampola (Pori)",822,533,...,11,34,4
"28400  Ulvila Keskus (Ulvila)",...,982,1223,3,9,13
"28430  Kartano-Harmaalinna (Pori)",.,...,...,.,2,1
"28450  Vanha-Ulvila (Ulvila)",.,...,...,.,1,2
"28500  Keskussairaala-alue-Tiilimäki (Pori)",...,...,...,5,4,1
"28540  Pinomäki (Pori)",.,.,.,.,.,.
"28600  Vähärauma (Pori)",...,...,...,2,3,5
"28610  Musa-Tiiliruukki (Pori)",...,...,...,3,3,5
"28660  Pietniemi-Leppäkorpi (Pori)",.,.,.,.,.,.
"28760  Kyläsaari (Pori)",.,.,.,.,.,.
"28800  Pihlava (Pori)",...,...,...,10,20,10
"28840  Yyteri-Kaanaa (Pori)",...,532,...,1,12,3
"28880  Mäntyluoto (Pori)",...,570,...,1,8,3
"28900  Tahkoluoto-Reposaari (Pori)",.,.,.,.,.,.
"29100  Luvia Keskus (Eurajoki)",.,.,.,.,.,.
"29200  Harjavalta Keskus (Harjavalta)",...,703,...,6,18,11
"29250  Nakkila Keskus (Nakkila)",...,...,...,1,6,4
"29310  Kaasmarkku (Ulvila)",.,.,.,.,.,.
"29340  Kullaa Keskus (Ulvila)",.,.,.,.,.,.
"29600  Noormarkku Keskus (Pori)",...,...,...,1,2,1
"29630  Pomarkku Keskus (Pomarkku)",.,.,.,.,.,.
"29680  Kairila (Pori)",.,.,.,.,.,.
"29700  Ahlainen (Pori)",.,.,.,.,.,.
"29810  Siikainen Keskus (Siikainen)",.,.,.,.,.,.
"29860  Otamo (Siikainen)",.,.,.,.,.,.
"29880  Leväsjoki-Saarineva (Siikainen)",.,.,.,.,.,.
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",...,...,.,2,3,.
"30100  Forssa Keskus (Forssa)",1220,1127,1142,31,56,33
"30300  Viksberg (Forssa)",791,678,605,15,29,16
"30420  Tölö (Forssa)",1078,929,972,8,15,23
"31130  Koijärvi (Forssa)",.,.,.,.,.,.
"31160  Nuutajärvi (Urjala)",.,.,.,.,.,.
"31300  Tammela Keskus (Tammela)",...,...,...,3,3,1
"31350  Vistinkoski (Tammela)",.,.,.,.,.,.
"31380  Letku-Torro (Tammela)",.,.,.,.,.,.
"31400  Somero Keskus (Somero)",751,1115,...,12,13,1
"31470  Somerniemi (Somero)",.,.,.,.,.,.
"31500  Koski Tl (Koski Tl)",...,...,...,1,2,1
"31600  Jokioinen Keskus (Jokioinen)",...,...,...,1,4,1
"31610  Vaulammi (Jokioinen)",.,.,.,.,.,.
"31620  Latovainio (Jokioinen)",.,.,.,.,.,.
"31630  Minkiö (Jokioinen)",.,.,.,.,.,.
"31640  Humppila Keskus (Humppila)",...,...,...,2,2,2
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",.,.,.,.,.,.
"31720  Urjalankylä-Kehro (Urjala)",.,.,.,.,.,.
"31760  Urjala Keskus (Urjala)",...,681,...,3,7,2
"31900  Punkalaidun Keskus (Punkalaidun)",...,...,...,1,1,1
"32100  Ypäjä Keskus (Ypäjä)",...,...,...,1,1,2
"32200  Loimaa Keskus (Loimaa)",920,890,1195,19,40,14
"32210  Loimaa kk (Loimaa)",...,...,...,6,12,4
"32250  Kojonkulma (Loimaa)",.,.,.,.,.,.
"32270  Metsämaa-Murto (Loimaa)",.,.,.,.,.,.
"32300  Mellilä (Loimaa)",.,.,.,.,.,.
"32410  Niinijoki (Loimaa)",.,.,.,.,.,.
"32440  Alastaro Keskus (Loimaa)",.,...,.,.,1,.
"32500  Oripää Keskus (Oripää)",...,...,...,1,1,1
"32560  Virttaa (Loimaa)",.,.,.,.,.,.
"32610  Vampula Keskus (Huittinen)",.,.,.,.,.,.
"32620  Rutava (Huittinen)",.,.,.,.,.,.
"32700  Huittinen Keskus (Huittinen)",890,835,994,15,32,18
"32730  Keikyä (Sastamala)",.,.,.,.,.,.
"32740  Pehula (Sastamala)",.,...,...,.,3,2
"32800  Kokemäki Keskus (Kokemäki)",...,...,...,1,13,8
"32810  Peipohja (Kokemäki)",...,...,.,1,4,.
"32910  Kauvatsa Asemanseutu (Kokemäki)",.,.,.,.,.,.
"32920  Kauvatsa (Kokemäki)",.,.,.,.,.,.
"33100  Tampere Keskus (Tampere)",4983,4251,4293,188,272,197
"33180  Lapinniemi-Käpylä (Tampere)",6935,5530,4908,31,111,56
"33200  Tampere Keskus Läntinen (Tampere)",5125,4136,4340,50,109,71
"33210  Itä-Amuri-Tammerkoski (Tampere)",4890,4074,4089,34,62,69
"33230  Länsi-Amuri (Tampere)",4223,4126,3544,56,92,75
"33240  Tahmela (Tampere)",3601,3125,...,9,11,3
"33250  Pispala (Tampere)",3896,3283,4026,25,18,8
"33270  Epilä (Tampere)",3229,2739,2583,28,105,74
"33300  Rahola (Tampere)",2530,2231,2317,11,52,28
"33310  Tesoma (Tampere)",2346,1832,1523,20,49,60
"33330  Myllypuro-Kalkku (Tampere)",2193,1790,1497,7,20,8
"33340  Haukiluoma-Ikuri (Tampere)",3122,2042,1424,10,12,13
"33400  Luoteis-Tampere (Tampere)",4181,3277,2928,35,50,24
"33410  Lentävänniemi (Tampere)",3361,2400,2057,55,68,52
"33420  Lamminpää (Tampere)",...,...,.,4,5,.
"33430  Vuorentausta (Ylöjärvi)",.,.,...,.,.,1
"33450  Siivikkala (Ylöjärvi)",.,.,.,.,.,.
"33470  Ylöjärvi Keskus (Ylöjärvi)",2003,2058,1661,9,31,24
"33480  Manninmäki-Haavisto (Ylöjärvi)",...,2547,...,5,8,5
"33500  Osmonmäki-Petsamo (Tampere)",4152,3675,3604,74,161,77
"33520  Keskussairaala-alue-Kauppi (Tampere)",...,2871,2601,4,7,6
"33530  Kissanmaa (Tampere)",3659,3140,2919,19,54,32
"33540  Kaleva (Tampere)",4689,3671,3602,74,166,101
"33560  Takahuhti (Tampere)",3033,2412,2326,19,79,48
"33580  Atala-Linnainmaa (Tampere)",3698,2655,2465,38,43,28
"33610  Olkahinen-Tasanne (Tampere)",.,...,.,.,1,.
"33680  Aitolahti (Tampere)",.,.,.,.,.,.
"33700  Messukylä (Tampere)",...,...,...,1,3,2
"33710  Kaukajärvi (Tampere)",3258,2267,2056,34,91,66
"33720  Hervanta (Tampere)",2949,1897,1733,50,153,146
"33730  Leinola-Vehmainen (Tampere)",...,...,...,1,4,1
"33800  Nekala (Tampere)",2333,2901,2941,46,32,15
"33820  Koivistonkylä (Tampere)",2526,2367,2146,39,44,24
"33840  Peltolammi (Tampere)",3305,1919,1514,8,49,40
"33850  Multisilta (Tampere)",2695,1538,1334,12,33,26
"33870  Vuores (Tampere)",3960,3400,3527,95,43,27
"33880  Höytämö (Lempäälä)",...,1424,1050,4,19,21
"33900  Härmälä-Rantaperkiö (Tampere)",4025,3329,3396,91,127,71
"33920  Toivio (Pirkkala)",.,.,.,.,.,.
"33950  Killo (Pirkkala)",3152,2310,2297,18,28,44
"33960  Suuppa (Pirkkala)",2695,2823,2269,17,51,37
"33980  Pirkkala kk (Pirkkala)",.,.,.,.,.,.
"34110  Lakiala (Ylöjärvi)",.,.,.,.,.,.
"34130  Ylinen (Ylöjärvi)",1459,...,...,10,4,3
"34140  Mutala (Ylöjärvi)",.,.,.,.,.,.
"34240  Kämmenteisko (Tampere)",.,.,...,.,.,1
"34260  Terälahti (Tampere)",...,...,.,3,1,.
"34300  Kuru Keskus (Ylöjärvi)",.,.,.,.,.,.
"34450  Jäminkipohja (Ruovesi)",.,.,.,.,.,.
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",...,...,...,3,2,3
"34800  Virrat Keskus (Virrat)",...,...,...,4,5,9
"34870  Visuvesi (Ruovesi)",.,.,.,.,.,.
"34980  Killinkoski (Virrat)",.,.,.,.,.,.
"35100  Orivesi Asemanseutu (Orivesi)",.,...,.,.,1,.
"35220  Eräjärvi (Orivesi)",.,.,.,.,.,.
"35300  Orivesi Keskus (Orivesi)",1152,1181,1073,8,20,13
"35320  Hirsilä (Orivesi)",.,.,.,.,.,.
"35400  Länkipohja (Jämsä)",.,...,.,.,2,.
"35420  Talviainen (Orivesi)",.,.,.,.,.,.
"35500  Korkeakoski (Juupajoki)",...,...,...,1,1,1
"35530  Lyly (Juupajoki)",.,.,.,.,.,.
"35540  Juupajoki (Juupajoki)",.,.,.,.,.,.
"35600  Halli (Jämsä)",.,.,...,.,.,1
"35630  Suinula-Valkamanperä (Jämsä)",.,.,.,.,.,.
"35700  Vilppula Keskus (Mänttä-Vilppula)",...,...,...,4,2,2
"35800  Mänttä (Mänttä-Vilppula)",...,...,678,8,16,15
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",.,.,.,.,.,.
"35990  Kolho (Mänttä-Vilppula)",.,...,...,.,1,1
"36100  Kangasala Asemanseutu (Kangasala)",.,.,.,.,.,.
"36110  Ruutana (Kangasala)",.,.,.,.,.,.
"36200  Kangasala Keskus (Kangasala)",2671,2115,1979,40,53,38
"36220  Suorama (Kangasala)",2661,2054,1553,8,28,37
"36240  Nattari (Kangasala)",2268,2055,1679,19,38,24
"36270  Huutijärvi (Kangasala)",.,...,...,.,1,1
"36280  Pikonlinna (Kangasala)",.,2682,.,.,8,.
"36420  Sahalahti Keskus (Kangasala)",.,.,.,.,.,.
"36430  Pakkala (Kangasala)",.,.,.,.,.,.
"36450  Salmentaka (Pälkäne)",.,.,.,.,.,.
"36600  Pälkäne Keskus (Pälkäne)",...,...,...,1,6,2
"36720  Aitoo (Pälkäne)",...,.,.,1,.,.
"36760  Luopioinen Keskus (Pälkäne)",.,.,.,.,.,.
"36810  Kuhmalahti Keskus (Kangasala)",.,.,.,.,.,.
"36840  Kuhmajärvi (Kangasala)",.,.,.,.,.,.
"36910  Rautajärvi (Pälkäne)",.,.,.,.,.,.
"36930  Kyynärö (Pälkäne)",.,.,.,.,.,.
"37100  Nokia Keskus (Nokia)",1952,1852,1740,44,85,53
"37120  Koskenmäki (Nokia)",1779,1701,2042,17,57,32
"37130  Alhoniitty (Nokia)",...,...,...,9,29,11
"37140  Harjuniitty (Nokia)",.,.,.,.,.,.
"37150  Kankaantaka (Nokia)",...,1596,1335,3,6,10
"37200  Siuro (Nokia)",...,...,...,2,3,2
"37240  Linnavuori (Nokia)",...,...,...,3,2,1
"37370  Narva (Vesilahti)",.,.,.,.,.,.
"37380  Krääkkiö (Vesilahti)",.,.,.,.,.,.
"37420  Valkkinen (Vesilahti)",.,.,.,.,.,.
"37470  Vesilahti Keskus (Vesilahti)",.,.,.,.,.,.
"37500  Lempäälä Keskus (Lempäälä)",2542,2286,2433,17,43,21
"37550  Kuivaspää (Lempäälä)",.,...,...,.,2,4
"37560  Kulju (Lempäälä)",.,...,...,.,3,2
"37570  Koivuniemi (Lempäälä)",.,.,.,.,.,.
"37600  Valkeakoski Keskus (Valkeakoski)",1157,1430,1377,34,55,45
"37630  Vääräkoivu (Valkeakoski)",1091,943,867,9,23,28
"37700  Sääksmäki (Valkeakoski)",.,.,.,.,.,.
"37770  Tarttila (Valkeakoski)",.,.,.,.,.,.
"37800  Toijala keskus (Akaa)",1415,1234,1073,22,47,36
"37830  Viiala Keskus (Akaa)",...,807,696,5,11,10
"37860  Kärjenniemi (Valkeakoski)",.,.,.,.,.,.
"37900  Kylmäkoski Asemanseutu (Akaa)",.,.,.,.,.,.
"37910  Kylmäkoski Keskus (Akaa)",.,.,.,.,.,.
"37960  Sotkia (Akaa)",.,.,.,.,.,.
"38100  Karkku (Sastamala)",.,.,.,.,.,.
"38200  Vammala Keskus (Sastamala)",1558,1559,1747,23,39,35
"38210  Vammala Asemanseutu (Sastamala)",898,990,...,7,16,5
"38250  Roismala (Sastamala)",.,.,.,.,.,.
"38270  Sammaljoki (Sastamala)",.,.,.,.,.,.
"38300  Kiikka (Sastamala)",.,.,.,.,.,.
"38360  Kiikoinen (Sastamala)",.,.,.,.,.,.
"38420  Häijää (Sastamala)",.,.,.,.,.,.
